intervallo,strategia,fee_%,rsi_window,rsi_window2,rsi_window3,ema_window,ema_window2,ema_window3,atr_window,atr_multiplier,kama_pow1,kama_pow2,rsi_buy_limit,rsi_sell_limit,num_cond,n_trade,rendimento_%,buy_hold_%,cagr_%,volatilita_%,sharpe,max_drawdown_%,buy_hold_drawdown_%,win_rate_%,profit_factor,trade_medio_%,trade_mediano_%,esposizione_%,durata_media_h,trade_per_anno,commissioni_%,secondi,griglia,stop_loss
15m,Close Buy/Sell Limits,0.0,12,24,36,10,50,200,5,2.5,2,30,40.0,85.0,2.0,38,14283.383136211345,7946.720664589823,67.40981820801338,64.9118543223923,1.1178412499646,83.65819333166182,84.01269501376568,63.1578947368421,3.6865984416138997,28.610414674050443,4.9812681648173385,83.14143496405048,1849.421052631579,3.940789026153978,0.0,0.19,close_buy_sell_limits,
15m,Close Buy/Sell Limits,0.0,12,24,36,10,50,200,5,2.5,2,30,30.0,85.0,2.0,33,9942.682567308799,7946.720664589823,61.28789560869134,63.68871467983291,1.0684491542873042,85.2794273820985,84.01269501376568,63.63636363636363,3.542642955322125,31.11342935676966,5.10475670511158,78.72161082241735,2016.4242424242423,3.4222641542916126,0.0,0.2,close_buy_sell_limits,
15m,Close Buy/Sell Limits,0.0,12,24,36,10,50,200,5,2.5,2,30,35.0,85.0,2.0,37,9778.235109182433,7946.720664589823,61.01197299173333,64.45669861730867,1.0608084872284393,83.46585085630042,84.01269501376568,62.16216216216216,3.6503822380902795,27.632009805023266,4.857779624523112,81.6028960732063,1864.2567567567569,3.8370840517815052,0.0,0.18,close_buy_sell_limits,
15m,Close Buy/Sell Limits,0.0,12,24,36,10,50,200,5,1.6,2,30,25.0,75.0,1.0,2802,395.4148371107259,7946.720664589823,18.051563482065625,47.998700422001846,0.5903885093888213,84.54773786995759,84.01269501376568,66.70235546038545,1.0379818893177721,0.09530681338250503,0.49804323997395716,47.95438211485509,14.466452533904354,290.58133819166966,0.0,0.25,close_buy_sell_limits,
15m,Close ATR,0.0,12,24,36,10,50,200,14,4.0,2,30,,,,57,9850.31749806689,7946.720664589823,61.133421326679674,45.26871145492015,1.279193438611761,62.651042823972844,84.01269501376568,70.17543859649122,2.4108663671677477,13.962127119833696,2.9270062400232217,43.86994880409804,650.5701754385965,5.911183539230968,0.0,0.1,close_atr,99.0
15m,Close ATR,0.0,12,24,36,10,50,200,20,4.0,2,30,,,,119,1579.0940726397153,7946.720664589823,33.981974720003684,44.781892776458996,0.8766562108149061,62.338037109806365,84.01269501376568,59.66386554621849,1.4705139493689805,4.489581602938291,1.232283823635342,43.76998222487748,310.9075630252101,12.3408919503243,0.0,0.1,close_atr,99.0
15m,Close ATR,0.0,12,24,36,50,50,200,5,4.0,2,30,,,,460,3031.293398316054,7946.720664589823,42.926906655618694,40.30944853608637,1.0885492842624633,67.13271778347318,84.01269501376568,65.43478260869566,1.2196567051321558,0.8989995335398034,1.2445055499888569,38.874577434171414,71.43478260869566,47.704288211337634,0.0,0.11,close_atr,99.0
15m,Close ATR,0.0,12,24,36,10,50,200,5,1.6,2,30,,,,2735,476.8384829457882,7946.720664589823,19.92924758554844,47.88983762021014,0.6235265287335147,85.76577655213134,84.01269501376568,66.54478976234005,1.040427464349144,0.10307752409685028,0.49462285007681156,47.71600027209838,14.747166361974406,283.63310490871396,0.0,0.15,close_atr,99.0
15m,ATR Bands,0.0,12,24,36,10,50,200,5,2.5,2,30,,,,1363,307578.0545002438,7946.720664589823,130.00271380650113,50.14549567536282,1.9166940205269571,58.00066304210765,84.01269501376568,70.28613352898019,1.3686597515023533,0.6612844258751599,0.9759613630605259,49.670080712661154,30.80355832721937,141.34988006968086,0.0,0.12,atr_bands,99.0
15m,ATR Bands,0.0,12,24,36,10,50,200,7,4.0,2,30,,,,42,8260.80538698065,7946.720664589823,58.251083233028034,52.086787154721456,1.1408988992365912,62.831357774014805,84.01269501376568,57.14285714285714,1.9866429850867398,22.237228802990728,3.9167172439082343,58.03059923753301,1167.9107142857144,4.355608923643871,0.0,0.1,atr_bands,99.0
