lookback,top,every,regime,rendimento_%,CAGR_%,Sharpe,drawdown_%,ribilanciamenti,turnover_annuo
10,1,1,none,2790.5,81.8,1.08,76.9,1298,148.1
10,1,1,btc,5973.8,107.4,1.39,44.9,800,89.4
10,1,3,none,3208.2,86.2,1.11,69.7,561,87.7
10,1,3,btc,1889.0,70.1,1.12,60.4,348,54.9
10,1,7,none,20807.8,158.3,1.49,58.7,259,51.4
10,1,7,btc,8132.6,118.9,1.48,45.5,168,34.8
10,1,14,none,25547.0,167.9,1.48,67.7,132,26.1
10,1,14,btc,14215.9,141.5,1.56,57.9,88,16.9
10,2,1,none,1828.3,69.2,1.12,69.7,1644,115.1
10,2,1,btc,3727.6,91.1,1.56,51.6,1015,73.2
10,2,3,none,2979.5,83.8,1.22,64.9,579,65.9
10,2,3,btc,2487.4,78.2,1.36,58.9,359,42.6
10,2,7,none,3879.5,92.4,1.31,53.3,259,39.7
10,2,7,btc,2752.3,81.3,1.42,42.2,168,26.1
10,2,14,none,2241.1,75.1,1.15,63.3,134,22.3
10,2,14,btc,1407.5,61.9,1.18,52.8,89,15.4
10,3,1,none,1368.7,61.2,1.14,68.5,1644,93.1
10,3,1,btc,1644.8,66.2,1.44,48.4,1015,61.4
10,3,3,none,2453.7,77.8,1.29,56.5,579,51.4
10,3,3,btc,1579.4,65.1,1.38,51.9,359,34.1
10,3,7,none,3291.7,87.0,1.37,46.8,259,31.5
10,3,7,btc,1890.6,70.1,1.43,38.6,168,21.6
10,3,14,none,1270.4,59.2,1.08,60.3,134,19.3
10,3,14,btc,622.7,42.1,1.01,53.3,89,14.0
10,5,1,none,960.1,52.1,1.22,60.8,1644,56.6
10,5,1,btc,819.1,48.3,1.38,44.3,1015,38.0
10,5,3,none,1228.2,58.3,1.28,50.0,579,31.4
10,5,3,btc,701.8,44.7,1.28,50.6,359,22.1
10,5,7,none,1166.3,57.0,1.22,47.8,259,21.1
10,5,7,btc,686.0,44.2,1.18,41.5,168,15.0
10,5,14,none,320.2,29.0,0.78,61.3,134,14.4
10,5,14,btc,202.3,21.7,0.71,53.5,89,10.5
20,1,1,none,1114.8,55.8,0.92,84.0,964,109.7
20,1,1,btc,2656.5,80.3,1.18,65.2,656,74.5
20,1,3,none,5009.4,101.1,1.2,74.2,485,59.6
20,1,3,btc,4660.0,98.6,1.31,66.8,325,39.3
20,1,7,none,14440.6,142.2,1.4,65.9,231,37.9
20,1,7,btc,4986.7,101.0,1.32,46.8,161,27.0
20,1,14,none,7829.4,117.5,1.28,78.4,126,26.5
