coppia,rotazione_%,Sharpe,DD_%,tieni_il_1o_%,tieni_il_2o_%,meta_e_meta_%
BTC/ETH,156.0,0.58,72.0,134.4,187.5,160.9
BTC/SOL,8882.0,1.39,86.9,134.4,4346.0,2240.2
BTC/XRP,809.0,0.91,60.8,134.4,349.8,242.1
BTC/BNB,1064.9,0.96,70.4,134.4,1538.0,836.2
ETH/SOL,29325.7,1.66,69.2,187.5,4346.0,2266.7
ETH/XRP,1373.6,1.01,54.6,187.5,349.8,268.6
ETH/BNB,987.1,0.93,73.9,187.5,1538.0,862.7
SOL/XRP,16222.5,1.46,78.3,4346.0,349.8,2347.9
SOL/BNB,9639.2,1.37,68.1,4346.0,1538.0,2942.0
XRP/BNB,3594.8,1.17,57.4,349.8,1538.0,943.9
