griglia,parametro,valori_provati,escursione_mediana_pp
atr_bands,atr_multiplier,7,169.0
atr_bands,atr_window,6,92.3
atr_bands,ema_window,2,43.5
atr_bands,stop_loss,2,34.4
atr_live_trade,atr_multiplier,3,76.5
atr_live_trade,atr_window,3,12.6
atr_live_trade,stop_loss,2,0.6
close_atr,atr_multiplier,7,93.4
close_atr,ema_window,3,10.0
close_atr,stop_loss,4,9.8
close_atr,atr_window,6,5.2
close_bullish_ema,ema_triplet,7,110.8
close_bullish_ema,rsi_window,3,83.9
close_bullish_ema,rsi_sell_limit,5,72.0
close_bullish_ema,rsi_buy_limit,4,31.9
close_buy_sell_limits,rsi_sell_limit,6,25.7
close_buy_sell_limits,num_cond,2,25.0
close_buy_sell_limits,rsi_window,3,14.8
close_buy_sell_limits,rsi_buy_limit,6,12.3
close_buy_sell_limits,atr_multiplier,2,6.7
close_buy_sell_limits,ema_window,2,6.4
close_buy_sell_limits,atr_window,2,2.3
close_ema_crossover,ema_triplet,7,2933.9
close_rsi_reverse,rsi_window,5,0.0
close_rsi_reverse,rsi_window2,5,0.0
supertrend,atr_multiplier,7,187.6
supertrend,atr_window,6,114.7
supertrend,ema_window,3,70.5
tp_sl_atr,atr_multiplier,7,140.6
tp_sl_atr,atr_window,6,5.4
tp_sl_atr,ema_window,3,3.4
trend_zones,ema_window,6,0.0
