griglia,parametro,valori_provati,escursione_mediana_pp
atr_bands,atr_multiplier,7,162.3
atr_bands,atr_window,6,135.8
atr_bands,stop_loss,2,111.7
atr_bands,ema_window,2,91.8
close_atr,atr_multiplier,7,89.2
close_atr,stop_loss,4,34.3
close_atr,ema_window,3,19.6
close_atr,atr_window,6,19.1
close_bullish_ema,ema_triplet,7,349.7
close_bullish_ema,rsi_sell_limit,5,314.3
close_bullish_ema,rsi_window,3,144.4
close_bullish_ema,rsi_buy_limit,4,64.4
close_buy_sell_limits,rsi_sell_limit,6,38.6
close_buy_sell_limits,rsi_window,3,31.1
close_buy_sell_limits,num_cond,2,23.2
close_buy_sell_limits,rsi_buy_limit,6,22.3
close_buy_sell_limits,atr_multiplier,2,17.4
close_buy_sell_limits,atr_window,2,12.6
close_buy_sell_limits,ema_window,2,10.9
close_ema_crossover,ema_triplet,7,5022.0
close_rsi_reverse,rsi_window,5,0.0
close_rsi_reverse,rsi_window2,5,0.0
supertrend,atr_multiplier,7,395.3
supertrend,atr_window,6,114.7
supertrend,ema_window,3,45.6
tp_sl_atr,atr_multiplier,7,310.1
tp_sl_atr,atr_window,6,110.0
tp_sl_atr,ema_window,3,84.0
trend_zones,ema_window,6,17.7
