griglia,parametro,valori_provati,escursione_mediana_pp
atr_bands,atr_multiplier,7,550.1
atr_bands,atr_window,6,91.5
atr_bands,ema_window,2,76.1
atr_bands,stop_loss,2,52.4
atr_live_trade,atr_multiplier,3,26.5
atr_live_trade,atr_window,3,20.3
atr_live_trade,stop_loss,2,8.1
close_atr,atr_multiplier,7,100.0
close_atr,stop_loss,4,71.2
close_atr,atr_window,6,49.0
close_atr,ema_window,3,48.6
close_bullish_ema,ema_triplet,7,103.5
close_bullish_ema,rsi_sell_limit,5,96.9
close_bullish_ema,rsi_window,3,84.9
close_bullish_ema,rsi_buy_limit,4,29.9
close_buy_sell_limits,rsi_sell_limit,6,97.5
close_buy_sell_limits,rsi_window,3,80.2
close_buy_sell_limits,rsi_buy_limit,6,68.4
close_buy_sell_limits,num_cond,2,57.7
close_buy_sell_limits,ema_window,2,49.1
close_buy_sell_limits,atr_multiplier,2,37.2
close_buy_sell_limits,atr_window,2,16.2
close_ema_crossover,ema_triplet,7,129.2
close_rsi_reverse,rsi_window2,5,998.0
close_rsi_reverse,rsi_window,5,705.4
supertrend,atr_multiplier,7,408.1
supertrend,atr_window,6,369.4
supertrend,ema_window,3,280.9
tp_sl_atr,atr_multiplier,7,255.1
tp_sl_atr,ema_window,3,183.2
tp_sl_atr,atr_window,6,158.3
trend_zones,ema_window,6,160.9
