griglia,parametro,valori_provati,escursione_mediana_pp
atr_bands,atr_multiplier,7,125.0
atr_bands,ema_window,2,49.6
atr_bands,atr_window,6,46.9
atr_bands,stop_loss,2,38.5
atr_live_trade,stop_loss,2,48.6
atr_live_trade,atr_multiplier,3,39.5
atr_live_trade,atr_window,3,21.3
close_atr,atr_multiplier,7,128.9
close_atr,ema_window,3,58.2
close_atr,atr_window,6,53.6
close_atr,stop_loss,4,50.9
close_bullish_ema,ema_triplet,7,79.1
close_bullish_ema,rsi_sell_limit,5,70.1
close_bullish_ema,rsi_window,3,52.6
close_bullish_ema,rsi_buy_limit,4,32.9
close_buy_sell_limits,rsi_sell_limit,6,64.1
close_buy_sell_limits,rsi_buy_limit,6,62.5
close_buy_sell_limits,rsi_window,3,57.7
close_buy_sell_limits,num_cond,2,38.5
close_buy_sell_limits,atr_multiplier,2,32.5
close_buy_sell_limits,ema_window,2,20.0
close_buy_sell_limits,atr_window,2,6.3
close_ema_crossover,ema_triplet,7,101.3
close_rsi_reverse,rsi_window,5,77.3
close_rsi_reverse,rsi_window2,5,76.7
supertrend,atr_multiplier,7,105.8
supertrend,atr_window,6,65.6
supertrend,ema_window,3,51.9
tp_sl_atr,atr_multiplier,7,132.1
tp_sl_atr,ema_window,3,90.6
tp_sl_atr,atr_window,6,66.8
trend_zones,ema_window,6,205.5
