griglia,parametro,valori_provati,escursione_mediana_pp
atr_bands,atr_multiplier,7,162.1
atr_bands,stop_loss,2,75.1
atr_bands,atr_window,6,58.3
atr_bands,ema_window,2,54.5
atr_live_trade,stop_loss,2,62.2
atr_live_trade,atr_window,3,20.0
atr_live_trade,atr_multiplier,3,19.2
close_atr,atr_multiplier,7,106.8
close_atr,stop_loss,4,47.2
close_atr,ema_window,3,46.7
close_atr,atr_window,6,34.1
close_bullish_ema,ema_triplet,7,104.1
close_bullish_ema,rsi_sell_limit,5,74.8
close_bullish_ema,rsi_window,3,61.8
close_bullish_ema,rsi_buy_limit,4,29.9
close_buy_sell_limits,rsi_buy_limit,6,64.0
close_buy_sell_limits,rsi_window,3,51.8
close_buy_sell_limits,rsi_sell_limit,6,48.0
close_buy_sell_limits,num_cond,2,46.5
close_buy_sell_limits,ema_window,2,43.6
close_buy_sell_limits,atr_multiplier,2,29.8
close_buy_sell_limits,atr_window,2,10.6
close_ema_crossover,ema_triplet,7,159.8
close_rsi_reverse,rsi_window,5,228.2
close_rsi_reverse,rsi_window2,5,147.1
supertrend,atr_multiplier,7,150.3
supertrend,ema_window,3,76.5
supertrend,atr_window,6,73.2
tp_sl_atr,atr_multiplier,7,138.9
tp_sl_atr,atr_window,6,84.2
tp_sl_atr,ema_window,3,74.4
trend_zones,ema_window,6,91.7
