griglia,parametro,valori_provati,escursione_mediana_pp
atr_bands,atr_multiplier,7,424.4
atr_bands,atr_window,6,175.7
atr_bands,stop_loss,2,155.8
atr_bands,ema_window,2,111.8
atr_live_trade,atr_multiplier,3,62.4
atr_live_trade,stop_loss,2,53.1
atr_live_trade,atr_window,3,50.5
close_atr,atr_multiplier,7,143.8
close_atr,atr_window,6,70.5
close_atr,stop_loss,4,69.4
close_atr,ema_window,3,46.6
close_bullish_ema,ema_triplet,7,238.7
close_bullish_ema,rsi_sell_limit,5,181.6
close_bullish_ema,rsi_window,3,86.2
close_bullish_ema,rsi_buy_limit,4,26.8
close_buy_sell_limits,rsi_buy_limit,6,88.1
close_buy_sell_limits,rsi_window,3,71.3
close_buy_sell_limits,rsi_sell_limit,6,54.2
close_buy_sell_limits,num_cond,2,53.3
close_buy_sell_limits,atr_multiplier,2,51.8
close_buy_sell_limits,ema_window,2,21.6
close_buy_sell_limits,atr_window,2,15.1
close_ema_crossover,ema_triplet,7,2207.0
close_rsi_reverse,rsi_window2,5,1413.6
close_rsi_reverse,rsi_window,5,998.8
supertrend,atr_multiplier,7,1893.8
supertrend,atr_window,6,900.8
supertrend,ema_window,3,669.8
tp_sl_atr,atr_multiplier,7,2379.3
tp_sl_atr,ema_window,3,1199.5
tp_sl_atr,atr_window,6,1037.9
trend_zones,ema_window,6,1870.0
