griglia,parametro,valori_provati,escursione_mediana_pp
atr_bands,atr_multiplier,7,444.2
atr_bands,stop_loss,2,397.2
atr_bands,atr_window,6,306.0
atr_bands,ema_window,2,144.8
atr_live_trade,atr_multiplier,3,109.0
atr_live_trade,atr_window,3,63.0
atr_live_trade,stop_loss,2,44.6
close_atr,atr_multiplier,7,201.6
close_atr,stop_loss,4,145.7
close_atr,atr_window,6,135.2
close_atr,ema_window,3,95.9
close_bullish_ema,ema_triplet,7,86.1
close_bullish_ema,rsi_sell_limit,5,68.2
close_bullish_ema,rsi_window,3,53.5
close_bullish_ema,rsi_buy_limit,4,23.9
close_buy_sell_limits,rsi_buy_limit,6,181.3
close_buy_sell_limits,rsi_window,3,157.3
close_buy_sell_limits,rsi_sell_limit,6,130.1
close_buy_sell_limits,num_cond,2,122.7
close_buy_sell_limits,ema_window,2,74.9
close_buy_sell_limits,atr_multiplier,2,69.4
close_buy_sell_limits,atr_window,2,46.8
close_ema_crossover,ema_triplet,7,152.3
close_rsi_reverse,rsi_window,5,275.8
close_rsi_reverse,rsi_window2,5,156.7
supertrend,atr_multiplier,7,142.8
supertrend,atr_window,6,117.5
supertrend,ema_window,3,88.0
tp_sl_atr,atr_multiplier,7,119.2
tp_sl_atr,atr_window,6,87.6
tp_sl_atr,ema_window,3,51.8
trend_zones,ema_window,6,293.1
