griglia,parametro,valori_provati,escursione_mediana_pp
atr_bands,atr_multiplier,7,497.0
atr_bands,stop_loss,2,354.3
atr_bands,atr_window,6,200.9
atr_bands,ema_window,2,192.5
atr_live_trade,atr_multiplier,3,89.1
atr_live_trade,stop_loss,2,59.7
atr_live_trade,atr_window,3,56.6
close_atr,atr_multiplier,7,175.0
close_atr,stop_loss,4,98.8
close_atr,ema_window,3,71.9
close_atr,atr_window,6,64.6
close_bullish_ema,ema_triplet,7,170.3
close_bullish_ema,rsi_sell_limit,5,121.7
close_bullish_ema,rsi_window,3,111.3
close_bullish_ema,rsi_buy_limit,4,49.2
close_buy_sell_limits,rsi_window,3,164.8
close_buy_sell_limits,rsi_sell_limit,6,137.0
close_buy_sell_limits,num_cond,2,120.4
close_buy_sell_limits,rsi_buy_limit,6,109.2
close_buy_sell_limits,ema_window,2,101.3
close_buy_sell_limits,atr_multiplier,2,61.4
close_buy_sell_limits,atr_window,2,24.2
close_ema_crossover,ema_triplet,7,1032.1
close_rsi_reverse,rsi_window,5,554.3
close_rsi_reverse,rsi_window2,5,403.4
supertrend,atr_multiplier,7,414.5
supertrend,atr_window,6,193.8
supertrend,ema_window,3,178.3
tp_sl_atr,atr_multiplier,7,501.2
tp_sl_atr,atr_window,6,289.0
tp_sl_atr,ema_window,3,172.5
trend_zones,ema_window,6,2857.7
