griglia,parametro,valori_provati,escursione_mediana_pp
atr_bands,atr_multiplier,7,185.5
atr_bands,stop_loss,2,59.9
atr_bands,atr_window,6,58.3
atr_bands,ema_window,2,41.8
atr_live_trade,atr_window,3,60.6
atr_live_trade,atr_multiplier,3,58.0
atr_live_trade,stop_loss,2,28.8
close_atr,atr_multiplier,7,72.0
close_atr,stop_loss,4,47.1
close_atr,ema_window,3,36.9
close_atr,atr_window,6,24.7
close_bullish_ema,ema_triplet,7,91.8
close_bullish_ema,rsi_sell_limit,5,80.5
close_bullish_ema,rsi_window,3,47.1
close_bullish_ema,rsi_buy_limit,4,29.5
close_buy_sell_limits,rsi_buy_limit,6,62.2
close_buy_sell_limits,num_cond,2,40.7
close_buy_sell_limits,rsi_window,3,40.5
close_buy_sell_limits,rsi_sell_limit,6,40.1
close_buy_sell_limits,ema_window,2,28.8
close_buy_sell_limits,atr_multiplier,2,28.7
close_buy_sell_limits,atr_window,2,19.0
close_ema_crossover,ema_triplet,7,219.3
close_rsi_reverse,rsi_window,5,64.2
close_rsi_reverse,rsi_window2,5,44.9
supertrend,atr_multiplier,7,144.0
supertrend,atr_window,6,99.9
supertrend,ema_window,3,59.9
tp_sl_atr,atr_multiplier,7,143.8
tp_sl_atr,atr_window,6,71.9
tp_sl_atr,ema_window,3,56.9
trend_zones,ema_window,6,383.3
