griglia,parametro,valori_provati,escursione_mediana_pp
atr_bands,atr_multiplier,7,454.8
atr_bands,atr_window,6,138.7
atr_bands,ema_window,2,107.2
atr_bands,stop_loss,2,77.8
atr_live_trade,stop_loss,2,51.6
atr_live_trade,atr_multiplier,3,31.2
atr_live_trade,atr_window,3,28.4
close_atr,atr_multiplier,7,110.5
close_atr,stop_loss,4,71.9
close_atr,ema_window,3,50.4
close_atr,atr_window,6,40.1
close_bullish_ema,ema_triplet,7,173.4
close_bullish_ema,rsi_sell_limit,5,119.2
close_bullish_ema,rsi_window,3,91.4
close_bullish_ema,rsi_buy_limit,4,42.7
close_buy_sell_limits,rsi_sell_limit,6,53.2
close_buy_sell_limits,rsi_buy_limit,6,51.2
close_buy_sell_limits,rsi_window,3,47.3
close_buy_sell_limits,num_cond,2,35.6
close_buy_sell_limits,atr_multiplier,2,27.4
close_buy_sell_limits,ema_window,2,25.4
close_buy_sell_limits,atr_window,2,14.5
close_ema_crossover,ema_triplet,7,116.2
close_rsi_reverse,rsi_window2,5,68.9
close_rsi_reverse,rsi_window,5,65.6
supertrend,atr_multiplier,7,150.6
supertrend,atr_window,6,88.8
supertrend,ema_window,3,53.7
tp_sl_atr,atr_multiplier,7,135.7
tp_sl_atr,ema_window,3,79.9
tp_sl_atr,atr_window,6,62.2
trend_zones,ema_window,6,351.5
