griglia,parametro,valori_provati,escursione_mediana_pp
atr_bands,atr_multiplier,7,346.3
atr_bands,atr_window,6,207.4
atr_bands,ema_window,2,130.3
atr_bands,stop_loss,2,125.8
atr_live_trade,stop_loss,2,70.7
atr_live_trade,atr_window,3,63.9
atr_live_trade,atr_multiplier,3,45.8
close_atr,atr_multiplier,7,228.2
close_atr,stop_loss,4,92.5
close_atr,ema_window,3,89.5
close_atr,atr_window,6,67.3
close_bullish_ema,rsi_sell_limit,5,805.5
close_bullish_ema,ema_triplet,7,465.6
close_bullish_ema,rsi_window,3,266.4
close_bullish_ema,rsi_buy_limit,4,138.2
close_buy_sell_limits,rsi_buy_limit,6,109.2
close_buy_sell_limits,rsi_sell_limit,6,79.3
close_buy_sell_limits,rsi_window,3,78.2
close_buy_sell_limits,num_cond,2,59.3
close_buy_sell_limits,ema_window,2,31.4
close_buy_sell_limits,atr_multiplier,2,23.0
close_buy_sell_limits,atr_window,2,20.4
close_ema_crossover,ema_triplet,7,3046.3
close_rsi_reverse,rsi_window,5,599.1
close_rsi_reverse,rsi_window2,5,593.4
supertrend,atr_multiplier,7,2086.9
supertrend,ema_window,3,1326.8
supertrend,atr_window,6,1199.1
tp_sl_atr,atr_multiplier,7,2587.9
tp_sl_atr,atr_window,6,1543.9
tp_sl_atr,ema_window,3,1461.1
trend_zones,ema_window,6,8712.9
