griglia,parametro,valori_provati,escursione_mediana_pp
atr_bands,atr_multiplier,7,633.1
atr_bands,ema_window,2,434.2
atr_bands,stop_loss,2,393.2
atr_bands,atr_window,6,343.8
atr_live_trade,atr_window,3,138.3
atr_live_trade,stop_loss,2,92.4
atr_live_trade,atr_multiplier,3,90.5
close_atr,atr_multiplier,7,222.9
close_atr,ema_window,3,143.8
close_atr,stop_loss,4,129.7
close_atr,atr_window,6,99.7
close_bullish_ema,ema_triplet,7,99.9
close_bullish_ema,rsi_sell_limit,5,80.5
close_bullish_ema,rsi_window,3,67.4
close_bullish_ema,rsi_buy_limit,4,29.3
close_buy_sell_limits,rsi_buy_limit,6,163.8
close_buy_sell_limits,rsi_window,3,131.3
close_buy_sell_limits,rsi_sell_limit,6,128.7
close_buy_sell_limits,num_cond,2,126.4
close_buy_sell_limits,atr_multiplier,2,113.3
close_buy_sell_limits,ema_window,2,106.7
close_buy_sell_limits,atr_window,2,50.2
close_ema_crossover,ema_triplet,7,539.1
close_rsi_reverse,rsi_window,5,270.7
close_rsi_reverse,rsi_window2,5,210.9
supertrend,atr_multiplier,7,175.3
supertrend,atr_window,6,122.3
supertrend,ema_window,3,100.8
tp_sl_atr,atr_multiplier,7,107.9
tp_sl_atr,atr_window,6,59.9
tp_sl_atr,ema_window,3,51.3
trend_zones,ema_window,6,329.1
