griglia,configurazioni,scelta_su_stima_%,resa_in_verifica_%,prime10_mediana_verifica_%,prime10_in_utile_%,migliore_in_verifica_%,mediana_in_verifica_%,percentile_della_scelta,correlazione_stima_verifica,parametri_scelti
close_buy_sell_limits,1620,4462.4,192.2,-6.3,40.0,197.4,-88.1,99.9,0.47,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=85, num_cond=2"
close_atr,452,4257.2,103.8,-48.1,20.0,107.1,-91.4,99.6,0.78,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,162,10327.0,-86.2,6.6,50.0,169.6,-86.9,51.9,0.65,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,84,662.2,-49.8,-50.8,10.0,58.2,0.0,36.9,0.23,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,123,334.1,-68.0,-73.2,0.0,34.4,-93.4,80.5,0.9,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
close_bullish_ema,420,2775.4,-8.7,20.4,70.0,67.1,-55.5,87.9,0.49,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=80, ema_triplet=50/100/200"
close_ema_crossover,7,6032.3,-74.9,-83.0,14.3,0.9,-83.0,71.4,0.86,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=10/50/200"
trend_zones,6,-93.7,-99.7,-100.0,0.0,-99.7,-100.0,83.3,0.99,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=200, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,23,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,95.7,0.97,"rsi_window=21, rsi_window2=50, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,1,-100.0,-100.0,-100.0,0.0,-100.0,-100.0,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
atr_live_trade,17,634.7,57.4,-68.5,20.0,57.4,-97.1,94.1,0.95,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
