griglia,configurazioni,scelta_su_stima_%,resa_in_verifica_%,prime10_mediana_verifica_%,prime10_in_utile_%,migliore_in_verifica_%,mediana_in_verifica_%,percentile_della_scelta,correlazione_stima_verifica,parametri_scelti
close_buy_sell_limits,1590,834.0,0.0,0.0,0.0,0.0,0.0,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=80, num_cond=2"
close_atr,445,371.9,0.0,0.0,0.0,0.0,0.0,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,161,1500.5,0.0,0.0,0.0,0.0,0.0,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,112,735.8,0.0,0.0,0.0,0.0,0.0,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,123,916.7,0.0,0.0,0.0,0.0,0.0,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
close_bullish_ema,419,2399.5,0.0,0.0,0.0,0.0,0.0,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=80, ema_triplet=9/21/55"
close_ema_crossover,7,4993.8,0.0,0.0,0.0,0.0,0.0,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=20/50/100"
trend_zones,6,-82.2,0.0,0.0,0.0,0.0,0.0,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=200, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,23,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,,"rsi_window=21, rsi_window2=50, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,1,-99.8,0.0,0.0,0.0,0.0,0.0,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
