griglia,configurazioni,scelta_su_stima_%,resa_in_verifica_%,prime10_mediana_verifica_%,prime10_in_utile_%,migliore_in_verifica_%,mediana_in_verifica_%,percentile_della_scelta,correlazione_stima_verifica,parametri_scelti
close_buy_sell_limits,1116,280.1,72.4,62.9,90.0,172.7,24.7,87.3,0.36,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=30, rsi_sell_limit=80, num_cond=2"
close_atr,284,242.0,-8.7,38.8,90.0,131.7,-16.2,57.4,0.36,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,128,572.8,123.4,129.1,100.0,571.0,52.9,73.4,0.47,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,102,721.2,70.4,-32.8,20.0,113.5,-10.3,98.0,-0.21,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,107,734.9,-28.4,-28.8,30.0,276.9,-38.0,63.6,0.13,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30"
close_bullish_ema,303,167.4,-2.8,0.1,50.0,173.9,21.8,16.5,-0.15,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=8/13/21"
close_ema_crossover,5,1052.2,-8.5,37.8,60.0,93.6,37.8,20.0,-0.7,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=5/20/60"
trend_zones,4,1525.4,78.3,60.1,100.0,134.0,60.1,50.0,0.0,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,23,652.4,-49.4,-48.8,10.0,66.8,-42.1,34.8,-0.14,"rsi_window=7, rsi_window2=50, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,1,276.9,51.7,51.7,100.0,51.7,51.7,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
atr_live_trade,10,121.6,-42.5,-27.8,30.0,31.6,-27.8,30.0,0.28,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
