griglia,configurazioni,scelta_su_stima_%,resa_in_verifica_%,prime10_mediana_verifica_%,prime10_in_utile_%,migliore_in_verifica_%,mediana_in_verifica_%,percentile_della_scelta,correlazione_stima_verifica,parametri_scelti
close_buy_sell_limits,1148,81.0,7.7,-11.8,20.0,219.8,-16.8,74.2,0.19,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=80, num_cond=2"
close_atr,297,48.0,27.0,-22.9,40.0,141.9,-34.2,96.6,0.21,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,132,81.7,113.3,113.8,100.0,238.7,20.1,90.9,0.49,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,90,139.3,77.0,17.8,60.0,165.4,15.5,84.4,-0.02,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
tp_sl_atr,105,121.4,-1.5,-2.5,30.0,156.2,-11.0,63.8,0.18,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30"
close_bullish_ema,294,87.4,35.7,13.5,70.0,87.9,3.3,92.2,0.16,"rsi_window=7, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=80, ema_triplet=8/13/21"
close_ema_crossover,5,61.3,47.2,65.7,100.0,147.7,65.7,0.0,-0.2,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
trend_zones,4,92.6,132.1,112.7,100.0,153.6,112.7,50.0,0.6,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,23,8.7,-51.4,-30.0,10.0,27.8,-42.4,30.4,0.5,"rsi_window=21, rsi_window2=14, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,1,-21.1,-36.8,-36.8,0.0,-36.8,-36.8,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
atr_live_trade,13,24.3,-8.3,-17.0,30.0,25.3,-18.3,61.5,0.05,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
