griglia,configurazioni,scelta_su_stima_%,resa_in_verifica_%,prime10_mediana_verifica_%,prime10_in_utile_%,migliore_in_verifica_%,mediana_in_verifica_%,percentile_della_scelta,correlazione_stima_verifica,parametri_scelti
close_buy_sell_limits,1146,216.0,-54.4,-52.9,0.0,113.0,-55.1,50.5,-0.26,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=85, num_cond=1"
close_atr,272,185.8,-72.8,-72.6,0.0,233.8,-27.0,7.0,-0.57,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,126,648.8,-28.8,14.8,80.0,890.7,17.0,24.6,-0.17,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,97,232.9,-54.0,-3.2,40.0,104.8,-17.7,9.3,0.06,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,106,154.2,-8.2,-52.7,20.0,124.2,-37.1,74.5,0.04,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
close_bullish_ema,286,239.5,-34.9,-46.3,0.0,171.8,5.7,16.1,-0.14,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=70, ema_triplet=8/13/21"
close_ema_crossover,6,206.0,-45.5,-12.3,50.0,7.7,-12.3,0.0,-0.43,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
trend_zones,4,94.5,132.2,65.3,75.0,132.2,65.3,75.0,0.8,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,23,141.1,-83.3,-28.6,30.0,26.4,-21.8,0.0,-0.28,"rsi_window=21, rsi_window2=14, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,1,221.5,-1.5,-1.5,0.0,-1.5,-1.5,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
atr_live_trade,9,152.8,-83.4,-69.9,22.2,45.3,-69.9,0.0,-0.6,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
