griglia,configurazioni,scelta_su_stima_%,resa_in_verifica_%,prime10_mediana_verifica_%,prime10_in_utile_%,migliore_in_verifica_%,mediana_in_verifica_%,percentile_della_scelta,correlazione_stima_verifica,parametri_scelti
close_buy_sell_limits,1098,3850.7,-77.0,-75.7,0.0,76.0,-84.6,78.1,-0.22,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=85, num_cond=1"
close_atr,294,1666.2,-82.5,-81.7,0.0,104.9,-61.2,28.6,-0.52,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,126,3611.9,-19.7,-29.3,10.0,252.9,-40.0,63.5,-0.39,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,87,3534.5,97.6,117.5,70.0,427.9,135.3,36.8,-0.06,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,104,2542.8,-57.0,-0.8,50.0,343.9,39.7,4.8,0.08,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
close_bullish_ema,294,1979.4,-48.0,-40.4,0.0,253.5,-20.3,17.7,0.21,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=70, ema_triplet=9/21/55"
close_ema_crossover,5,1484.0,100.9,100.9,100.0,142.8,100.9,40.0,-0.6,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
trend_zones,4,2292.7,268.3,190.5,100.0,355.2,190.5,50.0,0.4,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,23,1102.8,-95.1,6.4,50.0,253.0,28.7,0.0,-0.57,"rsi_window=21, rsi_window2=14, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,1,758.8,-76.9,-76.9,0.0,-76.9,-76.9,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
atr_live_trade,8,406.6,-89.9,-88.6,12.5,239.5,-88.6,37.5,-0.6,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
