griglia,configurazioni,scelta_su_stima_%,resa_in_verifica_%,prime10_mediana_verifica_%,prime10_in_utile_%,migliore_in_verifica_%,mediana_in_verifica_%,percentile_della_scelta,correlazione_stima_verifica,parametri_scelti
close_buy_sell_limits,1130,197.8,-8.0,-4.1,40.0,728.0,107.0,3.4,-0.03,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=30, rsi_sell_limit=60, num_cond=1"
close_atr,286,157.5,15.6,28.1,90.0,451.6,31.4,36.0,0.15,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=10.0"
atr_bands,133,512.7,1197.8,719.0,100.0,1583.5,170.2,98.5,0.41,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,79,636.4,-62.3,-49.6,0.0,48.0,-44.4,24.1,-0.08,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,101,469.2,-69.0,-67.4,0.0,10.6,-74.0,64.4,0.12,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
close_bullish_ema,240,61.8,29.4,5.6,70.0,288.2,-2.7,78.8,0.13,"rsi_window=7, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=50, rsi_sell_limit=80, ema_triplet=12/26/50"
close_ema_crossover,5,405.1,31.3,31.3,80.0,43.8,31.3,40.0,0.6,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=9/21/55"
trend_zones,4,275.0,14.4,10.9,75.0,14.4,10.9,75.0,0.4,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,23,242.7,2.4,-5.1,50.0,99.4,18.8,34.8,-0.2,"rsi_window=5, rsi_window2=30, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,1,442.8,-38.3,-38.3,0.0,-38.3,-38.3,0.0,,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
atr_live_trade,13,139.5,165.1,21.3,60.0,180.9,21.0,84.6,0.14,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
