intervallo,strategia,fee_%,rsi_window,rsi_window2,rsi_window3,ema_window,ema_window2,ema_window3,atr_window,atr_multiplier,kama_pow1,kama_pow2,rsi_buy_limit,rsi_sell_limit,num_cond,n_trade,rendimento_%,buy_hold_%,cagr_%,volatilita_%,sharpe,max_drawdown_%,buy_hold_drawdown_%,win_rate_%,profit_factor,trade_medio_%,trade_mediano_%,esposizione_%,durata_media_h,trade_per_anno,commissioni_%,secondi,griglia,stop_loss
5m,Close Buy/Sell Limits,0.1,12,24,36,10,50,200,5,2.5,2,30,40.0,85.0,2.0,129,5250.718459696735,7945.300414257089,51.09314316367863,67.33270058385247,0.9490602969848929,80.04878526580282,84.06747772141921,59.68992248062015,1.3149616088556422,4.894792186537802,0.8492582084880599,96.18510558589823,630.2609819121446,13.377928505234932,811.1602883173807,0.59,close_buy_sell_limits,
5m,Close Buy/Sell Limits,0.1,12,24,36,10,50,200,5,2.5,2,30,30.0,85.0,2.0,126,4252.635442877077,7945.300414257089,47.89265212728835,66.94482278077614,0.9187319605904551,80.62784392182448,84.06747772141921,57.936507936507944,1.2944134971875378,4.852072310981487,0.6937367759376519,93.81085237691505,629.3392857142858,13.066813888834119,706.2664110163581,0.57,close_buy_sell_limits,
5m,Close Buy/Sell Limits,0.1,12,24,36,10,50,200,5,2.5,2,30,35.0,85.0,2.0,129,5265.258168336898,7945.300414257089,51.13566962394343,67.25652408721157,0.9497892204527458,79.55972964387679,84.06747772141921,59.68992248062015,1.311662565357988,4.883210114701035,0.8492582084880465,95.67423152000315,626.9134366925065,13.377928505234932,827.217614876132,0.54,close_buy_sell_limits,
5m,Close Buy/Sell Limits,0.1,12,24,36,10,50,200,5,1.6,2,30,25.0,75.0,1.0,10380,-99.99994611982038,7945.300414257089,-77.61698170967087,45.236257612467526,-3.0709546437672492,99.9999811191758,84.06747772141921,52.543352601156066,0.9483037008376691,-0.12859465725306413,0.03316241033595217,48.03635861742611,3.911785484906872,1076.4565727468107,559.3658962028622,0.93,close_buy_sell_limits,
5m,Close ATR,0.1,12,24,36,10,50,200,14,4.0,2,30,,,,268,285.51495593588464,7945.300414257089,15.02052112493133,52.216569340716234,0.5302970537796424,84.67552456531082,84.06747772141921,60.447761194029844,1.132339442103035,1.1622017675067096,0.6488409122532441,48.380917641027665,152.59546019900498,27.792905731805902,179.48579929794263,0.28,close_atr,99.0
5m,Close ATR,0.1,12,24,36,10,50,200,20,4.0,2,30,,,,471,320.3985285252746,7945.300414257089,16.058433314149823,52.18198418833892,0.5471103484913571,79.15965028464784,84.06747772141921,62.42038216560509,1.121875169779652,0.5697829733794317,0.6221238026048366,48.94640850208017,87.84200283085633,48.84499477492754,332.58624200908673,0.31,close_atr,99.0
5m,Close ATR,0.1,12,24,36,50,50,200,5,4.0,2,30,,,,1861,-70.48822630311578,7945.300414257089,-11.887822990550811,42.66484510232452,-0.07869523308504987,94.49378050270305,84.06747772141921,56.58248253627082,0.9780850576819784,-0.02156854315204197,0.16456769511030261,40.14856951318099,18.23584990148666,192.99476704063727,616.0543922176208,0.31,close_atr,99.0
5m,Close ATR,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,10222,-99.99992551553484,7945.300414257089,-76.85253919684554,45.35585361366754,-2.988556732380677,99.99997798325944,84.06747772141921,52.43592252005478,0.953115609299504,-0.12747042769093933,0.032120616468558655,47.875465820139205,3.9589447596686886,1060.0712029497013,601.9862072570752,0.54,close_atr,99.0
5m,ATR Bands,0.1,12,24,36,10,50,200,5,2.5,2,30,,,,4876,5629.2634003122685,7945.300414257089,52.16802717909981,49.37686851462305,1.095532770014774,90.89617331897175,84.06747772141921,60.64397046759639,1.0113264563604742,0.10571880094153338,0.2049619601205092,49.54502435080939,8.588921930544162,505.66495652345367,193992.98074401228,0.36,atr_bands,99.0
5m,ATR Bands,0.1,12,24,36,10,50,200,7,4.0,2,30,,,,203,4756.630452380045,7945.300414257089,49.582628898858296,52.07311717013322,1.0329498770818801,62.831357774014805,84.06747772141921,66.00985221674877,1.340436081701498,3.132910935478816,0.7057471082643376,56.66196738766094,235.938013136289,21.052089043121637,1493.9446853603076,0.31,atr_bands,99.0
5m,ATR Bands,0.1,12,24,36,10,50,200,5,2.0,2,30,,,,9900,-97.74152211776669,7945.300414257089,-32.503277895695646,47.39169446251858,-0.5916864261720938,99.9437129606386,84.06747772141921,57.65656565656566,0.9977196287297976,-0.02761773925833401,0.10751636864608305,49.894019756689076,4.2600589225589225,1026.6782341226808,16191.767580421538,0.53,atr_bands,99.0
5m,ATR Bands,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,15518,-99.99987703772915,7945.300414257089,-75.61737002153626,46.38988571268598,-2.8004775603140226,99.99996703125824,84.06747772141921,54.330454955535515,0.9764638129718684,-0.0805889023317793,0.0477486525364086,49.896681586055955,2.717929716028698,1609.2922057692688,1754.5349767717926,0.66,atr_bands,99.0
5m,Supertrend,0.1,12,24,36,20,50,200,14,3.0,2,30,,,,1265,-88.44938256785495,7945.300414257089,-20.055683807554313,31.62976157478696,-0.5547500475090051,91.72923562514936,84.06747772141921,37.54940711462451,0.8846242988279849,-0.13398367765052321,-0.7368151625407221,13.76619279531518,9.198682476943347,131.1866632490092,137.5073990687075,0.43,supertrend,
5m,Supertrend,0.1,12,24,36,50,50,200,20,4.0,2,30,,,,3448,-99.77960306253635,7945.300414257089,-46.97539135375604,44.66294586454709,-1.2004354035911202,99.87220913637364,84.06747772141921,35.84686774941995,0.9237994927574993,-0.15022919470788487,-0.6186088643134552,46.867914111639095,11.489752513534416,357.574399116667,200.45731568661455,0.6,supertrend,
5m,Supertrend,0.1,12,24,36,10,50,200,7,3.0,2,30,,,,1400,-97.48849043550038,7945.300414257089,-31.755847182791886,26.816885644897987,-1.2948193874509788,98.56854428227169,84.06747772141921,36.42857142857142,0.8495233848165553,-0.23997313370512838,-0.5224346731177807,18.566654179072106,11.210059523809523,145.18682098704576,100.52804440083627,0.43,supertrend,
5m,Supertrend,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,409,-68.43872855066527,7945.300414257089,-11.272165855074888,8.023497504879641,-1.4602481739761561,70.33501222384508,84.06747772141921,33.74083129584352,0.5003231726877481,-0.2745270406427075,-0.4219275648622345,1.1853027584439144,2.449674001629992,42.41529270264408,50.271169170554344,0.37,supertrend,
5m,TP/SL with ATR,0.1,12,24,36,10,50,200,7,3.0,2,30,,,,1430,-95.86998436766414,7945.300414257089,-28.143270368976147,23.58620704163895,-1.28608249137727,97.40141850897919,84.06747772141921,47.13286713286713,0.8313643918010254,-0.20421160991636586,-0.28256031563416223,16.43827513457026,9.716783216783217,148.29796715105388,104.67316022434878,0.27,tp_sl_atr,
5m,TP/SL with ATR,0.1,12,24,36,10,50,200,30,4.0,2,30,,,,1102,-62.12199543191136,7945.300414257089,-9.577463134493215,24.559753556264607,-0.2925792948458662,87.97368140128286,84.06747772141921,52.17785843920145,0.9525920419021439,-0.060713583675758964,0.1801745910260787,17.58148155450835,13.485783424077436,114.28276909123174,230.5273238902842,0.26,tp_sl_atr,
5m,TP/SL with ATR,0.1,12,24,36,20,50,200,14,4.0,2,30,,,,1732,-91.65570715474995,7945.300414257089,-22.706523768704113,34.38916539488671,-0.5788724585941295,94.58036758779788,84.06747772141921,51.96304849884527,0.9145326105916689,-0.11220294591439238,0.17518883786136652,32.150265197073956,15.690579291762894,179.61683853540234,161.8987409069602,0.3,tp_sl_atr,
5m,TP/SL with ATR,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,12312,-99.99999999958547,7945.300414257089,-93.39938249973187,44.833808817443035,-5.810918391850498,99.99999999963754,84.06747772141921,46.848602988953864,0.7264940617259326,-0.2042286297566372,-0.31037723783624505,58.956168543092055,4.0476499891704565,1276.814385708934,110.89618754861267,0.63,tp_sl_atr,
5m,Close Bullish EMA,0.1,24,24,36,12,26,50,5,1.6,2,30,45.0,80.0,,312,4027.622370547767,7945.300414257089,47.08079122545794,67.77323725926475,0.9062839774352747,86.76098475477562,84.06747772141921,64.42307692307693,1.1896075905934624,2.017525143342821,1.938350669693099,97.40392767711023,263.89075854700855,32.35592010568448,1365.3718627187736,3.56,close_bullish_ema,
5m,Close Bullish EMA,0.1,24,24,36,12,26,50,5,1.6,2,30,40.0,80.0,,312,4027.622370547767,7945.300414257089,47.08079122545794,67.77323725926475,0.9062839774352747,86.76098475477562,84.06747772141921,64.42307692307693,1.1896075905934624,2.017525143342821,1.938350669693099,97.40392767711023,263.89075854700855,32.35592010568448,1365.3718627187736,3.52,close_bullish_ema,
5m,Close Bullish EMA,0.1,24,24,36,12,26,50,5,1.6,2,30,50.0,80.0,,312,3895.9609764511447,7945.300414257089,46.58715827505875,67.75988130642862,0.9013673373852553,86.76098475477565,84.06747772141921,64.42307692307693,1.1881176062688288,2.006947331376616,1.9124872461126667,97.3772107971686,263.8183760683761,32.35592010568448,1329.959913032893,3.55,close_bullish_ema,
5m,Close Bullish EMA,0.1,12,24,36,10,50,200,5,1.6,2,30,25.0,75.0,,2796,-95.13929224011382,7945.300414257089,-26.919023671788402,45.67374809745231,-0.45395957159565287,99.22862471962732,84.06747772141921,63.16165951359084,0.962918982529301,-0.07310158031125995,0.350411979017343,53.11788946507089,16.058536003814975,289.9588224855571,466.6325539490128,3.68,close_bullish_ema,
5m,Close EMA Crossover,0.1,12,24,36,50,100,200,5,1.6,2,30,,,,1544,460.55208350759403,7945.300414257089,19.57355011783428,48.67095307050585,0.6062532332158921,72.32513171648922,84.06747772141921,31.15284974093264,1.0490400032954026,0.1794269986693945,-0.6164504316240598,50.1893842301398,27.47684585492228,160.12032257428476,1787.5169494128631,1.58,close_ema_crossover,
5m,Close EMA Crossover,0.1,12,24,36,10,50,200,5,1.6,2,30,,,,2364,-32.299912673749574,7945.300414257089,-3.9646159140394377,51.036212083302935,0.17118679698378675,90.90680769110843,84.06747772141921,26.607445008460235,0.9938653474837696,0.03316698795835049,-0.6044203584441556,53.64493167971291,19.18154258319233,245.15831772384013,1008.9599072673185,1.65,close_ema_crossover,
5m,Close EMA Crossover,0.1,12,24,36,20,50,100,5,1.6,2,30,,,,3334,-77.19273097420174,7945.300414257089,-14.211500429558644,48.210695869347965,-0.08700774554711892,96.04771176444268,84.06747772141921,28.374325134973006,0.9840384606552245,-0.012619932237233499,-0.5338327661481301,51.48717392590255,13.05376424715057,345.7520436934361,1098.636742529486,1.63,close_ema_crossover,
5m,Trend Zones,0.1,12,24,36,200,50,200,5,1.6,2,30,,,,21368,-100.0,7945.300414257089,-98.99065805724354,57.19024511569465,-7.699642951856515,100.0,84.06747772141921,9.556345937850992,0.6377108343256292,-0.20207820237576385,-0.30917619402250573,53.775755663781375,2.1272814488955447,2215.9657077508527,109.1876871265952,0.83,trend_zones,
