famiglia,strategia,configurazioni,scelta_in_stima_%,resa_in_verifica_%,prime5_mediana_%,mediana_verifica_%,rho
storica,close_rsi_reverse,23,99.3,57.5,46.5,13.3,0.58
storica,atr_live_trade,7,117.6,47.2,14.7,14.7,0.61
storica,close_bullish_ema,88,37.6,38.2,42.1,15.2,0.57
storica,supertrend,86,79.9,35.1,35.1,11.0,0.02
storica,close_atr,255,487.1,15.0,0.7,17.3,0.08
nuova,band_reversion_gated,33,65.3,11.1,9.4,-15.1,0.52
storica,atr_bands,112,167.9,1.8,11.6,20.3,-0.11
storica,tp_sl_atr,92,202.9,-0.5,0.6,27.1,0.32
nuova,squeeze_breakout,84,31.4,-3.5,-3.5,-12.9,0.49
storica,close_buy_sell_limits,765,326.5,-13.1,-7.2,17.3,-0.36
nuova,ichimoku_trend,11,161.3,-21.3,-2.5,8.8,-0.36
nuova,trend_pullback,72,153.7,-35.1,-15.9,-15.8,0.25
nuova,donchian_breakout,230,76.9,-39.9,-23.6,-8.4,0.1
