famiglia,strategia,configurazioni,scelta_in_stima_%,resa_in_verifica_%,prime5_mediana_%,mediana_verifica_%,rho
storica,close_ema_crossover,7,125.2,67.2,35.9,43.8,0.21
storica,trend_zones,5,202.5,58.9,66.2,66.2,0.1
storica,close_buy_sell_limits,1420,107.8,51.2,17.6,7.8,0.26
storica,supertrend,107,294.0,39.6,21.1,2.2,0.38
storica,close_rsi_reverse,23,32.7,12.6,8.1,2.2,0.74
storica,close_atr,349,80.8,12.5,3.1,-8.0,0.01
storica,atr_bands,144,286.9,10.2,28.4,21.3,-0.05
nuova,ichimoku_trend,12,74.3,9.0,9.0,-3.9,0.57
storica,close_bullish_ema,383,173.3,8.1,16.7,9.5,-0.17
nuova,squeeze_breakout,99,5.6,4.1,-1.7,-16.8,0.18
storica,atr_live_trade,14,57.0,0.0,-20.8,-5.6,-0.43
nuova,donchian_breakout,256,85.0,-7.9,-29.1,-20.1,0.5
storica,tp_sl_atr,115,174.8,-14.8,6.3,-4.4,0.18
nuova,band_reversion_gated,66,60.3,-32.8,-32.8,-22.1,0.12
nuova,trend_pullback,72,158.4,-34.7,-26.5,-24.7,0.04
