strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,1d,1.0,0.02,0.01,11.9,0.21,34.6,11,1538.0,70.9
band_reversion_gated,1d,1.0,0.05,0.03,7.7,0.18,35.7,11,1538.0,70.9
band_reversion_gated,1d,1.0,0.1,0.06,1.5,0.14,37.4,11,1538.0,70.9
band_reversion_gated,1d,2.0,0.02,0.01,3.9,0.2,60.2,11,1538.0,70.9
band_reversion_gated,1d,2.0,0.05,0.03,-4.1,0.17,61.5,11,1538.0,70.9
band_reversion_gated,1d,2.0,0.1,0.06,-15.2,0.11,63.4,11,1538.0,70.9
band_reversion_gated,1d,3.0,0.02,0.01,-24.1,0.18,80.2,11,1538.0,70.9
band_reversion_gated,1d,3.0,0.05,0.03,-33.3,0.14,81.4,11,1538.0,70.9
band_reversion_gated,1d,3.0,0.1,0.06,-45.6,0.08,83.2,11,1538.0,70.9
donchian_breakout,1d,1.0,0.02,0.01,1433.9,1.15,39.5,30,1538.0,70.9
donchian_breakout,1d,1.0,0.05,0.03,1254.9,1.1,39.9,30,1538.0,70.9
donchian_breakout,1d,1.0,0.1,0.06,1020.1,1.04,40.5,30,1538.0,70.9
donchian_breakout,1d,2.0,0.02,0.01,4734.2,1.41,51.6,30,1538.0,70.9
donchian_breakout,1d,2.0,0.05,0.03,3695.7,1.34,52.2,30,1538.0,70.9
donchian_breakout,1d,2.0,0.1,0.06,2513.4,1.23,53.2,30,1538.0,70.9
donchian_breakout,1d,3.0,0.02,0.01,6689.1,1.26,75.3,30,1538.0,70.9
donchian_breakout,1d,3.0,0.05,0.03,4571.9,1.19,76.3,30,1538.0,70.9
donchian_breakout,1d,3.0,0.1,0.06,2509.7,1.09,77.7,30,1538.0,70.9
ichimoku_trend,1d,1.0,0.02,0.01,241.0,0.87,23.5,12,1538.0,70.9
ichimoku_trend,1d,1.0,0.05,0.03,209.8,0.81,25.1,12,1538.0,70.9
ichimoku_trend,1d,1.0,0.1,0.06,167.4,0.72,27.8,12,1538.0,70.9
ichimoku_trend,1d,2.0,0.02,0.01,615.6,1.11,25.2,12,1538.0,70.9
ichimoku_trend,1d,2.0,0.05,0.03,501.2,1.04,26.5,12,1538.0,70.9
ichimoku_trend,1d,2.0,0.1,0.06,358.6,0.92,30.3,12,1538.0,70.9
ichimoku_trend,1d,3.0,0.02,0.01,1116.4,0.99,30.9,12,1538.0,70.9
ichimoku_trend,1d,3.0,0.05,0.03,849.9,0.93,32.8,12,1538.0,70.9
ichimoku_trend,1d,3.0,0.1,0.06,544.0,0.83,35.6,12,1538.0,70.9
squeeze_breakout,1d,1.0,0.02,0.01,1354.9,1.18,32.2,23,1538.0,70.9
squeeze_breakout,1d,1.0,0.05,0.03,1212.8,1.14,34.1,23,1538.0,70.9
squeeze_breakout,1d,1.0,0.1,0.06,1021.5,1.08,36.9,23,1538.0,70.9
squeeze_breakout,1d,2.0,0.02,0.01,5000.6,1.52,47.4,23,1538.0,70.9
squeeze_breakout,1d,2.0,0.05,0.03,4084.1,1.45,50.3,23,1538.0,70.9
squeeze_breakout,1d,2.0,0.1,0.06,2982.8,1.35,54.6,23,1538.0,70.9
squeeze_breakout,1d,3.0,0.02,0.01,10882.0,1.37,61.3,23,1538.0,70.9
squeeze_breakout,1d,3.0,0.05,0.03,8093.3,1.3,63.8,23,1538.0,70.9
squeeze_breakout,1d,3.0,0.1,0.06,5099.1,1.21,68.6,23,1538.0,70.9
trend_pullback,1d,1.0,0.02,0.01,-4.8,0.11,45.5,74,1538.0,70.9
trend_pullback,1d,1.0,0.05,0.03,-17.5,0.02,48.3,74,1538.0,70.9
trend_pullback,1d,1.0,0.1,0.06,-33.9,-0.12,55.2,74,1538.0,70.9
trend_pullback,1d,2.0,0.02,0.01,-41.1,0.04,73.2,74,1538.0,70.9
trend_pullback,1d,2.0,0.05,0.03,-56.0,-0.07,79.3,74,1538.0,70.9
trend_pullback,1d,2.0,0.1,0.06,-72.2,-0.24,86.2,74,1538.0,70.9
trend_pullback,1d,3.0,0.02,0.01,-78.4,0.0,92.9,74,1538.0,70.9
trend_pullback,1d,3.0,0.05,0.03,-86.4,-0.1,95.3,74,1538.0,70.9
trend_pullback,1d,3.0,0.1,0.06,-93.4,-0.27,97.6,74,1538.0,70.9
