strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,4h,1.0,0.02,0.01,139.8,0.77,28.3,104,1531.6,72.4
band_reversion_gated,4h,1.0,0.05,0.03,118.3,0.7,29.1,104,1531.6,72.4
band_reversion_gated,4h,1.0,0.1,0.06,87.5,0.59,30.4,104,1531.6,72.4
band_reversion_gated,4h,2.0,0.02,0.01,340.6,0.8,49.5,104,1531.6,72.4
band_reversion_gated,4h,2.0,0.05,0.03,265.0,0.73,50.5,104,1531.6,72.4
band_reversion_gated,4h,2.0,0.1,0.06,169.4,0.6,52.3,104,1531.6,72.4
band_reversion_gated,4h,3.0,0.02,0.01,531.6,0.79,66.0,104,1531.6,72.4
band_reversion_gated,4h,3.0,0.05,0.03,375.7,0.72,67.1,104,1531.6,72.4
band_reversion_gated,4h,3.0,0.1,0.06,200.9,0.6,70.3,104,1531.6,72.4
donchian_breakout,4h,1.0,0.02,0.01,1220.0,1.16,36.3,54,1531.6,72.4
donchian_breakout,4h,1.0,0.05,0.03,1085.8,1.12,37.1,54,1531.6,72.4
donchian_breakout,4h,1.0,0.1,0.06,903.8,1.06,38.4,54,1531.6,72.4
donchian_breakout,4h,2.0,0.02,0.01,7086.9,1.63,53.8,54,1531.6,72.4
donchian_breakout,4h,2.0,0.05,0.03,5746.6,1.56,54.9,54,1531.6,72.4
donchian_breakout,4h,2.0,0.1,0.06,4138.0,1.46,56.5,54,1531.6,72.4
donchian_breakout,4h,3.0,0.02,0.01,23786.1,1.57,71.0,54,1531.6,72.4
donchian_breakout,4h,3.0,0.05,0.03,17555.8,1.51,72.0,54,1531.6,72.4
donchian_breakout,4h,3.0,0.1,0.06,10906.1,1.41,73.6,54,1531.6,72.4
ichimoku_trend,4h,1.0,0.02,0.01,2532.2,1.25,40.6,309,1531.6,72.4
ichimoku_trend,4h,1.0,0.05,0.03,1792.1,1.15,41.0,309,1531.6,72.4
ichimoku_trend,4h,1.0,0.1,0.06,1017.3,0.98,45.1,309,1531.6,72.4
ichimoku_trend,4h,2.0,0.02,0.01,10806.5,1.42,58.5,309,1531.6,72.4
ichimoku_trend,4h,2.0,0.05,0.03,5594.4,1.27,62.0,309,1531.6,72.4
ichimoku_trend,4h,2.0,0.1,0.06,1913.4,1.03,67.5,309,1531.6,72.4
ichimoku_trend,4h,3.0,0.02,0.01,17253.2,1.24,73.8,309,1531.6,72.4
ichimoku_trend,4h,3.0,0.05,0.03,6499.1,1.1,76.2,309,1531.6,72.4
ichimoku_trend,4h,3.0,0.1,0.06,1300.5,0.86,89.6,309,1531.6,72.4
squeeze_breakout,4h,1.0,0.02,0.01,608.4,0.86,53.8,128,1531.6,72.4
squeeze_breakout,4h,1.0,0.05,0.03,462.7,0.79,54.9,128,1531.6,72.4
squeeze_breakout,4h,1.0,0.1,0.06,293.0,0.68,60.5,128,1531.6,72.4
squeeze_breakout,4h,2.0,0.02,0.01,1054.5,0.94,77.5,128,1531.6,72.4
squeeze_breakout,4h,2.0,0.05,0.03,634.2,0.83,80.2,128,1531.6,72.4
squeeze_breakout,4h,2.0,0.1,0.06,261.6,0.65,85.8,128,1531.6,72.4
squeeze_breakout,4h,3.0,0.02,0.01,602.8,0.8,93.3,128,1531.6,72.4
squeeze_breakout,4h,3.0,0.05,0.03,257.0,0.69,95.1,128,1531.6,72.4
squeeze_breakout,4h,3.0,0.1,0.06,23.2,0.51,97.7,128,1531.6,72.4
trend_pullback,4h,1.0,0.02,0.01,199.8,0.67,46.6,430,1531.6,72.4
trend_pullback,4h,1.0,0.05,0.03,105.8,0.51,47.2,430,1531.6,72.4
trend_pullback,4h,1.0,0.1,0.06,12.0,0.25,48.1,430,1531.6,72.4
trend_pullback,4h,2.0,0.02,0.01,281.5,0.68,73.6,430,1531.6,72.4
trend_pullback,4h,2.0,0.05,0.03,79.6,0.51,74.2,430,1531.6,72.4
trend_pullback,4h,2.0,0.1,0.06,-46.9,0.23,83.0,430,1531.6,72.4
trend_pullback,4h,3.0,0.02,0.01,105.6,0.67,89.3,430,1531.6,72.4
trend_pullback,4h,3.0,0.05,0.03,-33.9,0.5,89.7,430,1531.6,72.4
trend_pullback,4h,3.0,0.1,0.06,-89.5,0.22,97.2,430,1531.6,72.4
