strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,1d,1.0,0.02,0.01,121.2,0.94,19.9,29,134.4,76.6
band_reversion_gated,1d,1.0,0.05,0.03,110.1,0.89,20.4,29,134.4,76.6
band_reversion_gated,1d,1.0,0.1,0.06,94.0,0.81,21.0,29,134.4,76.6
band_reversion_gated,1d,2.0,0.02,0.01,319.7,0.97,36.6,29,134.4,76.6
band_reversion_gated,1d,2.0,0.05,0.03,279.4,0.92,37.4,29,134.4,76.6
band_reversion_gated,1d,2.0,0.1,0.06,224.1,0.83,38.5,29,134.4,76.6
band_reversion_gated,1d,3.0,0.02,0.01,591.3,0.94,50.6,29,134.4,76.6
band_reversion_gated,1d,3.0,0.05,0.03,495.0,0.89,51.5,29,134.4,76.6
band_reversion_gated,1d,3.0,0.1,0.06,370.3,0.81,52.9,29,134.4,76.6
donchian_breakout,1d,1.0,0.02,0.01,163.8,0.68,45.1,10,134.4,76.6
donchian_breakout,1d,1.0,0.05,0.03,125.5,0.6,47.3,10,134.4,76.6
donchian_breakout,1d,1.0,0.1,0.06,76.9,0.47,52.6,10,134.4,76.6
donchian_breakout,1d,2.0,0.02,0.01,274.3,0.74,55.6,10,134.4,76.6
donchian_breakout,1d,2.0,0.05,0.03,182.4,0.64,59.1,10,134.4,76.6
donchian_breakout,1d,2.0,0.1,0.06,81.3,0.46,66.1,10,134.4,76.6
donchian_breakout,1d,3.0,0.02,0.01,251.9,0.63,69.6,10,134.4,76.6
donchian_breakout,1d,3.0,0.05,0.03,133.6,0.54,72.4,10,134.4,76.6
donchian_breakout,1d,3.0,0.1,0.06,21.3,0.38,79.4,10,134.4,76.6
ichimoku_trend,1d,1.0,0.02,0.01,39.7,0.35,35.7,44,134.4,76.6
ichimoku_trend,1d,1.0,0.05,0.03,22.2,0.27,37.5,44,134.4,76.6
ichimoku_trend,1d,1.0,0.1,0.06,-0.7,0.14,40.3,44,134.4,76.6
ichimoku_trend,1d,2.0,0.02,0.01,25.4,0.3,53.4,44,134.4,76.6
ichimoku_trend,1d,2.0,0.05,0.03,-3.2,0.18,55.4,44,134.4,76.6
ichimoku_trend,1d,2.0,0.1,0.06,-35.2,-0.01,58.3,44,134.4,76.6
ichimoku_trend,1d,3.0,0.02,0.01,-21.0,0.22,68.2,44,134.4,76.6
ichimoku_trend,1d,3.0,0.05,0.03,-46.1,0.1,71.8,44,134.4,76.6
ichimoku_trend,1d,3.0,0.1,0.06,-70.3,-0.08,76.7,44,134.4,76.6
squeeze_breakout,1d,1.0,0.02,0.01,226.9,0.93,27.5,21,134.4,76.6
squeeze_breakout,1d,1.0,0.05,0.03,194.3,0.85,28.6,21,134.4,76.6
squeeze_breakout,1d,1.0,0.1,0.06,150.6,0.74,30.3,21,134.4,76.6
squeeze_breakout,1d,2.0,0.02,0.01,602.4,1.26,37.5,21,134.4,76.6
squeeze_breakout,1d,2.0,0.05,0.03,476.2,1.15,38.6,21,134.4,76.6
squeeze_breakout,1d,2.0,0.1,0.06,324.7,0.98,40.3,21,134.4,76.6
squeeze_breakout,1d,3.0,0.02,0.01,1019.6,1.08,50.0,21,134.4,76.6
squeeze_breakout,1d,3.0,0.05,0.03,740.2,1.0,51.4,21,134.4,76.6
squeeze_breakout,1d,3.0,0.1,0.06,438.2,0.85,55.0,21,134.4,76.6
trend_pullback,1d,1.0,0.02,0.01,112.8,0.57,36.8,166,134.4,76.6
trend_pullback,1d,1.0,0.05,0.03,66.8,0.44,41.7,166,134.4,76.6
trend_pullback,1d,1.0,0.1,0.06,13.8,0.23,50.6,166,134.4,76.6
trend_pullback,1d,2.0,0.02,0.01,178.5,0.61,66.1,166,134.4,76.6
trend_pullback,1d,2.0,0.05,0.03,70.7,0.45,72.0,166,134.4,76.6
trend_pullback,1d,2.0,0.1,0.06,-21.1,0.19,80.8,166,134.4,76.6
trend_pullback,1d,3.0,0.02,0.01,113.8,0.58,85.6,166,134.4,76.6
trend_pullback,1d,3.0,0.05,0.03,1.6,0.42,89.6,166,134.4,76.6
trend_pullback,1d,3.0,0.1,0.06,-68.7,0.16,94.5,166,134.4,76.6
