strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,4h,1.0,0.02,0.01,28.4,0.5,19.0,38,134.8,77.0
band_reversion_gated,4h,1.0,0.05,0.03,24.2,0.44,19.9,38,134.8,77.0
band_reversion_gated,4h,1.0,0.1,0.06,17.8,0.35,21.3,38,134.8,77.0
band_reversion_gated,4h,2.0,0.02,0.01,58.2,0.55,31.6,38,134.8,77.0
band_reversion_gated,4h,2.0,0.05,0.03,48.1,0.48,33.2,38,134.8,77.0
band_reversion_gated,4h,2.0,0.1,0.06,33.1,0.38,36.1,38,134.8,77.0
band_reversion_gated,4h,3.0,0.02,0.01,86.9,0.55,43.5,38,134.8,77.0
band_reversion_gated,4h,3.0,0.05,0.03,69.3,0.49,45.6,38,134.8,77.0
band_reversion_gated,4h,3.0,0.1,0.06,44.3,0.38,49.6,38,134.8,77.0
donchian_breakout,4h,1.0,0.02,0.01,299.5,0.98,35.0,112,134.8,77.0
donchian_breakout,4h,1.0,0.05,0.03,229.3,0.86,36.8,112,134.8,77.0
donchian_breakout,4h,1.0,0.1,0.06,143.4,0.67,39.5,112,134.8,77.0
donchian_breakout,4h,2.0,0.02,0.01,837.4,1.19,51.2,112,134.8,77.0
donchian_breakout,4h,2.0,0.05,0.03,543.5,1.02,53.5,112,134.8,77.0
donchian_breakout,4h,2.0,0.1,0.06,256.9,0.76,56.9,112,134.8,77.0
donchian_breakout,4h,3.0,0.02,0.01,1360.8,1.04,66.9,112,134.8,77.0
donchian_breakout,4h,3.0,0.05,0.03,739.1,0.89,69.3,112,134.8,77.0
donchian_breakout,4h,3.0,0.1,0.06,251.1,0.65,72.6,112,134.8,77.0
ichimoku_trend,4h,1.0,0.02,0.01,131.8,0.78,31.7,140,134.8,77.0
ichimoku_trend,4h,1.0,0.05,0.03,98.7,0.65,33.3,140,134.8,77.0
ichimoku_trend,4h,1.0,0.1,0.06,55.4,0.45,35.8,140,134.8,77.0
ichimoku_trend,4h,2.0,0.02,0.01,310.8,0.95,50.9,140,134.8,77.0
ichimoku_trend,4h,2.0,0.05,0.03,203.1,0.78,53.4,140,134.8,77.0
ichimoku_trend,4h,2.0,0.1,0.06,86.6,0.51,57.2,140,134.8,77.0
ichimoku_trend,4h,3.0,0.02,0.01,478.0,0.87,66.6,140,134.8,77.0
ichimoku_trend,4h,3.0,0.05,0.03,268.2,0.71,69.0,140,134.8,77.0
ichimoku_trend,4h,3.0,0.1,0.06,78.9,0.45,72.7,140,134.8,77.0
squeeze_breakout,4h,1.0,0.02,0.01,143.6,0.72,39.2,88,134.8,77.0
squeeze_breakout,4h,1.0,0.05,0.03,110.1,0.62,41.1,88,134.8,77.0
squeeze_breakout,4h,1.0,0.1,0.06,66.7,0.47,44.0,88,134.8,77.0
squeeze_breakout,4h,2.0,0.02,0.01,268.9,0.8,61.5,88,134.8,77.0
squeeze_breakout,4h,2.0,0.05,0.03,176.7,0.67,63.8,88,134.8,77.0
squeeze_breakout,4h,2.0,0.1,0.06,76.2,0.45,67.2,88,134.8,77.0
squeeze_breakout,4h,3.0,0.02,0.01,289.4,0.68,77.0,88,134.8,77.0
squeeze_breakout,4h,3.0,0.05,0.03,154.8,0.56,79.1,88,134.8,77.0
squeeze_breakout,4h,3.0,0.1,0.06,30.7,0.36,82.0,88,134.8,77.0
trend_pullback,4h,1.0,0.02,0.01,148.9,0.68,38.6,341,134.8,77.0
trend_pullback,4h,1.0,0.05,0.03,76.4,0.48,49.7,341,134.8,77.0
trend_pullback,4h,1.0,0.1,0.06,1.7,0.16,67.1,341,134.8,77.0
trend_pullback,4h,2.0,0.02,0.01,292.2,0.72,67.8,341,134.8,77.0
trend_pullback,4h,2.0,0.05,0.03,97.0,0.49,80.7,341,134.8,77.0
trend_pullback,4h,2.0,0.1,0.06,-34.7,0.12,91.8,341,134.8,77.0
trend_pullback,4h,3.0,0.02,0.01,293.9,0.7,87.7,341,134.8,77.0
trend_pullback,4h,3.0,0.05,0.03,39.7,0.47,94.5,341,134.8,77.0
trend_pullback,4h,3.0,0.1,0.06,-73.6,0.1,98.5,341,134.8,77.0
