strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,1d,1.0,0.02,0.01,93.1,0.84,21.9,25,166.0,76.5
band_reversion_gated,1d,1.0,0.05,0.03,83.6,0.78,22.1,25,166.0,76.5
band_reversion_gated,1d,1.0,0.1,0.06,69.7,0.7,23.2,25,166.0,76.5
band_reversion_gated,1d,2.0,0.02,0.01,226.6,0.9,39.8,25,166.0,76.5
band_reversion_gated,1d,2.0,0.05,0.03,195.8,0.84,41.1,25,166.0,76.5
band_reversion_gated,1d,2.0,0.1,0.06,153.4,0.75,43.1,25,166.0,76.5
band_reversion_gated,1d,3.0,0.02,0.01,384.8,0.87,56.0,25,166.0,76.5
band_reversion_gated,1d,3.0,0.05,0.03,318.6,0.82,57.5,25,166.0,76.5
band_reversion_gated,1d,3.0,0.1,0.06,232.7,0.73,59.7,25,166.0,76.5
donchian_breakout,1d,1.0,0.02,0.01,86.5,0.54,40.5,18,166.0,76.5
donchian_breakout,1d,1.0,0.05,0.03,62.5,0.45,42.2,18,166.0,76.5
donchian_breakout,1d,1.0,0.1,0.06,31.5,0.31,44.6,18,166.0,76.5
donchian_breakout,1d,2.0,0.02,0.01,129.8,0.58,50.6,18,166.0,76.5
donchian_breakout,1d,2.0,0.05,0.03,77.0,0.46,52.9,18,166.0,76.5
donchian_breakout,1d,2.0,0.1,0.06,18.2,0.27,56.3,18,166.0,76.5
donchian_breakout,1d,3.0,0.02,0.01,103.9,0.49,66.0,18,166.0,76.5
donchian_breakout,1d,3.0,0.05,0.03,38.6,0.38,68.1,18,166.0,76.5
donchian_breakout,1d,3.0,0.1,0.06,-24.1,0.19,71.1,18,166.0,76.5
ichimoku_trend,1d,1.0,0.02,0.01,137.5,0.67,30.1,41,166.0,76.5
ichimoku_trend,1d,1.0,0.05,0.03,105.7,0.58,32.8,41,166.0,76.5
ichimoku_trend,1d,1.0,0.1,0.06,65.0,0.45,37.2,41,166.0,76.5
ichimoku_trend,1d,2.0,0.02,0.01,266.3,0.78,50.0,41,166.0,76.5
ichimoku_trend,1d,2.0,0.05,0.03,178.5,0.66,53.7,41,166.0,76.5
ichimoku_trend,1d,2.0,0.1,0.06,82.3,0.47,59.4,41,166.0,76.5
ichimoku_trend,1d,3.0,0.02,0.01,302.2,0.69,67.2,41,166.0,76.5
ichimoku_trend,1d,3.0,0.05,0.03,169.4,0.58,70.8,41,166.0,76.5
ichimoku_trend,1d,3.0,0.1,0.06,44.3,0.4,78.3,41,166.0,76.5
squeeze_breakout,1d,1.0,0.02,0.01,156.9,0.68,53.6,19,166.0,76.5
squeeze_breakout,1d,1.0,0.05,0.03,120.3,0.59,55.6,19,166.0,76.5
squeeze_breakout,1d,1.0,0.1,0.06,74.1,0.46,58.4,19,166.0,76.5
squeeze_breakout,1d,2.0,0.02,0.01,320.7,0.82,71.9,19,166.0,76.5
squeeze_breakout,1d,2.0,0.05,0.03,214.8,0.7,74.0,19,166.0,76.5
squeeze_breakout,1d,2.0,0.1,0.06,100.9,0.51,77.3,19,166.0,76.5
squeeze_breakout,1d,3.0,0.02,0.01,395.3,0.74,85.9,19,166.0,76.5
squeeze_breakout,1d,3.0,0.05,0.03,223.0,0.63,87.7,19,166.0,76.5
squeeze_breakout,1d,3.0,0.1,0.06,65.3,0.44,90.0,19,166.0,76.5
trend_pullback,1d,1.0,0.02,0.01,140.6,0.63,35.4,151,166.0,76.5
trend_pullback,1d,1.0,0.05,0.03,88.7,0.5,37.4,151,166.0,76.5
trend_pullback,1d,1.0,0.1,0.06,28.9,0.3,46.1,151,166.0,76.5
trend_pullback,1d,2.0,0.02,0.01,222.9,0.67,58.7,151,166.0,76.5
trend_pullback,1d,2.0,0.05,0.03,96.0,0.51,65.1,151,166.0,76.5
trend_pullback,1d,2.0,0.1,0.06,-10.5,0.25,79.4,151,166.0,76.5
trend_pullback,1d,3.0,0.02,0.01,96.5,0.62,81.9,151,166.0,76.5
trend_pullback,1d,3.0,0.05,0.03,-10.8,0.46,90.1,151,166.0,76.5
trend_pullback,1d,3.0,0.1,0.06,-74.4,0.2,96.1,151,166.0,76.5
