strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,4h,1.0,0.02,0.01,26.9,0.48,17.1,80,165.9,77.1
band_reversion_gated,4h,1.0,0.05,0.03,18.9,0.36,18.8,80,165.9,77.1
band_reversion_gated,4h,1.0,0.1,0.06,6.9,0.17,21.5,80,165.9,77.1
band_reversion_gated,4h,2.0,0.02,0.01,51.8,0.47,32.0,80,165.9,77.1
band_reversion_gated,4h,2.0,0.05,0.03,33.2,0.36,34.8,80,165.9,77.1
band_reversion_gated,4h,2.0,0.1,0.06,7.8,0.17,39.2,80,165.9,77.1
band_reversion_gated,4h,3.0,0.02,0.01,71.4,0.46,45.0,80,165.9,77.1
band_reversion_gated,4h,3.0,0.05,0.03,41.0,0.35,48.4,80,165.9,77.1
band_reversion_gated,4h,3.0,0.1,0.06,2.6,0.16,53.6,80,165.9,77.1
donchian_breakout,4h,1.0,0.02,0.01,160.1,0.59,50.8,142,165.9,77.1
donchian_breakout,4h,1.0,0.05,0.03,76.4,0.45,55.1,142,165.9,77.1
donchian_breakout,4h,1.0,0.1,0.06,-3.2,0.23,64.3,142,165.9,77.1
donchian_breakout,4h,2.0,0.02,0.01,134.9,0.55,72.4,142,165.9,77.1
donchian_breakout,4h,2.0,0.05,0.03,10.1,0.34,77.6,142,165.9,77.1
donchian_breakout,4h,2.0,0.1,0.06,-66.0,0.01,89.8,142,165.9,77.1
donchian_breakout,4h,3.0,0.02,0.01,-12.9,0.44,88.5,142,165.9,77.1
donchian_breakout,4h,3.0,0.05,0.03,-71.7,0.23,94.8,142,165.9,77.1
donchian_breakout,4h,3.0,0.1,0.06,-95.1,-0.1,98.7,142,165.9,77.1
ichimoku_trend,4h,1.0,0.02,0.01,119.3,0.72,30.4,62,165.9,77.1
ichimoku_trend,4h,1.0,0.05,0.03,97.0,0.63,33.7,62,165.9,77.1
ichimoku_trend,4h,1.0,0.1,0.06,66.6,0.5,39.4,62,165.9,77.1
ichimoku_trend,4h,2.0,0.02,0.01,261.6,0.88,41.6,62,165.9,77.1
ichimoku_trend,4h,2.0,0.05,0.03,193.5,0.76,47.5,62,165.9,77.1
ichimoku_trend,4h,2.0,0.1,0.06,111.6,0.58,55.5,62,165.9,77.1
ichimoku_trend,4h,3.0,0.02,0.01,382.2,0.8,60.0,62,165.9,77.1
ichimoku_trend,4h,3.0,0.05,0.03,254.6,0.69,66.0,62,165.9,77.1
ichimoku_trend,4h,3.0,0.1,0.06,118.7,0.51,73.6,62,165.9,77.1
squeeze_breakout,4h,1.0,0.02,0.01,13.1,0.25,23.0,18,165.9,77.1
squeeze_breakout,4h,1.0,0.05,0.03,9.9,0.2,24.2,18,165.9,77.1
squeeze_breakout,4h,1.0,0.1,0.06,5.0,0.13,26.1,18,165.9,77.1
squeeze_breakout,4h,2.0,0.02,0.01,20.6,0.28,34.4,18,165.9,77.1
squeeze_breakout,4h,2.0,0.05,0.03,13.9,0.22,36.0,18,165.9,77.1
squeeze_breakout,4h,2.0,0.1,0.06,4.1,0.12,38.9,18,165.9,77.1
squeeze_breakout,4h,3.0,0.02,0.01,21.8,0.26,47.5,18,165.9,77.1
squeeze_breakout,4h,3.0,0.05,0.03,11.9,0.2,49.7,18,165.9,77.1
squeeze_breakout,4h,3.0,0.1,0.06,-2.1,0.1,53.2,18,165.9,77.1
trend_pullback,4h,1.0,0.02,0.01,139.5,0.64,37.4,348,165.9,77.1
trend_pullback,4h,1.0,0.05,0.03,68.7,0.45,45.9,348,165.9,77.1
trend_pullback,4h,1.0,0.1,0.06,-3.8,0.14,64.7,348,165.9,77.1
trend_pullback,4h,2.0,0.02,0.01,240.9,0.66,65.5,348,165.9,77.1
trend_pullback,4h,2.0,0.05,0.03,68.9,0.44,77.9,348,165.9,77.1
trend_pullback,4h,2.0,0.1,0.06,-45.2,0.09,90.6,348,165.9,77.1
trend_pullback,4h,3.0,0.02,0.01,191.0,0.64,84.8,348,165.9,77.1
trend_pullback,4h,3.0,0.05,0.03,1.0,0.42,93.2,348,165.9,77.1
trend_pullback,4h,3.0,0.1,0.06,-81.5,0.07,98.2,348,165.9,77.1
