strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,4h,1.0,0.02,0.01,1.8,0.11,30.2,13,2901.4,83.8
band_reversion_gated,4h,1.0,0.05,0.03,0.1,0.09,30.3,13,2901.4,83.8
band_reversion_gated,4h,1.0,0.1,0.06,-2.5,0.05,30.4,13,2901.4,83.8
band_reversion_gated,4h,2.0,0.02,0.01,-2.2,0.11,41.6,13,2901.4,83.8
band_reversion_gated,4h,2.0,0.05,0.03,-5.4,0.08,41.7,13,2901.4,83.8
band_reversion_gated,4h,2.0,0.1,0.06,-10.3,0.03,42.0,13,2901.4,83.8
band_reversion_gated,4h,3.0,0.02,0.01,-12.2,0.11,52.9,13,2901.4,83.8
band_reversion_gated,4h,3.0,0.05,0.03,-16.6,0.07,53.2,13,2901.4,83.8
band_reversion_gated,4h,3.0,0.1,0.06,-23.1,0.02,53.6,13,2901.4,83.8
donchian_breakout,4h,1.0,0.02,0.01,1506.1,1.59,47.6,32,2901.4,83.8
donchian_breakout,4h,1.0,0.05,0.03,1335.9,1.53,49.0,32,2901.4,83.8
donchian_breakout,4h,1.0,0.1,0.06,1108.9,1.44,51.0,32,2901.4,83.8
donchian_breakout,4h,2.0,0.02,0.01,7950.1,1.96,51.6,32,2901.4,83.8
donchian_breakout,4h,2.0,0.05,0.03,6465.9,1.9,53.7,32,2901.4,83.8
donchian_breakout,4h,2.0,0.1,0.06,4693.3,1.8,56.8,32,2901.4,83.8
donchian_breakout,4h,3.0,0.02,0.01,19506.4,1.72,66.5,32,2901.4,83.8
donchian_breakout,4h,3.0,0.05,0.03,14534.3,1.67,68.8,32,2901.4,83.8
donchian_breakout,4h,3.0,0.1,0.06,9195.4,1.58,72.0,32,2901.4,83.8
ichimoku_trend,4h,1.0,0.02,0.01,4176.0,2.07,40.6,192,2901.4,83.8
ichimoku_trend,4h,1.0,0.05,0.03,3299.3,1.95,42.7,192,2901.4,83.8
ichimoku_trend,4h,1.0,0.1,0.06,2262.3,1.76,46.3,192,2901.4,83.8
ichimoku_trend,4h,2.0,0.02,0.01,56130.4,2.65,62.7,192,2901.4,83.8
ichimoku_trend,4h,2.0,0.05,0.03,35977.1,2.5,65.3,192,2901.4,83.8
ichimoku_trend,4h,2.0,0.1,0.06,17709.0,2.24,70.8,192,2901.4,83.8
ichimoku_trend,4h,3.0,0.02,0.01,311480.2,2.36,77.5,192,2901.4,83.8
ichimoku_trend,4h,3.0,0.05,0.03,162266.0,2.22,81.0,192,2901.4,83.8
ichimoku_trend,4h,3.0,0.1,0.06,57315.6,1.99,85.8,192,2901.4,83.8
squeeze_breakout,4h,1.0,0.02,0.01,674.4,1.34,34.1,78,2901.4,83.8
squeeze_breakout,4h,1.0,0.05,0.03,569.1,1.25,35.5,78,2901.4,83.8
squeeze_breakout,4h,1.0,0.1,0.06,432.9,1.12,38.2,78,2901.4,83.8
squeeze_breakout,4h,2.0,0.02,0.01,2740.1,1.78,52.0,78,2901.4,83.8
squeeze_breakout,4h,2.0,0.05,0.03,2039.5,1.65,54.0,78,2901.4,83.8
squeeze_breakout,4h,2.0,0.1,0.06,1274.5,1.45,57.1,78,2901.4,83.8
squeeze_breakout,4h,3.0,0.02,0.01,5993.3,1.6,66.6,78,2901.4,83.8
squeeze_breakout,4h,3.0,0.05,0.03,3911.4,1.48,68.8,78,2901.4,83.8
squeeze_breakout,4h,3.0,0.1,0.06,1983.5,1.3,71.9,78,2901.4,83.8
trend_pullback,4h,1.0,0.02,0.01,130.4,1.09,33.8,181,2901.4,83.8
trend_pullback,4h,1.0,0.05,0.03,100.3,0.92,34.9,181,2901.4,83.8
trend_pullback,4h,1.0,0.1,0.06,59.4,0.66,36.7,181,2901.4,83.8
trend_pullback,4h,2.0,0.02,0.01,351.6,1.15,55.3,181,2901.4,83.8
trend_pullback,4h,2.0,0.05,0.03,241.3,0.98,56.9,181,2901.4,83.8
trend_pullback,4h,2.0,0.1,0.06,116.1,0.69,59.3,181,2901.4,83.8
trend_pullback,4h,3.0,0.02,0.01,646.2,1.16,71.4,181,2901.4,83.8
trend_pullback,4h,3.0,0.05,0.03,389.9,0.98,73.0,181,2901.4,83.8
trend_pullback,4h,3.0,0.1,0.06,146.3,0.69,75.3,181,2901.4,83.8
