strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,1d,1.0,0.02,0.01,67.6,0.62,21.1,12,187.5,79.3
band_reversion_gated,1d,1.0,0.05,0.03,62.1,0.59,21.4,12,187.5,79.3
band_reversion_gated,1d,1.0,0.1,0.06,54.0,0.54,21.7,12,187.5,79.3
band_reversion_gated,1d,2.0,0.02,0.01,149.3,0.74,36.2,12,187.5,79.3
band_reversion_gated,1d,2.0,0.05,0.03,133.5,0.7,36.6,12,187.5,79.3
band_reversion_gated,1d,2.0,0.1,0.06,111.0,0.64,37.4,12,187.5,79.3
band_reversion_gated,1d,3.0,0.02,0.01,225.2,0.73,51.2,12,187.5,79.3
band_reversion_gated,1d,3.0,0.05,0.03,194.5,0.69,51.9,12,187.5,79.3
band_reversion_gated,1d,3.0,0.1,0.06,152.4,0.63,53.0,12,187.5,79.3
donchian_breakout,1d,1.0,0.02,0.01,238.4,0.69,42.9,13,187.5,79.3
donchian_breakout,1d,1.0,0.05,0.03,173.5,0.61,46.6,13,187.5,79.3
donchian_breakout,1d,1.0,0.1,0.06,97.0,0.49,51.8,13,187.5,79.3
donchian_breakout,1d,2.0,0.02,0.01,591.8,0.91,41.0,13,187.5,79.3
donchian_breakout,1d,2.0,0.05,0.03,362.5,0.78,46.1,13,187.5,79.3
donchian_breakout,1d,2.0,0.1,0.06,145.8,0.57,53.3,13,187.5,79.3
donchian_breakout,1d,3.0,0.02,0.01,868.0,0.91,54.8,13,187.5,79.3
donchian_breakout,1d,3.0,0.05,0.03,427.1,0.78,58.3,13,187.5,79.3
donchian_breakout,1d,3.0,0.1,0.06,97.8,0.55,64.2,13,187.5,79.3
ichimoku_trend,1d,1.0,0.02,0.01,182.7,0.73,40.0,13,187.5,79.3
ichimoku_trend,1d,1.0,0.05,0.03,151.0,0.66,41.3,13,187.5,79.3
ichimoku_trend,1d,1.0,0.1,0.06,109.3,0.56,43.3,13,187.5,79.3
ichimoku_trend,1d,2.0,0.02,0.01,466.9,1.0,49.0,13,187.5,79.3
ichimoku_trend,1d,2.0,0.05,0.03,354.5,0.9,51.2,13,187.5,79.3
ichimoku_trend,1d,2.0,0.1,0.06,222.8,0.75,54.6,13,187.5,79.3
ichimoku_trend,1d,3.0,0.02,0.01,778.6,0.97,63.7,13,187.5,79.3
ichimoku_trend,1d,3.0,0.05,0.03,538.0,0.88,65.5,13,187.5,79.3
ichimoku_trend,1d,3.0,0.1,0.06,286.7,0.73,68.1,13,187.5,79.3
squeeze_breakout,1d,1.0,0.02,0.01,497.7,1.16,33.5,30,187.5,79.3
squeeze_breakout,1d,1.0,0.05,0.03,444.6,1.1,34.2,30,187.5,79.3
squeeze_breakout,1d,1.0,0.1,0.06,371.9,1.02,35.3,30,187.5,79.3
squeeze_breakout,1d,2.0,0.02,0.01,1915.4,1.52,48.4,30,187.5,79.3
squeeze_breakout,1d,2.0,0.05,0.03,1591.5,1.45,49.5,30,187.5,79.3
squeeze_breakout,1d,2.0,0.1,0.06,1190.2,1.34,51.2,30,187.5,79.3
squeeze_breakout,1d,3.0,0.02,0.01,4518.5,1.36,63.7,30,187.5,79.3
squeeze_breakout,1d,3.0,0.05,0.03,3485.1,1.3,64.7,30,187.5,79.3
squeeze_breakout,1d,3.0,0.1,0.06,2319.3,1.2,66.3,30,187.5,79.3
trend_pullback,1d,1.0,0.02,0.01,43.4,0.4,41.1,36,187.5,79.3
trend_pullback,1d,1.0,0.05,0.03,34.1,0.35,41.5,36,187.5,79.3
trend_pullback,1d,1.0,0.1,0.06,20.7,0.26,42.2,36,187.5,79.3
trend_pullback,1d,2.0,0.02,0.01,58.0,0.41,63.8,36,187.5,79.3
trend_pullback,1d,2.0,0.05,0.03,38.3,0.35,64.2,36,187.5,79.3
trend_pullback,1d,2.0,0.1,0.06,12.2,0.24,65.9,36,187.5,79.3
trend_pullback,1d,3.0,0.02,0.01,31.2,0.38,80.3,36,187.5,79.3
trend_pullback,1d,3.0,0.05,0.03,7.2,0.31,80.7,36,187.5,79.3
trend_pullback,1d,3.0,0.1,0.06,-21.9,0.21,84.3,36,187.5,79.3
