strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,4h,1.0,0.02,0.01,49.7,0.42,25.1,125,181.3,81.1
band_reversion_gated,4h,1.0,0.05,0.03,33.7,0.34,25.7,125,181.3,81.1
band_reversion_gated,4h,1.0,0.1,0.06,11.4,0.2,28.9,125,181.3,81.1
band_reversion_gated,4h,2.0,0.02,0.01,67.1,0.43,43.8,125,181.3,81.1
band_reversion_gated,4h,2.0,0.05,0.03,33.1,0.34,46.8,125,181.3,81.1
band_reversion_gated,4h,2.0,0.1,0.06,-7.7,0.19,51.4,125,181.3,81.1
band_reversion_gated,4h,3.0,0.02,0.01,36.4,0.42,60.9,125,181.3,81.1
band_reversion_gated,4h,3.0,0.05,0.03,-3.3,0.33,64.1,125,181.3,81.1
band_reversion_gated,4h,3.0,0.1,0.06,-44.5,0.18,68.7,125,181.3,81.1
donchian_breakout,4h,1.0,0.02,0.01,674.4,1.01,47.7,50,181.3,81.1
donchian_breakout,4h,1.0,0.05,0.03,553.3,0.94,48.6,50,181.3,81.1
donchian_breakout,4h,1.0,0.1,0.06,403.0,0.84,49.9,50,181.3,81.1
donchian_breakout,4h,2.0,0.02,0.01,2014.2,1.22,68.1,50,181.3,81.1
donchian_breakout,4h,2.0,0.05,0.03,1436.7,1.13,68.9,50,181.3,81.1
donchian_breakout,4h,2.0,0.1,0.06,838.6,0.98,70.9,50,181.3,81.1
donchian_breakout,4h,3.0,0.02,0.01,2496.0,1.09,84.1,50,181.3,81.1
donchian_breakout,4h,3.0,0.05,0.03,1531.1,1.0,85.2,50,181.3,81.1
donchian_breakout,4h,3.0,0.1,0.06,692.7,0.86,87.6,50,181.3,81.1
ichimoku_trend,4h,1.0,0.02,0.01,216.8,0.72,38.4,135,181.3,81.1
ichimoku_trend,4h,1.0,0.05,0.03,158.6,0.62,39.5,135,181.3,81.1
ichimoku_trend,4h,1.0,0.1,0.06,88.0,0.48,41.5,135,181.3,81.1
ichimoku_trend,4h,2.0,0.02,0.01,373.2,0.79,57.2,135,181.3,81.1
ichimoku_trend,4h,2.0,0.05,0.03,219.1,0.65,58.3,135,181.3,81.1
ichimoku_trend,4h,2.0,0.1,0.06,71.4,0.44,60.0,135,181.3,81.1
ichimoku_trend,4h,3.0,0.02,0.01,302.1,0.68,72.6,135,181.3,81.1
ichimoku_trend,4h,3.0,0.05,0.03,124.7,0.55,73.7,135,181.3,81.1
ichimoku_trend,4h,3.0,0.1,0.06,-10.5,0.34,77.2,135,181.3,81.1
squeeze_breakout,4h,1.0,0.02,0.01,114.5,0.83,30.4,31,181.3,81.1
squeeze_breakout,4h,1.0,0.05,0.03,102.8,0.77,31.5,31,181.3,81.1
squeeze_breakout,4h,1.0,0.1,0.06,85.7,0.68,33.0,31,181.3,81.1
squeeze_breakout,4h,2.0,0.02,0.01,242.7,0.92,43.7,31,181.3,81.1
squeeze_breakout,4h,2.0,0.05,0.03,207.8,0.86,44.9,31,181.3,81.1
squeeze_breakout,4h,2.0,0.1,0.06,160.3,0.75,46.8,31,181.3,81.1
squeeze_breakout,4h,3.0,0.02,0.01,344.0,0.77,58.2,31,181.3,81.1
squeeze_breakout,4h,3.0,0.05,0.03,279.9,0.72,59.6,31,181.3,81.1
squeeze_breakout,4h,3.0,0.1,0.06,197.5,0.63,61.7,31,181.3,81.1
trend_pullback,4h,1.0,0.02,0.01,159.8,0.71,35.4,509,181.3,81.1
trend_pullback,4h,1.0,0.05,0.03,78.5,0.49,38.4,509,181.3,81.1
trend_pullback,4h,1.0,0.1,0.06,-3.5,0.13,51.7,509,181.3,81.1
trend_pullback,4h,2.0,0.02,0.01,326.8,0.74,59.5,509,181.3,81.1
trend_pullback,4h,2.0,0.05,0.03,101.4,0.5,63.2,509,181.3,81.1
trend_pullback,4h,2.0,0.1,0.06,-41.2,0.11,80.2,509,181.3,81.1
trend_pullback,4h,3.0,0.02,0.01,338.7,0.73,76.0,509,181.3,81.1
trend_pullback,4h,3.0,0.05,0.03,41.7,0.49,81.8,509,181.3,81.1
trend_pullback,4h,3.0,0.1,0.06,-77.8,0.1,93.8,509,181.3,81.1
