strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,1d,1.0,0.02,0.01,57.5,0.47,42.7,13,4346.0,96.3
band_reversion_gated,1d,1.0,0.05,0.03,51.7,0.44,43.5,13,4346.0,96.3
band_reversion_gated,1d,1.0,0.1,0.06,43.2,0.4,44.7,13,4346.0,96.3
band_reversion_gated,1d,2.0,0.02,0.01,70.6,0.47,70.5,13,4346.0,96.3
band_reversion_gated,1d,2.0,0.05,0.03,54.5,0.43,72.0,13,4346.0,96.3
band_reversion_gated,1d,2.0,0.1,0.06,32.0,0.37,74.3,13,4346.0,96.3
band_reversion_gated,1d,3.0,0.02,0.01,-80.6,0.41,98.3,13,4346.0,96.3
band_reversion_gated,1d,3.0,0.05,0.03,-100.0,0.39,100.0,11,4346.0,96.3
band_reversion_gated,1d,3.0,0.1,0.06,-100.0,0.36,100.0,11,4346.0,96.3
donchian_breakout,1d,1.0,0.02,0.01,10382.9,1.41,73.7,26,4346.0,96.3
donchian_breakout,1d,1.0,0.05,0.03,8611.5,1.37,75.4,26,4346.0,96.3
donchian_breakout,1d,1.0,0.1,0.06,6462.3,1.3,77.7,26,4346.0,96.3
donchian_breakout,1d,2.0,0.02,0.01,28790.5,1.54,86.7,26,4346.0,96.3
donchian_breakout,1d,2.0,0.05,0.03,19987.6,1.48,88.4,26,4346.0,96.3
donchian_breakout,1d,2.0,0.1,0.06,11345.7,1.37,90.5,26,4346.0,96.3
donchian_breakout,1d,3.0,0.02,0.01,15191.9,1.33,96.4,26,4346.0,96.3
donchian_breakout,1d,3.0,0.05,0.03,8371.1,1.26,97.2,26,4346.0,96.3
donchian_breakout,1d,3.0,0.1,0.06,3245.1,1.15,98.1,26,4346.0,96.3
ichimoku_trend,1d,1.0,0.02,0.01,330.2,0.73,72.1,55,4346.0,96.3
ichimoku_trend,1d,1.0,0.05,0.03,274.9,0.69,72.7,55,4346.0,96.3
ichimoku_trend,1d,1.0,0.1,0.06,203.0,0.63,73.7,55,4346.0,96.3
ichimoku_trend,1d,2.0,0.02,0.01,48.8,0.52,89.0,55,4346.0,96.3
ichimoku_trend,1d,2.0,0.05,0.03,12.6,0.47,89.5,55,4346.0,96.3
ichimoku_trend,1d,2.0,0.1,0.06,-27.0,0.38,90.3,55,4346.0,96.3
ichimoku_trend,1d,3.0,0.02,0.01,-100.0,0.22,100.0,3,4346.0,96.3
ichimoku_trend,1d,3.0,0.05,0.03,-100.0,0.2,100.0,3,4346.0,96.3
ichimoku_trend,1d,3.0,0.1,0.06,-100.0,0.18,100.0,3,4346.0,96.3
squeeze_breakout,1d,1.0,0.02,0.01,5611.5,1.38,64.5,20,4346.0,96.3
squeeze_breakout,1d,1.0,0.05,0.03,5043.4,1.35,66.3,20,4346.0,96.3
squeeze_breakout,1d,1.0,0.1,0.06,4281.5,1.31,69.7,20,4346.0,96.3
squeeze_breakout,1d,2.0,0.02,0.01,13760.0,1.51,87.1,20,4346.0,96.3
squeeze_breakout,1d,2.0,0.05,0.03,11215.1,1.46,88.6,20,4346.0,96.3
squeeze_breakout,1d,2.0,0.1,0.06,8175.3,1.39,90.6,20,4346.0,96.3
squeeze_breakout,1d,3.0,0.02,0.01,8008.7,1.24,97.7,20,4346.0,96.3
squeeze_breakout,1d,3.0,0.05,0.03,5675.9,1.2,98.1,20,4346.0,96.3
squeeze_breakout,1d,3.0,0.1,0.06,3295.0,1.13,98.7,20,4346.0,96.3
trend_pullback,1d,1.0,0.02,0.01,617.8,1.24,27.5,34,4346.0,96.3
trend_pullback,1d,1.0,0.05,0.03,580.6,1.21,28.5,34,4346.0,96.3
trend_pullback,1d,1.0,0.1,0.06,526.1,1.17,29.9,34,4346.0,96.3
trend_pullback,1d,2.0,0.02,0.01,2468.1,1.24,52.6,34,4346.0,96.3
trend_pullback,1d,2.0,0.05,0.03,2214.7,1.22,54.0,34,4346.0,96.3
trend_pullback,1d,2.0,0.1,0.06,1866.2,1.17,56.0,34,4346.0,96.3
trend_pullback,1d,3.0,0.02,0.01,5214.5,1.15,72.8,34,4346.0,96.3
trend_pullback,1d,3.0,0.05,0.03,4438.7,1.12,74.1,34,4346.0,96.3
trend_pullback,1d,3.0,0.1,0.06,3439.3,1.08,76.1,34,4346.0,96.3
