strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,4h,1.0,0.02,0.01,218.7,1.15,19.8,55,5009.5,96.6
band_reversion_gated,4h,1.0,0.05,0.03,205.0,1.11,20.5,55,5009.5,96.6
band_reversion_gated,4h,1.0,0.1,0.06,183.9,1.05,21.6,55,5009.5,96.6
band_reversion_gated,4h,2.0,0.02,0.01,717.2,1.13,34.7,55,5009.5,96.6
band_reversion_gated,4h,2.0,0.05,0.03,649.3,1.1,35.8,55,5009.5,96.6
band_reversion_gated,4h,2.0,0.1,0.06,550.6,1.04,37.6,55,5009.5,96.6
band_reversion_gated,4h,3.0,0.02,0.01,1628.3,1.11,48.1,55,5009.5,96.6
band_reversion_gated,4h,3.0,0.05,0.03,1419.1,1.07,49.4,55,5009.5,96.6
band_reversion_gated,4h,3.0,0.1,0.06,1131.0,1.01,51.5,55,5009.5,96.6
donchian_breakout,4h,1.0,0.02,0.01,2957.5,1.29,60.6,37,5009.5,96.6
donchian_breakout,4h,1.0,0.05,0.03,2663.4,1.26,60.8,37,5009.5,96.6
donchian_breakout,4h,1.0,0.1,0.06,2264.4,1.22,61.1,37,5009.5,96.6
donchian_breakout,4h,2.0,0.02,0.01,659.4,1.29,97.6,37,5009.5,96.6
donchian_breakout,4h,2.0,0.05,0.03,494.6,1.25,97.8,37,5009.5,96.6
donchian_breakout,4h,2.0,0.1,0.06,302.8,1.2,98.0,37,5009.5,96.6
donchian_breakout,4h,3.0,0.02,0.01,-100.0,2.81,100.0,4,5009.5,96.6
donchian_breakout,4h,3.0,0.05,0.03,-100.0,2.8,100.0,4,5009.5,96.6
donchian_breakout,4h,3.0,0.1,0.06,-100.0,2.78,100.0,4,5009.5,96.6
ichimoku_trend,4h,1.0,0.02,0.01,9926.2,1.65,45.4,96,5009.5,96.6
ichimoku_trend,4h,1.0,0.05,0.03,8363.4,1.59,45.7,96,5009.5,96.6
ichimoku_trend,4h,1.0,0.1,0.06,6398.2,1.51,46.2,96,5009.5,96.6
ichimoku_trend,4h,2.0,0.02,0.01,200251.3,2.17,61.0,96,5009.5,96.6
ichimoku_trend,4h,2.0,0.05,0.03,145485.4,2.09,61.9,96,5009.5,96.6
ichimoku_trend,4h,2.0,0.1,0.06,88214.6,1.98,63.2,96,5009.5,96.6
ichimoku_trend,4h,3.0,0.02,0.01,1492211.5,2.02,76.5,96,5009.5,96.6
ichimoku_trend,4h,3.0,0.05,0.03,940884.0,1.95,77.1,96,5009.5,96.6
ichimoku_trend,4h,3.0,0.1,0.06,455875.6,1.85,78.1,96,5009.5,96.6
squeeze_breakout,4h,1.0,0.02,0.01,3439.0,1.25,52.5,120,5009.5,96.6
squeeze_breakout,4h,1.0,0.05,0.03,2749.6,1.2,53.6,120,5009.5,96.6
squeeze_breakout,4h,1.0,0.1,0.06,1932.7,1.11,55.3,120,5009.5,96.6
squeeze_breakout,4h,2.0,0.02,0.01,12455.4,1.41,76.5,120,5009.5,96.6
squeeze_breakout,4h,2.0,0.05,0.03,8154.2,1.33,77.6,120,5009.5,96.6
squeeze_breakout,4h,2.0,0.1,0.06,4181.8,1.19,79.9,120,5009.5,96.6
squeeze_breakout,4h,3.0,0.02,0.01,6817.5,1.22,90.4,120,5009.5,96.6
squeeze_breakout,4h,3.0,0.05,0.03,3576.0,1.14,91.4,120,5009.5,96.6
squeeze_breakout,4h,3.0,0.1,0.06,1261.2,1.02,92.9,120,5009.5,96.6
trend_pullback,4h,1.0,0.02,0.01,548.8,0.91,57.5,166,5009.5,96.6
trend_pullback,4h,1.0,0.05,0.03,449.1,0.85,58.3,166,5009.5,96.6
trend_pullback,4h,1.0,0.1,0.06,320.2,0.75,59.8,166,5009.5,96.6
trend_pullback,4h,2.0,0.02,0.01,1124.3,0.92,85.3,166,5009.5,96.6
trend_pullback,4h,2.0,0.05,0.03,774.8,0.85,86.0,166,5009.5,96.6
trend_pullback,4h,2.0,0.1,0.06,410.3,0.75,87.1,166,5009.5,96.6
trend_pullback,4h,3.0,0.02,0.01,562.9,0.88,96.5,166,5009.5,96.6
trend_pullback,4h,3.0,0.05,0.03,295.3,0.81,96.8,166,5009.5,96.6
trend_pullback,4h,3.0,0.1,0.06,72.3,0.71,97.9,166,5009.5,96.6
