strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,1d,1.0,0.02,0.01,145.9,0.77,26.1,27,349.8,83.2
band_reversion_gated,1d,1.0,0.05,0.03,133.5,0.73,26.7,27,349.8,83.2
band_reversion_gated,1d,1.0,0.1,0.06,115.4,0.68,27.6,27,349.8,83.2
band_reversion_gated,1d,2.0,0.02,0.01,356.9,0.86,46.3,27,349.8,83.2
band_reversion_gated,1d,2.0,0.05,0.03,313.6,0.82,47.2,27,349.8,83.2
band_reversion_gated,1d,2.0,0.1,0.06,254.0,0.76,48.6,27,349.8,83.2
band_reversion_gated,1d,3.0,0.02,0.01,551.7,0.84,64.4,27,349.8,83.2
band_reversion_gated,1d,3.0,0.05,0.03,463.0,0.81,65.4,27,349.8,83.2
band_reversion_gated,1d,3.0,0.1,0.06,347.6,0.74,66.9,27,349.8,83.2
donchian_breakout,1d,1.0,0.02,0.01,329.0,0.74,53.4,19,349.8,83.2
donchian_breakout,1d,1.0,0.05,0.03,305.5,0.72,54.4,19,349.8,83.2
donchian_breakout,1d,1.0,0.1,0.06,271.9,0.69,55.9,19,349.8,83.2
donchian_breakout,1d,2.0,0.02,0.01,542.3,0.82,67.3,19,349.8,83.2
donchian_breakout,1d,2.0,0.05,0.03,474.1,0.79,69.1,19,349.8,83.2
donchian_breakout,1d,2.0,0.1,0.06,382.4,0.74,71.8,19,349.8,83.2
donchian_breakout,1d,3.0,0.02,0.01,324.7,0.73,84.6,19,349.8,83.2
donchian_breakout,1d,3.0,0.05,0.03,253.5,0.7,86.7,19,349.8,83.2
donchian_breakout,1d,3.0,0.1,0.06,165.4,0.65,89.6,19,349.8,83.2
ichimoku_trend,1d,1.0,0.02,0.01,254.4,0.71,58.8,64,349.8,83.2
ichimoku_trend,1d,1.0,0.05,0.03,208.1,0.66,61.7,64,349.8,83.2
ichimoku_trend,1d,1.0,0.1,0.06,147.9,0.57,65.9,64,349.8,83.2
ichimoku_trend,1d,2.0,0.02,0.01,212.5,0.62,79.6,64,349.8,83.2
ichimoku_trend,1d,2.0,0.05,0.03,136.8,0.54,82.1,64,349.8,83.2
ichimoku_trend,1d,2.0,0.1,0.06,53.6,0.42,85.6,64,349.8,83.2
ichimoku_trend,1d,3.0,0.02,0.01,36.9,0.46,92.7,64,349.8,83.2
ichimoku_trend,1d,3.0,0.05,0.03,-10.5,0.39,94.1,64,349.8,83.2
ichimoku_trend,1d,3.0,0.1,0.06,-54.1,0.27,95.8,64,349.8,83.2
squeeze_breakout,1d,1.0,0.02,0.01,482.9,0.82,42.7,24,349.8,83.2
squeeze_breakout,1d,1.0,0.05,0.03,435.8,0.79,43.2,24,349.8,83.2
squeeze_breakout,1d,1.0,0.1,0.06,370.7,0.75,44.0,24,349.8,83.2
squeeze_breakout,1d,2.0,0.02,0.01,1038.4,0.99,61.6,24,349.8,83.2
squeeze_breakout,1d,2.0,0.05,0.03,862.7,0.94,62.4,24,349.8,83.2
squeeze_breakout,1d,2.0,0.1,0.06,643.1,0.87,63.5,24,349.8,83.2
squeeze_breakout,1d,3.0,0.02,0.01,999.5,0.91,78.9,24,349.8,83.2
squeeze_breakout,1d,3.0,0.05,0.03,746.6,0.86,79.7,24,349.8,83.2
squeeze_breakout,1d,3.0,0.1,0.06,463.7,0.78,80.9,24,349.8,83.2
trend_pullback,1d,1.0,0.02,0.01,79.2,0.42,52.3,72,349.8,83.2
trend_pullback,1d,1.0,0.05,0.03,58.4,0.37,53.5,72,349.8,83.2
trend_pullback,1d,1.0,0.1,0.06,30.7,0.29,55.3,72,349.8,83.2
trend_pullback,1d,2.0,0.02,0.01,69.7,0.4,78.6,72,349.8,83.2
trend_pullback,1d,2.0,0.05,0.03,32.4,0.35,80.4,72,349.8,83.2
trend_pullback,1d,2.0,0.1,0.06,-10.3,0.26,82.9,72,349.8,83.2
trend_pullback,1d,3.0,0.02,0.01,-9.5,0.39,93.9,72,349.8,83.2
trend_pullback,1d,3.0,0.05,0.03,-38.2,0.33,94.7,72,349.8,83.2
trend_pullback,1d,3.0,0.1,0.06,-66.0,0.25,95.8,72,349.8,83.2
