strategia,intervallo,leva,fee_%,carry_%,rendimento_%,sharpe,max_drawdown_%,n_trade,buy_hold_%,buy_hold_drawdown_%
band_reversion_gated,4h,1.0,0.02,0.01,91.0,0.61,31.0,93,369.9,84.5
band_reversion_gated,4h,1.0,0.05,0.03,74.8,0.54,31.0,93,369.9,84.5
band_reversion_gated,4h,1.0,0.1,0.06,51.5,0.43,32.1,93,369.9,84.5
band_reversion_gated,4h,2.0,0.02,0.01,158.1,0.62,51.1,93,369.9,84.5
band_reversion_gated,4h,2.0,0.05,0.03,115.7,0.54,53.4,93,369.9,84.5
band_reversion_gated,4h,2.0,0.1,0.06,61.7,0.42,56.9,93,369.9,84.5
band_reversion_gated,4h,3.0,0.02,0.01,139.5,0.57,69.8,93,369.9,84.5
band_reversion_gated,4h,3.0,0.05,0.03,82.1,0.49,71.9,93,369.9,84.5
band_reversion_gated,4h,3.0,0.1,0.06,17.1,0.37,75.1,93,369.9,84.5
donchian_breakout,4h,1.0,0.02,0.01,819.3,1.11,32.9,123,369.9,84.5
donchian_breakout,4h,1.0,0.05,0.03,733.9,1.06,33.6,123,369.9,84.5
donchian_breakout,4h,1.0,0.1,0.06,611.5,1.0,34.7,123,369.9,84.5
donchian_breakout,4h,2.0,0.02,0.01,3699.2,1.15,50.4,123,369.9,84.5
donchian_breakout,4h,2.0,0.05,0.03,3030.8,1.11,51.3,123,369.9,84.5
donchian_breakout,4h,2.0,0.1,0.06,2184.3,1.04,52.9,123,369.9,84.5
donchian_breakout,4h,3.0,0.02,0.01,8624.4,1.11,66.1,123,369.9,84.5
donchian_breakout,4h,3.0,0.05,0.03,6426.2,1.07,67.1,123,369.9,84.5
donchian_breakout,4h,3.0,0.1,0.06,3964.7,1.0,69.0,123,369.9,84.5
ichimoku_trend,4h,1.0,0.02,0.01,867.1,0.96,56.8,126,369.9,84.5
ichimoku_trend,4h,1.0,0.05,0.03,707.9,0.9,58.3,126,369.9,84.5
ichimoku_trend,4h,1.0,0.1,0.06,508.8,0.82,60.6,126,369.9,84.5
ichimoku_trend,4h,2.0,0.02,0.01,1506.3,1.02,73.1,126,369.9,84.5
ichimoku_trend,4h,2.0,0.05,0.03,1027.5,0.93,76.4,126,369.9,84.5
ichimoku_trend,4h,2.0,0.1,0.06,545.0,0.79,82.4,126,369.9,84.5
ichimoku_trend,4h,3.0,0.02,0.01,1146.2,0.86,87.9,126,369.9,84.5
ichimoku_trend,4h,3.0,0.05,0.03,634.0,0.77,90.9,126,369.9,84.5
ichimoku_trend,4h,3.0,0.1,0.06,217.5,0.63,94.1,126,369.9,84.5
squeeze_breakout,4h,1.0,0.02,0.01,371.1,0.78,35.5,30,369.9,84.5
squeeze_breakout,4h,1.0,0.05,0.03,349.8,0.76,35.8,30,369.9,84.5
squeeze_breakout,4h,1.0,0.1,0.06,318.3,0.74,36.2,30,369.9,84.5
squeeze_breakout,4h,2.0,0.02,0.01,1012.1,0.86,33.2,30,369.9,84.5
squeeze_breakout,4h,2.0,0.05,0.03,916.3,0.84,33.8,30,369.9,84.5
squeeze_breakout,4h,2.0,0.1,0.06,782.2,0.8,34.7,30,369.9,84.5
squeeze_breakout,4h,3.0,0.02,0.01,1841.0,0.82,35.4,30,369.9,84.5
squeeze_breakout,4h,3.0,0.05,0.03,1598.5,0.79,39.8,30,369.9,84.5
squeeze_breakout,4h,3.0,0.1,0.06,1276.6,0.76,46.0,30,369.9,84.5
trend_pullback,4h,1.0,0.02,0.01,197.3,0.59,62.0,496,369.9,84.5
trend_pullback,4h,1.0,0.05,0.03,97.7,0.47,62.7,496,369.9,84.5
trend_pullback,4h,1.0,0.1,0.06,1.9,0.27,63.7,496,369.9,84.5
trend_pullback,4h,2.0,0.02,0.01,97.6,0.58,87.6,496,369.9,84.5
trend_pullback,4h,2.0,0.05,0.03,-13.1,0.45,88.1,496,369.9,84.5
trend_pullback,4h,2.0,0.1,0.06,-77.1,0.24,89.6,496,369.9,84.5
trend_pullback,4h,3.0,0.02,0.01,-73.4,0.56,97.4,496,369.9,84.5
trend_pullback,4h,3.0,0.05,0.03,-92.4,0.43,97.6,496,369.9,84.5
trend_pullback,4h,3.0,0.1,0.06,-99.0,0.22,99.5,496,369.9,84.5
