griglia,strategia,configurazioni,con_meno_di_30_trade,buy_hold_%,migliore_%,mediana_%,peggiore_%,in_utile_%,batte_bh_%,sharpe_migliore,trade_mediani_anno,dd_del_migliore_%
atr_bands,ATR Bands,168,6,7946.7,20019.5,-70.2,-100.0,33.3,0.6,1.36,297,63.7
close_buy_sell_limits,Close Buy/Sell Limits,1728,108,7946.7,13230.2,-90.4,-100.0,9.4,0.2,1.11,158,83.8
close_atr,Close ATR,504,52,7946.7,8777.7,-96.7,-100.0,4.6,0.2,1.25,203,63.2
close_bullish_ema,Close Bullish EMA,420,0,7946.7,3392.4,-63.7,-97.8,22.6,0.0,0.88,113,83.0
close_ema_crossover,Close EMA Crossover,7,0,7946.7,2833.9,-64.2,-100.0,42.9,0.0,0.97,223,54.0
atr_live_trade,ATR Live Trade,18,1,7946.7,1056.4,-99.6,-100.0,5.9,0.0,0.74,271,85.5
supertrend,Supertrend,126,42,7946.7,354.1,-12.8,-100.0,45.2,0.0,0.75,49,55.0
tp_sl_atr,TP/SL with ATR,126,3,7946.7,120.4,-97.3,-100.0,12.2,0.0,0.49,283,35.2
trend_zones,Trend Zones,6,0,7946.7,-100.0,-100.0,-100.0,0.0,0.0,-1.41,2080,100.0
close_rsi_reverse,Close RSI Reverse,25,2,7946.7,-100.0,-100.0,-100.0,0.0,0.0,-8.06,2916,100.0
green_candles,Green Candles,1,0,7946.7,-100.0,-100.0,-100.0,0.0,0.0,-5.63,1459,100.0
