griglia,strategia,configurazioni,con_meno_di_30_trade,buy_hold_%,migliore_%,mediana_%,peggiore_%,in_utile_%,batte_bh_%,sharpe_migliore,trade_mediani_anno,dd_del_migliore_%
close_ema_crossover,Close EMA Crossover,7,0,1481.7,4992.2,959.5,-29.8,85.7,14.3,1.95,211,66.2
close_bullish_ema,Close Bullish EMA,420,1,1481.7,2398.8,36.8,-73.4,63.0,1.7,1.8,103,84.6
atr_bands,ATR Bands,168,7,1481.7,1499.3,-41.5,-99.9,38.5,0.6,1.59,343,65.6
tp_sl_atr,TP/SL with ATR,126,3,1481.7,916.2,-46.7,-100.0,39.0,0.0,1.34,323,81.1
close_buy_sell_limits,Close Buy/Sell Limits,1728,138,1481.7,834.0,-73.6,-99.9,6.9,0.0,1.24,185,91.9
supertrend,Supertrend,126,14,1481.7,735.4,-0.3,-88.4,49.1,0.0,1.41,73,74.6
close_atr,Close ATR,504,59,1481.7,371.8,-85.6,-99.6,4.3,0.0,1.1,239,83.9
trend_zones,Trend Zones,6,0,1481.7,-82.3,-99.8,-100.0,0.0,0.0,-0.22,1880,98.1
green_candles,Green Candles,1,0,1481.7,-99.8,-99.8,-99.8,0.0,0.0,-2.09,1570,99.9
close_rsi_reverse,Close RSI Reverse,25,2,1481.7,-100.0,-100.0,-100.0,0.0,0.0,-5.08,2773,100.0
