griglia,strategia,configurazioni,con_meno_di_30_trade,buy_hold_%,migliore_%,mediana_%,peggiore_%,in_utile_%,batte_bh_%,sharpe_migliore,trade_mediani_anno,dd_del_migliore_%
close_rsi_reverse,Close RSI Reverse,25,2,1538.0,1584.9,797.2,0.4,100.0,4.3,1.14,24,48.2
supertrend,Supertrend,126,97,1538.0,1135.5,324.9,41.7,100.0,0.0,1.17,6,51.2
atr_bands,ATR Bands,168,124,1538.0,901.7,130.5,-0.5,97.7,0.0,1.64,8,27.9
tp_sl_atr,TP/SL with ATR,126,78,1538.0,554.1,91.9,-31.8,81.2,0.0,1.03,8,44.0
green_candles,Green Candles,1,0,1538.0,419.6,419.6,419.6,100.0,0.0,0.76,14,61.4
close_bullish_ema,Close Bullish EMA,420,420,1538.0,252.0,6.6,-62.8,55.0,0.0,0.86,1,44.2
close_buy_sell_limits,Close Buy/Sell Limits,1728,1636,1538.0,207.6,42.0,-26.0,84.8,0.0,0.65,7,52.8
trend_zones,Trend Zones,6,6,1538.0,160.9,57.9,0.0,83.3,0.0,0.61,1,53.9
close_ema_crossover,Close EMA Crossover,7,7,1538.0,154.2,101.7,25.0,100.0,0.0,0.61,1,49.4
close_atr,Close ATR,504,449,1538.0,83.2,8.5,-59.8,58.2,0.0,0.51,6,65.1
atr_live_trade,ATR Live Trade,18,16,1538.0,6.4,-0.9,-8.3,50.0,0.0,0.29,5,74.7
