griglia,strategia,configurazioni,con_meno_di_30_trade,buy_hold_%,migliore_%,mediana_%,peggiore_%,in_utile_%,batte_bh_%,sharpe_migliore,trade_mediani_anno,dd_del_migliore_%
close_rsi_reverse,Close RSI Reverse,25,2,187.5,293.0,120.5,-66.6,82.6,21.7,0.75,25,58.7
atr_bands,ATR Bands,168,122,187.5,221.5,18.9,-59.8,56.5,8.7,0.89,7,34.5
close_bullish_ema,Close Bullish EMA,420,420,187.5,193.3,-22.4,-79.5,33.1,1.0,0.87,1,79.3
supertrend,Supertrend,126,106,187.5,176.3,11.7,-48.4,65.0,0.0,0.67,7,41.1
close_atr,Close ATR,504,454,187.5,137.3,-32.7,-53.4,18.0,0.0,0.58,6,47.4
green_candles,Green Candles,1,0,187.5,127.7,127.7,127.7,100.0,0.0,0.54,14,68.7
close_ema_crossover,Close EMA Crossover,7,7,187.5,118.0,49.7,-41.8,85.7,0.0,0.53,1,55.9
tp_sl_atr,TP/SL with ATR,126,82,187.5,112.8,17.3,-39.0,75.0,0.0,0.52,9,57.3
trend_zones,Trend Zones,6,6,187.5,76.0,57.0,-15.7,66.7,0.0,0.45,1,50.5
close_buy_sell_limits,Close Buy/Sell Limits,1728,1625,187.5,36.2,-43.6,-72.7,9.7,0.0,0.36,6,66.2
atr_live_trade,ATR Live Trade,18,16,187.5,-62.8,-66.0,-69.1,0.0,0.0,-0.01,6,80.7
