griglia,strategia,configurazioni,con_meno_di_30_trade,buy_hold_%,migliore_%,mediana_%,peggiore_%,in_utile_%,batte_bh_%,sharpe_migliore,trade_mediani_anno,dd_del_migliore_%
atr_bands,ATR Bands,168,36,134.8,470.2,8.9,-67.2,55.3,14.4,0.95,21,47.9
supertrend,Supertrend,126,36,134.8,420.2,31.7,-61.0,70.0,15.6,1.0,15,36.1
trend_zones,Trend Zones,6,2,134.8,383.3,298.6,243.1,100.0,100.0,0.95,9,38.7
close_ema_crossover,Close EMA Crossover,7,2,134.8,269.6,137.4,50.4,100.0,60.0,0.82,14,42.6
close_buy_sell_limits,Close Buy/Sell Limits,1728,580,134.8,241.6,-17.9,-67.2,32.5,0.8,0.71,15,58.4
tp_sl_atr,TP/SL with ATR,126,21,134.8,241.3,6.5,-71.5,57.1,5.7,0.79,24,43.8
close_bullish_ema,Close Bullish EMA,420,126,134.8,200.7,18.1,-51.5,74.1,3.1,0.88,8,24.4
close_atr,Close ATR,504,207,134.8,132.5,-39.6,-77.7,10.8,0.0,0.56,17,66.4
close_rsi_reverse,Close RSI Reverse,25,2,134.8,31.5,-47.2,-77.2,4.3,0.0,0.32,164,65.2
atr_live_trade,ATR Live Trade,18,5,134.8,14.1,-30.7,-69.7,15.4,0.0,0.22,21,33.1
green_candles,Green Candles,1,0,134.8,-50.2,-50.2,-50.2,0.0,0.0,-0.1,82,68.8
