griglia,strategia,configurazioni,con_meno_di_30_trade,buy_hold_%,migliore_%,mediana_%,peggiore_%,in_utile_%,batte_bh_%,sharpe_migliore,trade_mediani_anno,dd_del_migliore_%
trend_zones,Trend Zones,6,2,5009.5,8712.9,6259.2,2273.2,100.0,50.0,1.41,11,70.9
supertrend,Supertrend,126,39,5009.5,8401.2,1300.9,23.5,100.0,4.6,1.43,17,66.9
tp_sl_atr,TP/SL with ATR,126,22,5009.5,4553.0,1104.3,-31.1,99.0,0.0,1.26,24,70.6
close_ema_crossover,Close EMA Crossover,7,2,5009.5,3082.9,138.0,36.7,100.0,0.0,1.17,12,79.3
atr_bands,ATR Bands,168,42,5009.5,2900.5,105.9,-61.5,77.8,0.0,1.22,25,89.2
close_bullish_ema,Close Bullish EMA,420,126,5009.5,2351.4,116.3,-79.4,84.4,0.0,1.71,8,42.4
close_buy_sell_limits,Close Buy/Sell Limits,1728,630,5009.5,1199.5,-38.7,-90.2,25.0,0.0,0.95,15,95.2
close_rsi_reverse,Close RSI Reverse,25,2,5009.5,1083.5,500.4,-41.5,95.7,0.0,0.96,161,64.0
close_atr,Close ATR,504,210,5009.5,682.3,2.3,-90.4,51.7,0.0,1.2,19,45.1
atr_live_trade,ATR Live Trade,18,10,5009.5,455.2,-51.6,-84.1,12.5,0.0,1.09,20,36.0
green_candles,Green Candles,1,0,5009.5,98.3,98.3,98.3,100.0,0.0,0.52,80,83.0
