griglia,strategia,configurazioni,con_meno_di_30_trade,buy_hold_%,migliore_%,mediana_%,peggiore_%,in_utile_%,batte_bh_%,sharpe_migliore,trade_mediani_anno,dd_del_migliore_%
atr_bands,ATR Bands,168,35,369.9,10177.6,332.9,-67.4,94.7,47.4,1.57,22,45.1
close_atr,Close ATR,504,218,369.9,922.7,69.0,-78.5,72.0,5.6,1.06,18,50.0
close_buy_sell_limits,Close Buy/Sell Limits,1728,598,369.9,838.4,135.6,-60.7,93.4,16.8,0.94,14,72.5
close_ema_crossover,Close EMA Crossover,7,2,369.9,586.1,443.8,138.0,100.0,60.0,0.81,15,68.1
atr_live_trade,ATR Live Trade,18,5,369.9,534.9,42.6,-56.7,61.5,7.7,0.84,22,68.8
close_rsi_reverse,Close RSI Reverse,25,2,369.9,410.1,206.4,-84.0,95.7,4.3,0.71,173,77.5
trend_zones,Trend Zones,6,2,369.9,329.1,190.9,132.7,100.0,0.0,0.71,12,77.7
supertrend,Supertrend,126,47,369.9,273.2,0.6,-85.6,50.6,0.0,0.67,12,77.7
green_candles,Green Candles,1,0,369.9,234.9,234.9,234.9,100.0,0.0,0.62,76,79.5
close_bullish_ema,Close Bullish EMA,420,180,369.9,195.9,-17.5,-85.4,37.1,0.0,0.76,6,71.5
tp_sl_atr,TP/SL with ATR,126,25,369.9,131.0,-60.6,-91.0,8.9,0.0,0.53,22,80.4
