griglia,parametro,valore,configurazioni,mediana_%,migliore_%,in_utile_%,sharpe_mediano,trade_mediani_anno
close_buy_sell_limits,rsi_window,7,576,-93.9,145.3,2.3,-0.4,234
close_buy_sell_limits,rsi_window,12,576,-90.3,13230.2,12.3,-0.27,145
close_buy_sell_limits,rsi_window,24,576,-81.5,5355.8,22.0,-0.22,71
close_buy_sell_limits,ema_window,10,864,-90.3,13230.2,14.2,-0.31,107
close_buy_sell_limits,ema_window,50,864,-90.1,4815.4,10.2,-0.26,159
close_buy_sell_limits,atr_window,5,864,-87.5,13230.2,14.1,-0.27,152
close_buy_sell_limits,atr_window,14,864,-90.3,5355.8,10.3,-0.27,158
close_buy_sell_limits,atr_multiplier,1.6,864,-92.2,4606.0,10.2,-0.36,250
close_buy_sell_limits,atr_multiplier,2.5,864,-84.8,13230.2,14.2,-0.21,103
close_buy_sell_limits,rsi_buy_limit,15,288,-85.4,371.0,4.9,-0.26,94
close_buy_sell_limits,rsi_buy_limit,20,288,-87.6,3416.1,7.6,-0.28,127
close_buy_sell_limits,rsi_buy_limit,25,288,-91.1,4303.6,12.5,-0.3,151
close_buy_sell_limits,rsi_buy_limit,30,288,-90.1,9301.0,16.0,-0.26,161
close_buy_sell_limits,rsi_buy_limit,35,288,-90.8,9073.3,14.6,-0.26,171
close_buy_sell_limits,rsi_buy_limit,40,288,-90.9,13230.2,17.7,-0.26,181
close_buy_sell_limits,rsi_sell_limit,60,288,-94.1,9.4,0.7,-0.48,181
close_buy_sell_limits,rsi_sell_limit,65,288,-91.8,108.5,1.0,-0.41,174
close_buy_sell_limits,rsi_sell_limit,70,288,-91.1,120.5,3.8,-0.31,158
close_buy_sell_limits,rsi_sell_limit,75,288,-88.7,1424.8,12.5,-0.25,150
close_buy_sell_limits,rsi_sell_limit,80,288,-87.5,3185.3,20.1,-0.2,129
close_buy_sell_limits,rsi_sell_limit,85,288,-68.0,13230.2,35.1,0.04,97
close_buy_sell_limits,num_cond,1,864,-96.2,129.9,0.6,-0.51,279
close_buy_sell_limits,num_cond,2,864,-69.1,13230.2,23.8,-0.12,53
close_atr,ema_window,10,168,-88.7,8777.7,11.3,-0.73,104
close_atr,ema_window,20,168,-96.3,199.3,3.6,-0.83,176
close_atr,ema_window,50,168,-95.8,1147.3,4.8,-0.58,203
close_atr,atr_window,5,84,-94.4,1199.9,15.5,-0.61,167
close_atr,atr_window,7,84,-95.5,5593.6,6.0,-0.74,166
close_atr,atr_window,10,84,-95.5,199.3,7.1,-0.78,170
close_atr,atr_window,14,84,-95.8,8777.7,4.8,-0.71,172
close_atr,atr_window,20,84,-96.0,1223.3,2.4,-0.61,173
close_atr,atr_window,30,84,-95.6,21.8,3.6,-0.61,171
close_atr,atr_multiplier,0.8,72,-100.0,-98.9,0.0,-1.92,603
close_atr,atr_multiplier,1.2,72,-99.8,-94.0,0.0,-1.24,399
close_atr,atr_multiplier,1.6,72,-98.6,-88.0,0.0,-1.09,262
close_atr,atr_multiplier,2.0,72,-95.5,-23.1,0.0,-0.7,188
close_atr,atr_multiplier,2.5,72,-85.5,15.8,5.6,-0.48,88
close_atr,atr_multiplier,3.0,72,-56.6,216.0,8.3,-0.3,29
close_atr,atr_multiplier,4.0,72,-7.7,8777.7,31.9,-0.12,1
close_atr,stop_loss,2.0,126,-90.8,1199.9,8.7,-0.92,131
close_atr,stop_loss,5.0,126,-95.9,1199.9,3.2,-0.8,159
close_atr,stop_loss,10.0,126,-97.3,5593.6,4.0,-0.81,195
close_atr,stop_loss,99.0,126,-93.5,8777.7,10.3,-0.36,201
atr_bands,ema_window,10,84,-5.2,20019.5,48.8,0.15,271
atr_bands,ema_window,50,84,-87.2,2813.0,20.2,-0.25,280
atr_bands,atr_window,5,28,3.4,20019.5,53.6,0.17,273
atr_bands,atr_window,7,28,-20.2,7586.9,42.9,0.06,278
atr_bands,atr_window,10,28,-66.5,3685.1,28.6,-0.17,284
atr_bands,atr_window,14,28,-68.0,6695.3,28.6,-0.09,288
atr_bands,atr_window,20,28,-84.4,1449.9,28.6,-0.27,288
atr_bands,atr_window,30,28,-92.3,454.2,25.0,-0.36,289
atr_bands,atr_multiplier,0.8,24,-100.0,-100.0,0.0,-2.73,991
atr_bands,atr_multiplier,1.2,24,-99.8,-82.5,0.0,-1.15,624
atr_bands,atr_multiplier,1.6,24,-95.2,1330.6,12.5,-0.44,414
atr_bands,atr_multiplier,2.0,24,-67.6,7305.6,33.3,-0.08,280
atr_bands,atr_multiplier,2.5,24,16.6,20019.5,62.5,0.2,205
atr_bands,atr_multiplier,3.0,24,45.0,5311.2,62.5,0.35,133
atr_bands,atr_multiplier,4.0,24,37.0,7586.9,70.8,0.42,43
atr_bands,stop_loss,5.0,84,-86.5,127.0,26.2,-0.37,261
atr_bands,stop_loss,99.0,84,-50.5,20019.5,42.9,0.1,290
supertrend,ema_window,10,42,-0.5,267.8,40.5,0.31,4
supertrend,ema_window,20,42,-0.5,354.1,33.3,0.17,29
supertrend,ema_window,50,42,-19.6,282.3,38.1,-0.15,36
supertrend,atr_window,5,21,-59.6,89.5,19.0,-0.33,79
supertrend,atr_window,7,21,-31.4,267.8,23.8,-0.25,26
supertrend,atr_window,10,21,-0.5,203.2,38.1,0.06,17
supertrend,atr_window,14,21,-0.5,354.1,38.1,0.14,11
supertrend,atr_window,20,21,9.4,282.3,61.9,0.31,14
supertrend,atr_window,30,21,-0.5,225.1,42.9,0.33,7
supertrend,atr_multiplier,0.8,18,-0.5,0.6,27.8,-0.17,0
supertrend,atr_multiplier,1.2,18,-1.0,0.5,5.6,-0.47,0
supertrend,atr_multiplier,1.6,18,-21.0,-0.3,0.0,-0.42,11
supertrend,atr_multiplier,2.0,18,-0.8,96.7,33.3,-0.04,39
supertrend,atr_multiplier,2.5,18,-0.0,144.7,50.0,0.13,88
supertrend,atr_multiplier,3.0,18,35.1,354.1,61.1,0.29,102
supertrend,atr_multiplier,4.0,18,65.5,282.3,83.3,0.35,14
tp_sl_atr,ema_window,10,42,-97.0,120.4,19.0,-0.66,275
tp_sl_atr,ema_window,20,42,-98.2,86.7,16.7,-0.63,304
tp_sl_atr,ema_window,50,42,-96.3,38.8,7.1,-0.38,250
tp_sl_atr,atr_window,5,21,-96.8,68.5,9.5,-0.56,233
