griglia,parametro,valore,configurazioni,mediana_%,migliore_%,in_utile_%,sharpe_mediano,trade_mediani_anno
close_buy_sell_limits,rsi_window,7,576,-83.9,230.2,6.4,-0.46,270
close_buy_sell_limits,rsi_window,12,576,-70.7,1505.5,8.0,-0.27,173
close_buy_sell_limits,rsi_window,24,576,-62.9,3770.2,16.7,-0.12,101
close_buy_sell_limits,ema_window,10,864,-74.8,3770.2,14.2,-0.3,140
close_buy_sell_limits,ema_window,50,864,-68.1,1461.4,6.5,-0.17,185
close_buy_sell_limits,atr_window,5,864,-66.1,3770.2,15.0,-0.14,181
close_buy_sell_limits,atr_window,14,864,-76.9,2228.1,5.7,-0.35,178
close_buy_sell_limits,atr_multiplier,1.6,864,-71.2,2191.1,6.2,-0.23,282
close_buy_sell_limits,atr_multiplier,2.5,864,-70.4,3770.2,14.5,-0.22,135
close_buy_sell_limits,rsi_buy_limit,15,288,-70.3,751.8,6.9,-0.43,120
close_buy_sell_limits,rsi_buy_limit,20,288,-72.2,582.7,6.6,-0.41,152
close_buy_sell_limits,rsi_buy_limit,25,288,-73.7,1301.6,8.7,-0.29,174
close_buy_sell_limits,rsi_buy_limit,30,288,-70.9,1558.2,12.2,-0.17,184
close_buy_sell_limits,rsi_buy_limit,35,288,-69.7,3191.7,13.2,-0.13,191
close_buy_sell_limits,rsi_buy_limit,40,288,-70.0,3770.2,14.6,-0.11,204
close_buy_sell_limits,rsi_sell_limit,60,288,-84.6,311.3,3.8,-0.6,211
close_buy_sell_limits,rsi_sell_limit,65,288,-81.6,146.4,3.5,-0.49,198
close_buy_sell_limits,rsi_sell_limit,70,288,-79.0,217.7,4.5,-0.44,185
close_buy_sell_limits,rsi_sell_limit,75,288,-71.1,1497.3,5.6,-0.2,177
close_buy_sell_limits,rsi_sell_limit,80,288,-66.5,3770.2,16.3,-0.11,149
close_buy_sell_limits,rsi_sell_limit,85,288,-51.5,2228.1,28.5,0.11,123
close_buy_sell_limits,num_cond,1,864,-82.8,74.5,1.3,-0.42,303
close_buy_sell_limits,num_cond,2,864,-61.5,3770.2,19.4,-0.12,68
close_atr,ema_window,10,168,-73.1,553.9,16.7,-0.61,125
close_atr,ema_window,20,168,-81.3,371.8,6.0,-0.82,201
close_atr,ema_window,50,168,-83.0,18.4,1.2,-0.82,234
close_atr,atr_window,5,84,-85.3,240.4,17.9,-0.7,220
close_atr,atr_window,7,84,-84.6,371.8,9.5,-0.85,217
close_atr,atr_window,10,84,-80.2,553.9,6.0,-0.79,213
close_atr,atr_window,14,84,-81.2,31.5,2.4,-0.79,201
close_atr,atr_window,20,84,-79.8,29.8,4.8,-0.71,196
close_atr,atr_window,30,84,-75.9,24.9,7.1,-0.71,189
close_atr,atr_multiplier,0.8,72,-97.7,-59.5,0.0,-1.5,650
close_atr,atr_multiplier,1.2,72,-96.7,-35.3,0.0,-1.41,448
close_atr,atr_multiplier,1.6,72,-89.0,-21.3,0.0,-0.96,299
close_atr,atr_multiplier,2.0,72,-85.0,-6.2,0.0,-0.98,220
close_atr,atr_multiplier,2.5,72,-64.6,97.0,16.7,-0.55,115
close_atr,atr_multiplier,3.0,72,-30.1,175.2,16.7,-0.37,45
close_atr,atr_multiplier,4.0,72,-10.7,553.9,22.2,-0.41,4
close_atr,stop_loss,2.0,126,-62.7,80.2,10.3,-0.77,164
close_atr,stop_loss,5.0,126,-91.3,553.9,11.9,-1.11,178
close_atr,stop_loss,10.0,126,-93.5,523.5,5.6,-1.1,216
close_atr,stop_loss,99.0,126,-76.6,371.8,4.0,-0.28,231
atr_bands,ema_window,10,84,53.7,1499.3,61.9,0.58,338
atr_bands,ema_window,50,84,-65.4,549.6,19.0,-0.2,324
atr_bands,atr_window,5,28,35.3,1290.5,60.7,0.65,321
atr_bands,atr_window,7,28,-3.6,1499.3,46.4,0.29,323
atr_bands,atr_window,10,28,-31.2,543.8,39.3,0.03,324
atr_bands,atr_window,14,28,-55.2,867.2,32.1,-0.22,324
atr_bands,atr_window,20,28,-60.7,1413.2,32.1,-0.21,327
atr_bands,atr_window,30,28,-63.6,1358.6,32.1,-0.13,326
atr_bands,atr_multiplier,0.8,24,-98.6,-63.9,0.0,-1.65,1087
