griglia,parametro,valore,configurazioni,mediana_%,migliore_%,in_utile_%,sharpe_mediano,trade_mediani_anno
close_buy_sell_limits,rsi_window,7,576,57.4,1011.6,85.4,0.41,2
close_buy_sell_limits,rsi_window,12,576,31.8,439.8,73.3,0.35,1
close_buy_sell_limits,rsi_window,24,576,14.0,301.3,54.9,0.39,0
close_buy_sell_limits,ema_window,10,864,8.9,1011.6,54.2,0.3,1
close_buy_sell_limits,ema_window,50,864,53.3,439.8,88.2,0.42,1
close_buy_sell_limits,atr_window,5,864,39.1,1011.6,71.6,0.4,1
close_buy_sell_limits,atr_window,14,864,35.1,746.3,70.7,0.37,1
close_buy_sell_limits,atr_multiplier,1.6,864,16.3,298.3,62.7,0.33,2
close_buy_sell_limits,atr_multiplier,2.5,864,56.0,1011.6,79.6,0.43,1
close_buy_sell_limits,rsi_buy_limit,15,288,10.5,248.5,60.8,0.33,1
close_buy_sell_limits,rsi_buy_limit,20,288,23.7,248.5,62.8,0.36,1
close_buy_sell_limits,rsi_buy_limit,25,288,34.5,282.4,75.3,0.36,1
close_buy_sell_limits,rsi_buy_limit,30,288,53.4,463.8,77.8,0.42,1
close_buy_sell_limits,rsi_buy_limit,35,288,57.7,1011.6,81.9,0.42,1
close_buy_sell_limits,rsi_buy_limit,40,288,39.9,645.8,68.4,0.4,1
close_buy_sell_limits,rsi_sell_limit,60,288,21.3,313.1,69.4,0.31,1
close_buy_sell_limits,rsi_sell_limit,65,288,18.7,318.3,69.8,0.33,1
close_buy_sell_limits,rsi_sell_limit,70,288,30.0,399.9,67.7,0.36,1
close_buy_sell_limits,rsi_sell_limit,75,288,38.2,439.8,73.3,0.37,1
close_buy_sell_limits,rsi_sell_limit,80,288,57.0,288.3,77.1,0.43,1
close_buy_sell_limits,rsi_sell_limit,85,288,66.5,1011.6,69.8,0.48,1
close_buy_sell_limits,num_cond,1,864,35.1,1011.6,72.7,0.35,2
close_buy_sell_limits,num_cond,2,864,37.9,439.8,69.7,0.46,0
close_atr,ema_window,10,168,-8.4,175.7,24.4,-0.07,0
close_atr,ema_window,20,168,-3.3,322.9,38.1,0.0,0
close_atr,ema_window,50,168,8.5,397.5,56.5,0.22,2
close_atr,atr_window,5,84,1.6,397.5,51.2,0.19,1
close_atr,atr_window,7,84,0.0,314.6,44.0,0.15,1
close_atr,atr_window,10,84,-3.0,191.0,39.3,0.11,1
close_atr,atr_window,14,84,-8.0,185.3,32.1,0.01,1
close_atr,atr_window,20,84,-8.4,196.3,35.7,0.0,1
close_atr,atr_window,30,84,-8.4,200.5,35.7,0.0,1
close_atr,atr_multiplier,0.8,72,-2.1,83.2,45.8,0.17,5
close_atr,atr_multiplier,1.2,72,-7.2,76.8,38.9,0.12,2
