griglia,parametro,valore,configurazioni,mediana_%,migliore_%,in_utile_%,sharpe_mediano,trade_mediani_anno
close_buy_sell_limits,rsi_window,7,576,17.8,406.9,63.9,0.28,3
close_buy_sell_limits,rsi_window,12,576,11.7,401.9,61.1,0.27,1
close_buy_sell_limits,rsi_window,24,576,0.0,248.7,43.8,0.28,0
close_buy_sell_limits,ema_window,10,864,16.1,406.9,58.9,0.31,1
close_buy_sell_limits,ema_window,50,864,3.9,329.2,53.6,0.25,1
close_buy_sell_limits,atr_window,5,864,9.2,406.9,54.4,0.29,1
close_buy_sell_limits,atr_window,14,864,9.2,329.2,58.1,0.26,1
close_buy_sell_limits,atr_multiplier,1.6,864,28.6,406.9,73.8,0.35,3
close_buy_sell_limits,atr_multiplier,2.5,864,0.0,269.6,38.7,0.19,1
close_buy_sell_limits,rsi_buy_limit,15,288,9.2,329.2,56.6,0.34,1
close_buy_sell_limits,rsi_buy_limit,20,288,3.5,248.7,51.4,0.27,1
close_buy_sell_limits,rsi_buy_limit,25,288,10.9,335.8,57.3,0.3,1
close_buy_sell_limits,rsi_buy_limit,30,288,2.9,406.9,52.4,0.23,1
close_buy_sell_limits,rsi_buy_limit,35,288,16.7,339.2,62.5,0.28,2
close_buy_sell_limits,rsi_buy_limit,40,288,7.5,401.9,57.3,0.25,2
close_buy_sell_limits,rsi_sell_limit,60,288,9.2,329.2,61.8,0.26,2
close_buy_sell_limits,rsi_sell_limit,65,288,0.0,329.2,44.8,0.2,2
close_buy_sell_limits,rsi_sell_limit,70,288,5.2,325.0,53.1,0.25,1
close_buy_sell_limits,rsi_sell_limit,75,288,17.9,406.9,63.2,0.3,1
close_buy_sell_limits,rsi_sell_limit,80,288,22.6,401.9,65.3,0.33,1
close_buy_sell_limits,rsi_sell_limit,85,288,0.0,257.0,49.3,0.3,1
close_buy_sell_limits,num_cond,1,864,9.2,248.7,56.5,0.24,3
close_buy_sell_limits,num_cond,2,864,9.2,406.9,56.0,0.29,0
close_atr,ema_window,10,168,9.9,248.7,54.2,0.35,0
close_atr,ema_window,20,168,0.0,222.4,49.4,0.18,1
close_atr,ema_window,50,168,8.8,275.3,58.9,0.21,3
close_atr,atr_window,5,84,21.5,266.7,58.3,0.35,1
close_atr,atr_window,7,84,11.6,275.3,56.0,0.31,1
close_atr,atr_window,10,84,11.7,187.5,61.9,0.25,1
close_atr,atr_window,14,84,4.5,211.7,53.6,0.22,1
close_atr,atr_window,20,84,0.1,205.8,50.0,0.18,1
close_atr,atr_window,30,84,-0.1,153.8,45.2,0.11,1
close_atr,atr_multiplier,0.8,72,40.4,211.7,80.6,0.36,6
close_atr,atr_multiplier,1.2,72,75.5,187.5,91.7,0.51,4
close_atr,atr_multiplier,1.6,72,9.5,248.7,58.3,0.26,2
close_atr,atr_multiplier,2.0,72,10.2,114.4,58.3,0.24,1
close_atr,atr_multiplier,2.5,72,-11.7,222.4,30.6,-0.02,0
close_atr,atr_multiplier,3.0,72,-5.2,113.2,37.5,-0.08,0
close_atr,atr_multiplier,4.0,72,0.0,275.3,22.2,-0.04,0
close_atr,stop_loss,2.0,126,0.0,151.6,46.0,0.1,1
close_atr,stop_loss,5.0,126,-5.4,266.7,38.9,0.05,1
close_atr,stop_loss,10.0,126,15.6,275.3,59.5,0.28,1
close_atr,stop_loss,99.0,126,25.8,248.7,72.2,0.34,2
atr_bands,ema_window,10,84,43.9,793.5,70.2,0.39,1
atr_bands,ema_window,50,84,18.9,346.7,65.5,0.25,3
atr_bands,atr_window,5,28,51.6,793.5,82.1,0.4,3
atr_bands,atr_window,7,28,26.9,346.7,67.9,0.33,3
atr_bands,atr_window,10,28,27.4,264.0,71.4,0.33,3
atr_bands,atr_window,14,28,26.2,270.7,60.7,0.3,3
atr_bands,atr_window,20,28,22.9,236.7,57.1,0.29,3
atr_bands,atr_window,30,28,16.1,129.3,67.9,0.27,2
atr_bands,atr_multiplier,0.8,24,49.1,121.8,83.3,0.39,11
atr_bands,atr_multiplier,1.2,24,27.4,125.4,91.7,0.32,6
atr_bands,atr_multiplier,1.6,24,63.4,426.9,91.7,0.43,4
atr_bands,atr_multiplier,2.0,24,76.9,793.5,79.2,0.46,3
atr_bands,atr_multiplier,2.5,24,19.5,97.4,66.7,0.25,1
atr_bands,atr_multiplier,3.0,24,-14.6,128.5,12.5,0.03,1
atr_bands,atr_multiplier,4.0,24,17.2,346.7,50.0,0.39,0
atr_bands,stop_loss,5.0,84,16.6,329.8,58.3,0.24,2
atr_bands,stop_loss,99.0,84,49.7,793.5,77.4,0.39,3
supertrend,ema_window,10,42,0.0,154.0,38.1,0.11,2
supertrend,ema_window,20,42,6.9,85.1,59.5,0.19,2
supertrend,ema_window,50,42,6.7,135.3,59.5,0.19,2
supertrend,atr_window,5,21,0.0,52.7,38.1,0.1,2
supertrend,atr_window,7,21,0.0,74.6,47.6,0.17,2
supertrend,atr_window,10,21,0.0,107.6,47.6,0.14,2
supertrend,atr_window,14,21,7.3,98.5,57.1,0.19,2
supertrend,atr_window,20,21,11.3,154.0,61.9,0.2,2
supertrend,atr_window,30,21,17.5,135.3,61.9,0.25,2
supertrend,atr_multiplier,0.8,18,1.8,26.2,50.0,0.12,2
supertrend,atr_multiplier,1.2,18,-24.7,51.1,16.7,-0.01,7
supertrend,atr_multiplier,1.6,18,-7.9,38.1,27.8,0.11,5
supertrend,atr_multiplier,2.0,18,4.5,72.9,55.6,0.18,3
supertrend,atr_multiplier,2.5,18,24.9,154.0,77.8,0.28,1
supertrend,atr_multiplier,3.0,18,37.4,107.6,88.9,0.37,1
supertrend,atr_multiplier,4.0,18,2.9,109.9,50.0,0.46,0
tp_sl_atr,ema_window,10,42,0.0,99.7,47.6,0.17,3
tp_sl_atr,ema_window,20,42,51.2,222.3,76.2,0.4,4
tp_sl_atr,ema_window,50,42,71.5,220.8,97.6,0.44,2
tp_sl_atr,atr_window,5,21,22.4,113.5,66.7,0.34,2
tp_sl_atr,atr_window,7,21,41.7,130.5,61.9,0.4,3
tp_sl_atr,atr_window,10,21,60.4,216.3,71.4,0.42,3
tp_sl_atr,atr_window,14,21,51.6,158.1,85.7,0.4,3
tp_sl_atr,atr_window,20,21,42.0,132.3,71.4,0.38,3
tp_sl_atr,atr_window,30,21,44.7,222.3,85.7,0.38,3
tp_sl_atr,atr_multiplier,0.8,18,41.0,130.5,94.4,0.35,11
tp_sl_atr,atr_multiplier,1.2,18,57.9,122.7,66.7,0.4,7
tp_sl_atr,atr_multiplier,1.6,18,-16.8,97.8,38.9,0.09,6
tp_sl_atr,atr_multiplier,2.0,18,45.1,123.0,77.8,0.37,3
tp_sl_atr,atr_multiplier,2.5,18,84.1,222.3,94.4,0.49,1
tp_sl_atr,atr_multiplier,3.0,18,40.3,216.3,88.9,0.4,1
tp_sl_atr,atr_multiplier,4.0,18,24.5,116.5,55.6,0.42,0
close_bullish_ema,rsi_window,7,140,8.9,120.2,61.4,0.2,1
close_bullish_ema,rsi_window,12,140,10.7,155.9,58.6,0.22,1
close_bullish_ema,rsi_window,24,140,3.4,169.3,52.9,0.22,0
close_bullish_ema,rsi_buy_limit,40,105,-1.9,120.2,47.6,0.17,1
close_bullish_ema,rsi_buy_limit,45,105,8.0,155.9,53.3,0.21,1
close_bullish_ema,rsi_buy_limit,50,105,6.7,155.9,54.3,0.21,1
close_bullish_ema,rsi_buy_limit,55,105,11.7,169.3,75.2,0.27,0
close_bullish_ema,rsi_sell_limit,60,84,11.8,144.0,70.2,0.34,1
close_bullish_ema,rsi_sell_limit,65,84,-6.0,108.1,46.4,0.12,1
close_bullish_ema,rsi_sell_limit,70,84,6.9,169.3,58.3,0.22,1
close_bullish_ema,rsi_sell_limit,75,84,-1.5,120.2,44.0,0.19,1
close_bullish_ema,rsi_sell_limit,80,84,11.7,155.9,69.0,0.26,0
close_bullish_ema,ema_triplet,10/50/200,60,16.2,111.6,78.3,0.27,1
close_bullish_ema,ema_triplet,12/26/50,60,38.1,169.3,80.0,0.46,1
close_bullish_ema,ema_triplet,20/50/100,60,-2.5,111.6,45.0,0.11,1
close_bullish_ema,ema_triplet,5/20/60,60,8.4,61.7,55.0,0.19,1
close_bullish_ema,ema_triplet,50/100/200,60,-4.0,120.3,43.3,0.07,0
close_bullish_ema,ema_triplet,8/13/21,60,2.9,52.1,51.7,0.19,1
close_bullish_ema,ema_triplet,9/21/55,60,0.7,117.4,50.0,0.14,1
close_ema_crossover,ema_triplet,10/50/200,1,205.0,205.0,100.0,0.72,0
close_ema_crossover,ema_triplet,12/26/50,1,103.7,103.7,100.0,0.55,2
close_ema_crossover,ema_triplet,20/50/100,1,191.8,191.8,100.0,0.73,0
close_ema_crossover,ema_triplet,5/20/60,1,141.3,141.3,100.0,0.65,2
close_ema_crossover,ema_triplet,50/100/200,1,143.7,143.7,100.0,0.62,0
close_ema_crossover,ema_triplet,8/13/21,1,177.1,177.1,100.0,0.67,4
close_ema_crossover,ema_triplet,9/21/55,1,151.2,151.2,100.0,0.66,1
trend_zones,ema_window,5,1,73.9,73.9,100.0,0.46,2
trend_zones,ema_window,10,1,159.8,159.8,100.0,0.66,1
trend_zones,ema_window,20,1,205.5,205.5,100.0,0.73,1
trend_zones,ema_window,50,1,205.0,205.0,100.0,0.72,0
trend_zones,ema_window,100,1,143.7,143.7,100.0,0.62,0
trend_zones,ema_window,200,1,0.0,0.0,0.0,,0
close_rsi_reverse,rsi_window,5,5,70.3,81.9,80.0,0.44,37
close_rsi_reverse,rsi_window,7,5,47.7,75.3,100.0,0.37,32
close_rsi_reverse,rsi_window,12,5,36.4,64.8,100.0,0.33,25
close_rsi_reverse,rsi_window,14,5,22.6,76.7,80.0,0.31,22
close_rsi_reverse,rsi_window,21,5,83.2,158.1,80.0,0.55,18
close_rsi_reverse,rsi_window2,14,5,34.6,70.3,80.0,0.35,28
close_rsi_reverse,rsi_window2,21,5,44.9,77.3,80.0,0.38,25
close_rsi_reverse,rsi_window2,24,5,31.1,83.2,100.0,0.31,25
close_rsi_reverse,rsi_window2,30,5,75.3,143.9,100.0,0.45,25
close_rsi_reverse,rsi_window2,50,5,64.8,158.1,80.0,0.43,20
atr_live_trade,atr_window,5,6,-2.7,18.6,16.7,-0.17,0
atr_live_trade,atr_window,10,6,-16.5,140.8,16.7,-0.09,2
