griglia,parametro,valore,configurazioni,mediana_%,migliore_%,in_utile_%,sharpe_mediano,trade_mediani_anno
close_buy_sell_limits,rsi_window,7,576,-4.3,353.0,45.7,0.25,2
close_buy_sell_limits,rsi_window,12,576,0.0,201.5,43.9,0.24,1
close_buy_sell_limits,rsi_window,24,576,0.0,184.6,35.9,0.28,0
close_buy_sell_limits,ema_window,10,864,-8.1,200.7,25.9,0.19,1
close_buy_sell_limits,ema_window,50,864,15.3,353.0,57.8,0.35,2
close_buy_sell_limits,atr_window,5,864,0.0,353.0,40.6,0.24,1
close_buy_sell_limits,atr_window,14,864,0.0,234.5,43.1,0.26,2
close_buy_sell_limits,atr_multiplier,1.6,864,0.0,353.0,40.7,0.24,2
close_buy_sell_limits,atr_multiplier,2.5,864,0.0,200.8,42.9,0.26,1
close_buy_sell_limits,rsi_buy_limit,15,288,0.0,140.1,38.9,0.25,1
close_buy_sell_limits,rsi_buy_limit,20,288,0.0,201.5,43.8,0.25,1
close_buy_sell_limits,rsi_buy_limit,25,288,7.3,353.0,53.1,0.3,1
close_buy_sell_limits,rsi_buy_limit,30,288,-7.3,148.9,37.2,0.23,1
close_buy_sell_limits,rsi_buy_limit,35,288,-3.9,159.7,39.6,0.25,2
close_buy_sell_limits,rsi_buy_limit,40,288,-11.1,184.6,38.5,0.24,2
close_buy_sell_limits,rsi_sell_limit,60,288,-2.9,279.0,36.8,0.2,2
close_buy_sell_limits,rsi_sell_limit,65,288,-1.8,281.5,41.3,0.21,2
close_buy_sell_limits,rsi_sell_limit,70,288,0.0,294.7,43.4,0.25,2
close_buy_sell_limits,rsi_sell_limit,75,288,4.4,353.0,52.8,0.32,1
close_buy_sell_limits,rsi_sell_limit,80,288,0.0,273.4,42.0,0.27,1
close_buy_sell_limits,rsi_sell_limit,85,288,0.0,193.2,34.7,0.27,1
close_buy_sell_limits,num_cond,1,864,-12.1,200.7,38.3,0.23,3
close_buy_sell_limits,num_cond,2,864,0.0,353.0,45.4,0.3,0
close_atr,ema_window,10,168,-11.0,156.2,14.9,-0.1,0
close_atr,ema_window,20,168,-15.1,267.0,31.0,-0.1,1
close_atr,ema_window,50,168,9.6,344.7,51.8,0.24,2
close_atr,atr_window,5,84,-15.7,332.7,34.5,-0.03,1
close_atr,atr_window,7,84,-13.3,331.9,28.6,-0.06,1
close_atr,atr_window,10,84,-11.3,344.7,34.5,-0.01,1
close_atr,atr_window,14,84,-6.5,148.0,36.9,0.06,1
close_atr,atr_window,20,84,-8.6,135.1,32.1,-0.02,1
close_atr,atr_window,30,84,-12.7,147.1,28.6,-0.1,1
close_atr,atr_multiplier,0.8,72,-36.5,16.3,4.2,-0.1,5
close_atr,atr_multiplier,1.2,72,18.5,137.3,68.1,0.27,4
close_atr,atr_multiplier,1.6,72,-3.4,332.7,47.2,0.21,2
close_atr,atr_multiplier,2.0,72,15.7,344.7,56.9,0.26,1
close_atr,atr_multiplier,2.5,72,-21.0,148.0,20.8,-0.11,0
close_atr,atr_multiplier,3.0,72,-16.0,267.0,13.9,-0.25,0
close_atr,atr_multiplier,4.0,72,0.0,281.3,16.7,-0.21,0
close_atr,stop_loss,2.0,126,-11.8,207.9,26.2,-0.2,1
close_atr,stop_loss,5.0,126,-11.7,222.2,23.8,-0.11,1
close_atr,stop_loss,10.0,126,-20.4,344.7,27.0,-0.15,1
close_atr,stop_loss,99.0,126,7.2,281.3,53.2,0.31,2
atr_bands,ema_window,10,84,-5.1,221.5,28.6,0.19,2
atr_bands,ema_window,50,84,15.5,871.3,53.6,0.3,3
