griglia,parametro,valore,configurazioni,mediana_%,migliore_%,in_utile_%,sharpe_mediano,trade_mediani_anno
close_buy_sell_limits,rsi_window,7,576,-16.8,710.1,37.3,0.3,2
close_buy_sell_limits,rsi_window,12,576,-9.3,289.2,35.4,0.29,1
close_buy_sell_limits,rsi_window,24,576,0.0,771.1,25.3,0.28,0
close_buy_sell_limits,ema_window,10,864,-17.5,771.1,26.0,0.25,1
close_buy_sell_limits,ema_window,50,864,0.0,710.1,39.4,0.32,1
close_buy_sell_limits,atr_window,5,864,0.0,771.1,36.8,0.3,1
close_buy_sell_limits,atr_window,14,864,-22.4,710.1,28.6,0.28,1
close_buy_sell_limits,atr_multiplier,1.6,864,-26.0,710.1,19.1,0.25,2
close_buy_sell_limits,atr_multiplier,2.5,864,0.0,771.1,46.3,0.37,1
close_buy_sell_limits,rsi_buy_limit,15,288,0.0,710.1,34.0,0.31,0
close_buy_sell_limits,rsi_buy_limit,20,288,0.0,289.2,36.1,0.31,1
close_buy_sell_limits,rsi_buy_limit,25,288,0.0,289.2,34.0,0.29,1
close_buy_sell_limits,rsi_buy_limit,30,288,-25.4,289.2,30.2,0.26,1
close_buy_sell_limits,rsi_buy_limit,35,288,-23.8,289.2,28.1,0.28,1
close_buy_sell_limits,rsi_buy_limit,40,288,-27.5,771.1,33.7,0.28,2
close_buy_sell_limits,rsi_sell_limit,60,288,0.0,565.5,39.9,0.31,2
close_buy_sell_limits,rsi_sell_limit,65,288,0.0,565.5,38.5,0.29,1
close_buy_sell_limits,rsi_sell_limit,70,288,-16.9,565.5,32.3,0.28,1
close_buy_sell_limits,rsi_sell_limit,75,288,-23.8,565.5,24.0,0.25,1
close_buy_sell_limits,rsi_sell_limit,80,288,0.0,710.1,35.8,0.31,1
close_buy_sell_limits,rsi_sell_limit,85,288,-5.5,771.1,25.7,0.29,1
close_buy_sell_limits,num_cond,1,864,-27.5,771.1,30.0,0.26,3
close_buy_sell_limits,num_cond,2,864,0.0,710.1,35.4,0.34,0
close_atr,ema_window,10,168,-13.1,690.4,23.2,0.04,0
