griglia,parametro,valore,configurazioni,mediana_%,migliore_%,in_utile_%,sharpe_mediano,trade_mediani_anno
close_buy_sell_limits,rsi_window,7,576,119.2,2317.5,91.3,0.53,2
close_buy_sell_limits,rsi_window,12,576,119.2,2098.8,78.1,0.57,1
close_buy_sell_limits,rsi_window,24,576,95.2,1345.0,63.7,0.56,0
close_buy_sell_limits,ema_window,10,864,78.8,2317.5,71.6,0.51,0
close_buy_sell_limits,ema_window,50,864,141.7,1030.7,83.8,0.58,1
close_buy_sell_limits,atr_window,5,864,127.4,2317.5,79.4,0.58,1
close_buy_sell_limits,atr_window,14,864,97.3,575.0,76.0,0.55,1
close_buy_sell_limits,atr_multiplier,1.6,864,111.5,2317.5,77.8,0.55,2
close_buy_sell_limits,atr_multiplier,2.5,864,108.7,1030.7,77.7,0.56,0
close_buy_sell_limits,rsi_buy_limit,15,288,21.4,474.2,54.9,0.49,0
close_buy_sell_limits,rsi_buy_limit,20,288,47.7,472.2,62.2,0.54,1
close_buy_sell_limits,rsi_buy_limit,25,288,102.1,1475.0,75.0,0.55,1
close_buy_sell_limits,rsi_buy_limit,30,288,139.7,2317.5,91.3,0.56,1
close_buy_sell_limits,rsi_buy_limit,35,288,121.7,2050.2,87.8,0.55,1
close_buy_sell_limits,rsi_buy_limit,40,288,161.4,2098.8,95.1,0.59,1
close_buy_sell_limits,rsi_sell_limit,60,288,107.1,1345.0,79.2,0.53,1
close_buy_sell_limits,rsi_sell_limit,65,288,60.7,1280.7,74.7,0.48,1
close_buy_sell_limits,rsi_sell_limit,70,288,97.9,1844.3,78.5,0.55,1
close_buy_sell_limits,rsi_sell_limit,75,288,119.2,2098.8,79.2,0.58,1
close_buy_sell_limits,rsi_sell_limit,80,288,135.5,2317.5,78.5,0.59,1
close_buy_sell_limits,rsi_sell_limit,85,288,125.8,1649.1,76.4,0.57,1
close_buy_sell_limits,num_cond,1,864,119.2,1030.7,89.8,0.53,2
