griglia,parametro,valore,configurazioni,mediana_%,migliore_%,in_utile_%,sharpe_mediano,trade_mediani_anno
close_buy_sell_limits,rsi_window,7,576,57.9,616.5,74.1,0.43,15
close_buy_sell_limits,rsi_window,12,576,99.9,1141.1,91.3,0.52,9
close_buy_sell_limits,rsi_window,24,576,72.8,1107.5,73.1,0.53,4
close_buy_sell_limits,ema_window,10,864,51.2,1141.1,71.8,0.43,6
close_buy_sell_limits,ema_window,50,864,168.5,871.3,87.3,0.64,11
close_buy_sell_limits,atr_window,5,864,92.7,1141.1,80.8,0.51,10
close_buy_sell_limits,atr_window,14,864,70.5,882.7,78.2,0.48,11
close_buy_sell_limits,atr_multiplier,1.6,864,88.5,1141.1,84.3,0.5,15
close_buy_sell_limits,atr_multiplier,2.5,864,72.6,871.3,74.8,0.49,6
close_buy_sell_limits,rsi_buy_limit,15,288,62.1,491.5,71.2,0.53,6
close_buy_sell_limits,rsi_buy_limit,20,288,87.4,491.5,84.4,0.5,8
close_buy_sell_limits,rsi_buy_limit,25,288,94.1,591.1,82.6,0.51,10
close_buy_sell_limits,rsi_buy_limit,30,288,71.1,990.6,80.2,0.46,11
close_buy_sell_limits,rsi_buy_limit,35,288,79.4,1141.1,76.7,0.47,11
close_buy_sell_limits,rsi_buy_limit,40,288,93.6,1107.5,81.9,0.51,12
close_buy_sell_limits,rsi_sell_limit,60,288,65.1,616.5,72.2,0.45,12
close_buy_sell_limits,rsi_sell_limit,65,288,68.0,616.5,75.7,0.46,11
close_buy_sell_limits,rsi_sell_limit,70,288,91.5,599.7,77.8,0.5,11
close_buy_sell_limits,rsi_sell_limit,75,288,94.7,1107.5,86.8,0.51,10
close_buy_sell_limits,rsi_sell_limit,80,288,99.5,954.8,86.1,0.51,8
close_buy_sell_limits,rsi_sell_limit,85,288,87.7,1141.1,78.5,0.53,6
close_buy_sell_limits,num_cond,1,864,77.9,673.0,83.1,0.47,17
close_buy_sell_limits,num_cond,2,864,86.6,1141.1,75.9,0.56,3
close_atr,ema_window,10,168,-6.6,277.6,29.8,-0.11,2
close_atr,ema_window,20,168,-8.8,573.4,40.5,-0.0,6
close_atr,ema_window,50,168,23.5,533.8,60.1,0.3,12
close_atr,atr_window,5,84,3.2,304.7,51.2,0.26,8
close_atr,atr_window,7,84,-4.5,408.7,42.9,0.1,8
close_atr,atr_window,10,84,-5.8,512.4,39.3,0.05,8
close_atr,atr_window,14,84,-4.1,573.4,46.4,0.14,7
close_atr,atr_window,20,84,-8.5,533.8,39.3,0.0,7
close_atr,atr_window,30,84,-5.3,364.3,41.7,0.09,6
close_atr,atr_multiplier,0.8,72,-50.2,102.7,22.2,-0.17,34
close_atr,atr_multiplier,1.2,72,-42.1,111.7,16.7,-0.21,20
close_atr,atr_multiplier,1.6,72,-12.3,249.2,41.7,0.01,14
close_atr,atr_multiplier,2.0,72,44.2,276.0,81.9,0.39,7
close_atr,atr_multiplier,2.5,72,25.6,533.8,54.2,0.32,2
close_atr,atr_multiplier,3.0,72,33.9,352.9,58.3,0.37,0
close_atr,atr_multiplier,4.0,72,-2.8,573.4,29.2,-0.31,0
close_atr,stop_loss,2.0,126,-8.8,341.9,26.2,-0.28,4
close_atr,stop_loss,5.0,126,-14.3,224.6,30.2,-0.18,5
close_atr,stop_loss,10.0,126,-10.4,352.9,41.3,0.08,7
close_atr,stop_loss,99.0,126,63.6,573.4,76.2,0.43,13
atr_bands,ema_window,10,84,100.0,1552.1,75.0,0.57,13
atr_bands,ema_window,50,84,144.6,1336.1,81.0,0.6,18
atr_bands,atr_window,5,28,128.4,1130.0,75.0,0.7,16
atr_bands,atr_window,7,28,166.8,1336.1,78.6,0.74,16
atr_bands,atr_window,10,28,130.5,919.0,75.0,0.63,16
atr_bands,atr_window,14,28,105.3,929.7,78.6,0.54,16
atr_bands,atr_window,20,28,110.5,1552.1,78.6,0.54,17
atr_bands,atr_window,30,28,142.1,1402.8,82.1,0.58,16
atr_bands,atr_multiplier,0.8,24,179.2,1552.1,75.0,0.63,63
atr_bands,atr_multiplier,1.2,24,97.2,1302.1,75.0,0.52,39
atr_bands,atr_multiplier,1.6,24,214.1,1043.2,87.5,0.67,26
atr_bands,atr_multiplier,2.0,24,169.9,1171.8,95.8,0.67,17
atr_bands,atr_multiplier,2.5,24,187.7,916.6,83.3,0.62,11
atr_bands,atr_multiplier,3.0,24,108.7,1336.1,75.0,0.65,6
atr_bands,atr_multiplier,4.0,24,16.3,995.9,54.2,0.47,1
atr_bands,stop_loss,5.0,84,23.6,320.7,59.5,0.32,15
atr_bands,stop_loss,99.0,84,379.2,1552.1,96.4,0.79,17
supertrend,ema_window,10,42,144.3,483.7,71.4,0.64,8
supertrend,ema_window,20,42,186.3,748.6,88.1,0.64,9
supertrend,ema_window,50,42,192.3,1299.6,97.6,0.6,13
supertrend,atr_window,5,21,164.0,748.6,81.0,0.58,11
supertrend,atr_window,7,21,157.9,578.0,81.0,0.59,12
supertrend,atr_window,10,21,159.8,483.7,90.5,0.6,11
supertrend,atr_window,14,21,188.9,397.5,81.0,0.66,11
supertrend,atr_window,20,21,207.4,452.5,85.7,0.69,9
supertrend,atr_window,30,21,209.8,1299.6,95.2,0.67,9
supertrend,atr_multiplier,0.8,18,192.9,440.7,100.0,0.69,8
supertrend,atr_multiplier,1.2,18,225.2,748.6,100.0,0.67,13
supertrend,atr_multiplier,1.6,18,207.0,389.5,100.0,0.66,15
supertrend,atr_multiplier,2.0,18,269.9,483.7,100.0,0.69,20
supertrend,atr_multiplier,2.5,18,52.2,262.1,77.8,0.39,14
supertrend,atr_multiplier,3.0,18,87.5,498.8,72.2,0.47,9
supertrend,atr_multiplier,4.0,18,7.5,1299.6,50.0,0.36,1
tp_sl_atr,ema_window,10,42,93.5,1176.3,64.3,0.53,16
tp_sl_atr,ema_window,20,42,56.7,497.3,78.6,0.41,24
tp_sl_atr,ema_window,50,42,96.7,983.5,81.0,0.49,20
tp_sl_atr,atr_window,5,21,58.0,490.1,66.7,0.42,18
tp_sl_atr,atr_window,7,21,106.1,576.9,66.7,0.52,19
tp_sl_atr,atr_window,10,21,105.8,983.5,76.2,0.5,20
tp_sl_atr,atr_window,14,21,97.8,1176.3,71.4,0.51,19
tp_sl_atr,atr_window,20,21,88.2,619.1,81.0,0.48,20
tp_sl_atr,atr_window,30,21,88.1,506.5,85.7,0.47,21
tp_sl_atr,atr_multiplier,0.8,18,103.6,455.1,100.0,0.49,66
tp_sl_atr,atr_multiplier,1.2,18,166.4,497.3,94.4,0.57,44
tp_sl_atr,atr_multiplier,1.6,18,120.1,426.3,100.0,0.53,30
tp_sl_atr,atr_multiplier,2.0,18,278.0,1176.3,83.3,0.71,20
tp_sl_atr,atr_multiplier,2.5,18,13.3,506.5,50.0,0.29,15
tp_sl_atr,atr_multiplier,3.0,18,4.9,382.8,50.0,0.24,10
