griglia,parametro,valore,configurazioni,mediana_%,migliore_%,in_utile_%,sharpe_mediano,trade_mediani_anno
close_buy_sell_limits,rsi_window,7,576,-19.3,241.6,33.0,0.13,14
close_buy_sell_limits,rsi_window,12,576,-9.6,295.0,39.4,0.15,10
close_buy_sell_limits,rsi_window,24,576,-12.4,295.0,34.4,0.14,3
close_buy_sell_limits,ema_window,10,864,-26.6,295.0,25.2,0.05,7
close_buy_sell_limits,ema_window,50,864,-3.9,241.6,45.9,0.18,11
close_buy_sell_limits,atr_window,5,864,-6.3,295.0,40.7,0.16,11
close_buy_sell_limits,atr_window,14,864,-15.8,136.1,30.4,0.13,11
close_buy_sell_limits,atr_multiplier,1.6,864,-23.8,140.5,20.7,0.07,15
close_buy_sell_limits,atr_multiplier,2.5,864,1.0,295.0,50.5,0.22,7
close_buy_sell_limits,rsi_buy_limit,15,288,0.0,157.8,40.6,0.15,6
close_buy_sell_limits,rsi_buy_limit,20,288,0.0,295.0,46.2,0.18,9
close_buy_sell_limits,rsi_buy_limit,25,288,-13.5,295.0,41.7,0.15,10
close_buy_sell_limits,rsi_buy_limit,30,288,-19.9,228.7,33.7,0.1,11
close_buy_sell_limits,rsi_buy_limit,35,288,-29.0,157.1,26.7,0.09,11
close_buy_sell_limits,rsi_buy_limit,40,288,-18.5,133.1,24.7,0.15,12
close_buy_sell_limits,rsi_sell_limit,60,288,-8.5,186.4,39.2,0.15,12
close_buy_sell_limits,rsi_sell_limit,65,288,-14.7,186.4,33.3,0.1,11
close_buy_sell_limits,rsi_sell_limit,70,288,-13.5,186.4,35.4,0.13,11
close_buy_sell_limits,rsi_sell_limit,75,288,-15.1,295.0,32.6,0.13,10
close_buy_sell_limits,rsi_sell_limit,80,288,-3.9,295.0,44.8,0.17,10
close_buy_sell_limits,rsi_sell_limit,85,288,-15.3,279.1,28.1,0.15,7
close_buy_sell_limits,num_cond,1,864,-27.6,182.0,23.0,0.08,15
close_buy_sell_limits,num_cond,2,864,0.0,295.0,48.1,0.21,3
close_atr,ema_window,10,168,-16.3,14.8,3.6,-0.29,2
close_atr,ema_window,20,168,-20.3,345.6,17.9,-0.12,7
close_atr,ema_window,50,168,-21.1,165.0,27.4,0.05,12
close_atr,atr_window,5,84,-13.8,104.7,20.2,-0.09,9
close_atr,atr_window,7,84,-14.3,165.0,14.3,-0.09,8
close_atr,atr_window,10,84,-17.9,345.6,16.7,-0.08,8
close_atr,atr_window,14,84,-21.9,148.9,14.3,-0.17,9
close_atr,atr_window,20,84,-21.8,122.4,16.7,-0.16,8
close_atr,atr_window,30,84,-23.0,102.6,15.5,-0.18,8
close_atr,atr_multiplier,0.8,72,-32.5,5.8,8.3,-0.03,35
close_atr,atr_multiplier,1.2,72,-53.3,-16.4,0.0,-0.42,20
close_atr,atr_multiplier,1.6,72,-41.8,-1.0,0.0,-0.24,14
close_atr,atr_multiplier,2.0,72,-23.2,30.4,5.6,-0.14,6
close_atr,atr_multiplier,2.5,72,-8.2,70.1,25.0,-0.12,2
close_atr,atr_multiplier,3.0,72,-2.5,132.5,38.9,0.0,0
close_atr,atr_multiplier,4.0,72,0.0,345.6,36.1,0.11,0
close_atr,stop_loss,2.0,126,-13.2,22.3,5.6,-0.37,5
close_atr,stop_loss,5.0,126,-32.1,345.6,13.5,-0.37,6
close_atr,stop_loss,10.0,126,-13.8,345.6,21.4,-0.0,9
close_atr,stop_loss,99.0,126,-24.2,345.6,24.6,0.09,12
atr_bands,ema_window,10,84,8.2,470.2,52.4,0.25,12
atr_bands,ema_window,50,84,-5.4,136.3,48.8,0.18,17
atr_bands,atr_window,5,28,22.6,470.2,60.7,0.32,16
atr_bands,atr_window,7,28,8.5,417.1,53.6,0.25,16
atr_bands,atr_window,10,28,14.8,468.2,57.1,0.25,16
atr_bands,atr_window,14,28,-1.3,272.0,50.0,0.19,16
atr_bands,atr_window,20,28,-6.0,287.5,42.9,0.16,15
atr_bands,atr_window,30,28,-8.1,250.1,39.3,0.15,16
atr_bands,atr_multiplier,0.8,24,96.3,470.2,75.0,0.53,69
atr_bands,atr_multiplier,1.2,24,32.0,398.0,70.8,0.32,41
atr_bands,atr_multiplier,1.6,24,-28.7,93.6,37.5,0.01,25
atr_bands,atr_multiplier,2.0,24,-20.1,113.5,20.8,0.06,16
atr_bands,atr_multiplier,2.5,24,4.0,68.5,58.3,0.21,11
atr_bands,atr_multiplier,3.0,24,7.0,136.3,54.2,0.22,5
atr_bands,atr_multiplier,4.0,24,-5.1,118.0,37.5,-0.01,0
atr_bands,stop_loss,5.0,84,-10.4,232.2,33.3,-0.07,15
atr_bands,stop_loss,99.0,84,23.7,470.2,67.9,0.31,16
supertrend,ema_window,10,42,30.9,323.6,64.3,0.38,8
supertrend,ema_window,20,42,11.5,420.2,57.1,0.27,11
supertrend,ema_window,50,42,-10.1,122.3,47.6,0.13,14
supertrend,atr_window,5,21,0.0,122.3,47.6,0.21,10
supertrend,atr_window,7,21,5.3,90.5,52.4,0.19,12
supertrend,atr_window,10,21,23.0,150.6,61.9,0.3,11
supertrend,atr_window,14,21,25.9,323.6,52.4,0.3,11
supertrend,atr_window,20,21,20.8,420.2,57.1,0.27,9
supertrend,atr_window,30,21,25.0,296.7,66.7,0.3,9
supertrend,atr_multiplier,0.8,18,-11.7,25.5,22.2,-0.14,2
supertrend,atr_multiplier,1.2,18,24.6,207.5,61.1,0.29,14
supertrend,atr_multiplier,1.6,18,44.0,323.6,94.4,0.36,24
supertrend,atr_multiplier,2.0,18,95.6,420.2,100.0,0.52,19
supertrend,atr_multiplier,2.5,18,35.1,149.0,72.2,0.33,12
supertrend,atr_multiplier,3.0,18,-14.6,102.2,27.8,0.02,8
supertrend,atr_multiplier,4.0,18,-3.9,41.6,16.7,0.06,1
tp_sl_atr,ema_window,10,42,3.7,241.3,50.0,0.29,16
tp_sl_atr,ema_window,20,42,-7.9,158.4,40.5,0.15,21
tp_sl_atr,ema_window,50,42,6.5,101.2,59.5,0.22,20
tp_sl_atr,atr_window,5,21,-6.8,84.1,33.3,0.12,19
tp_sl_atr,atr_window,7,21,-2.2,241.3,33.3,0.14,19
tp_sl_atr,atr_window,10,21,-4.4,169.8,38.1,0.16,20
tp_sl_atr,atr_window,14,21,18.1,126.4,57.1,0.27,20
tp_sl_atr,atr_window,20,21,26.8,167.0,66.7,0.3,20
tp_sl_atr,atr_window,30,21,8.0,162.4,71.4,0.29,20
tp_sl_atr,atr_multiplier,0.8,18,-32.9,9.7,16.7,0.0,62
tp_sl_atr,atr_multiplier,1.2,18,2.2,53.4,50.0,0.2,43
tp_sl_atr,atr_multiplier,1.6,18,51.1,241.3,83.3,0.38,29
tp_sl_atr,atr_multiplier,2.0,18,26.7,162.4,83.3,0.3,20
tp_sl_atr,atr_multiplier,2.5,18,47.6,167.0,77.8,0.39,13
tp_sl_atr,atr_multiplier,3.0,18,-17.4,62.8,22.2,0.03,8
tp_sl_atr,atr_multiplier,4.0,18,-2.2,32.9,16.7,0.01,1
close_bullish_ema,rsi_window,7,140,11.7,154.2,68.6,0.24,8
close_bullish_ema,rsi_window,12,140,10.8,200.7,63.6,0.23,7
close_bullish_ema,rsi_window,24,140,11.7,111.7,65.7,0.26,4
close_bullish_ema,rsi_buy_limit,40,105,22.9,200.7,73.3,0.31,9
close_bullish_ema,rsi_buy_limit,45,105,16.4,200.7,70.5,0.28,7
close_bullish_ema,rsi_buy_limit,50,105,7.3,200.7,60.0,0.22,6
close_bullish_ema,rsi_buy_limit,55,105,4.1,165.3,60.0,0.2,4
close_bullish_ema,rsi_sell_limit,60,84,7.1,71.5,65.5,0.19,9
close_bullish_ema,rsi_sell_limit,65,84,4.2,103.9,57.1,0.14,9
close_bullish_ema,rsi_sell_limit,70,84,33.8,200.7,78.6,0.35,7
close_bullish_ema,rsi_sell_limit,75,84,3.3,135.6,51.2,0.22,5
close_bullish_ema,rsi_sell_limit,80,84,40.8,154.2,77.4,0.36,4
close_bullish_ema,ema_triplet,10/50/200,60,-18.3,71.5,23.3,-0.08,4
close_bullish_ema,ema_triplet,12/26/50,60,47.4,140.4,95.0,0.42,8
close_bullish_ema,ema_triplet,20/50/100,60,-15.9,44.5,30.0,0.05,7
close_bullish_ema,ema_triplet,5/20/60,60,9.0,108.9,61.7,0.22,7
close_bullish_ema,ema_triplet,50/100/200,60,7.9,102.1,73.3,0.2,4
close_bullish_ema,ema_triplet,8/13/21,60,31.4,200.7,86.7,0.38,9
close_bullish_ema,ema_triplet,9/21/55,60,40.8,148.3,91.7,0.43,8
close_ema_crossover,ema_triplet,10/50/200,1,64.0,64.0,100.0,0.43,4
close_ema_crossover,ema_triplet,12/26/50,1,159.3,159.3,100.0,0.62,12
close_ema_crossover,ema_triplet,20/50/100,1,50.4,50.4,100.0,0.38,7
close_ema_crossover,ema_triplet,5/20/60,1,108.9,108.9,100.0,0.54,14
close_ema_crossover,ema_triplet,50/100/200,1,51.9,51.9,100.0,0.39,3
close_ema_crossover,ema_triplet,8/13/21,1,137.4,137.4,100.0,0.59,27
close_ema_crossover,ema_triplet,9/21/55,1,269.6,269.6,100.0,0.82,14
trend_zones,ema_window,5,1,383.3,383.3,100.0,0.95,14
trend_zones,ema_window,10,1,346.8,346.8,100.0,0.91,10
trend_zones,ema_window,20,1,243.1,243.1,100.0,0.78,8
trend_zones,ema_window,50,1,250.3,250.3,100.0,0.79,5
trend_zones,ema_window,100,1,119.7,119.7,100.0,0.56,4
trend_zones,ema_window,200,1,0.0,0.0,0.0,,0
close_rsi_reverse,rsi_window,5,5,-72.8,-64.2,0.0,-0.34,230
close_rsi_reverse,rsi_window,7,5,-63.9,-51.0,0.0,-0.23,197
close_rsi_reverse,rsi_window,12,5,-42.3,-12.9,0.0,-0.04,158
close_rsi_reverse,rsi_window,14,5,-28.6,0.0,0.0,0.01,144
close_rsi_reverse,rsi_window,21,5,-13.6,31.5,20.0,0.09,125
close_rsi_reverse,rsi_window2,14,5,-51.0,0.0,0.0,-0.15,179
close_rsi_reverse,rsi_window2,21,5,-42.3,0.0,0.0,-0.14,164
close_rsi_reverse,rsi_window2,24,5,-38.3,-27.6,0.0,-0.02,158
close_rsi_reverse,rsi_window2,30,5,-45.8,-13.6,0.0,-0.07,153
close_rsi_reverse,rsi_window2,50,5,-19.9,31.5,20.0,0.09,142
atr_live_trade,atr_window,5,6,4.3,172.4,50.0,0.17,3
atr_live_trade,atr_window,10,6,-36.9,10.4,16.7,-0.05,14
atr_live_trade,atr_window,14,6,-17.4,17.6,16.7,0.03,18
atr_live_trade,atr_multiplier,1.2,6,-32.6,14.1,16.7,0.02,29
