griglia,parametro,valore,configurazioni,mediana_%,migliore_%,in_utile_%,sharpe_mediano,trade_mediani_anno
close_buy_sell_limits,rsi_window,7,576,-41.4,105.4,14.4,0.11,15
close_buy_sell_limits,rsi_window,12,576,-25.6,199.4,27.4,0.17,9
close_buy_sell_limits,rsi_window,24,576,-16.0,491.4,25.3,0.16,4
close_buy_sell_limits,ema_window,10,864,-34.4,491.4,20.4,0.12,6
close_buy_sell_limits,ema_window,50,864,-22.7,128.4,24.4,0.2,10
close_buy_sell_limits,atr_window,5,864,-22.6,491.4,20.1,0.16,10
close_buy_sell_limits,atr_window,14,864,-33.0,199.4,24.7,0.14,10
close_buy_sell_limits,atr_multiplier,1.6,864,-17.4,184.1,30.2,0.21,16
close_buy_sell_limits,atr_multiplier,2.5,864,-39.4,491.4,14.6,0.1,6
close_buy_sell_limits,rsi_buy_limit,15,288,-7.2,199.4,28.8,0.15,6
close_buy_sell_limits,rsi_buy_limit,20,288,-18.9,184.1,30.9,0.17,9
close_buy_sell_limits,rsi_buy_limit,25,288,-39.1,196.2,17.4,0.1,10
close_buy_sell_limits,rsi_buy_limit,30,288,-32.5,491.4,19.4,0.14,10
close_buy_sell_limits,rsi_buy_limit,35,288,-36.1,236.7,18.1,0.16,12
close_buy_sell_limits,rsi_buy_limit,40,288,-32.5,140.0,19.8,0.18,12
close_buy_sell_limits,rsi_sell_limit,60,288,-37.0,164.8,19.8,0.09,12
close_buy_sell_limits,rsi_sell_limit,65,288,-30.0,199.4,24.3,0.13,11
close_buy_sell_limits,rsi_sell_limit,70,288,-32.2,491.4,20.1,0.14,10
close_buy_sell_limits,rsi_sell_limit,75,288,-33.0,229.9,19.1,0.15,10
close_buy_sell_limits,rsi_sell_limit,80,288,-22.5,196.2,28.1,0.21,8
close_buy_sell_limits,rsi_sell_limit,85,288,-15.1,165.4,22.9,0.23,6
close_buy_sell_limits,num_cond,1,864,-33.9,199.4,18.8,0.15,17
close_buy_sell_limits,num_cond,2,864,-21.0,491.4,26.0,0.15,3
close_atr,ema_window,10,168,-5.6,238.4,26.8,-0.0,1
close_atr,ema_window,20,168,-11.0,146.2,27.4,0.04,4
close_atr,ema_window,50,168,-9.2,92.2,36.9,0.12,14
close_atr,atr_window,5,84,-5.5,106.9,29.8,0.07,7
