griglia,parametro,valore,configurazioni,mediana_%,migliore_%,in_utile_%,sharpe_mediano,trade_mediani_anno
close_buy_sell_limits,rsi_window,7,576,-21.0,1199.5,38.7,0.32,14
close_buy_sell_limits,rsi_window,12,576,-34.4,2829.3,26.4,0.26,9
close_buy_sell_limits,rsi_window,24,576,-34.4,428.1,20.3,0.21,3
close_buy_sell_limits,ema_window,10,864,-20.4,2829.3,31.0,0.25,5
close_buy_sell_limits,ema_window,50,864,-35.0,729.5,25.9,0.27,10
close_buy_sell_limits,atr_window,5,864,-8.5,2829.3,36.2,0.31,9
close_buy_sell_limits,atr_window,14,864,-48.8,891.5,20.7,0.2,10
close_buy_sell_limits,atr_multiplier,1.6,864,-27.8,2829.3,31.1,0.28,14
close_buy_sell_limits,atr_multiplier,2.5,864,-38.5,1199.5,25.8,0.22,6
close_buy_sell_limits,rsi_buy_limit,15,288,-0.7,486.4,31.2,0.25,5
close_buy_sell_limits,rsi_buy_limit,20,288,-28.4,210.8,25.0,0.24,8
close_buy_sell_limits,rsi_buy_limit,25,288,-48.3,347.5,19.4,0.21,9
close_buy_sell_limits,rsi_buy_limit,30,288,-38.8,347.5,26.7,0.24,10
close_buy_sell_limits,rsi_buy_limit,35,288,-28.0,1391.7,32.6,0.31,11
close_buy_sell_limits,rsi_buy_limit,40,288,-27.1,2829.3,35.8,0.32,11
close_buy_sell_limits,rsi_sell_limit,60,288,-38.8,302.0,24.3,0.19,10
close_buy_sell_limits,rsi_sell_limit,65,288,-37.3,316.8,28.1,0.22,10
close_buy_sell_limits,rsi_sell_limit,70,288,-24.5,637.7,30.6,0.28,10
close_buy_sell_limits,rsi_sell_limit,75,288,-27.9,794.0,26.7,0.28,9
close_buy_sell_limits,rsi_sell_limit,80,288,-31.0,722.5,28.8,0.29,8
close_buy_sell_limits,rsi_sell_limit,85,288,-17.1,2829.3,32.3,0.31,6
close_buy_sell_limits,num_cond,1,864,-40.0,1199.5,25.1,0.24,16
close_buy_sell_limits,num_cond,2,864,-7.9,2829.3,31.8,0.29,2
close_atr,ema_window,10,168,0.0,682.3,40.5,0.24,2
close_atr,ema_window,20,168,28.3,642.1,57.7,0.33,6
close_atr,ema_window,50,168,-12.6,308.8,39.9,0.21,14
close_atr,atr_window,5,84,0.0,359.6,40.5,0.28,9
close_atr,atr_window,7,84,0.0,642.1,40.5,0.25,8
close_atr,atr_window,10,84,0.0,682.3,46.4,0.25,8
close_atr,atr_window,14,84,0.0,335.1,48.8,0.26,8
close_atr,atr_window,20,84,-3.0,395.8,44.0,0.23,8
close_atr,atr_window,30,84,15.6,563.9,56.0,0.29,7
close_atr,atr_multiplier,0.8,72,-26.1,104.7,26.4,0.15,35
close_atr,atr_multiplier,1.2,72,45.4,642.1,68.1,0.4,22
close_atr,atr_multiplier,1.6,72,57.3,682.3,66.7,0.42,14
close_atr,atr_multiplier,2.0,72,31.0,396.3,63.9,0.32,7
close_atr,atr_multiplier,2.5,72,-6.7,308.8,43.1,0.21,1
close_atr,atr_multiplier,3.0,72,-4.1,293.5,33.3,0.17,0
close_atr,atr_multiplier,4.0,72,0.0,76.4,20.8,0.04,0
close_atr,stop_loss,2.0,126,2.4,396.3,50.8,0.23,5
close_atr,stop_loss,5.0,126,25.2,642.1,58.7,0.31,5
close_atr,stop_loss,10.0,126,2.2,682.3,51.6,0.24,8
close_atr,stop_loss,99.0,126,-34.7,302.0,23.0,0.24,11
atr_bands,ema_window,10,84,126.6,2900.5,71.4,0.65,10
atr_bands,ema_window,50,84,37.8,1175.5,66.7,0.45,19
atr_bands,atr_window,5,28,150.1,2879.7,75.0,0.63,16
atr_bands,atr_window,7,28,101.6,2900.5,71.4,0.56,16
atr_bands,atr_window,10,28,49.0,1632.0,64.3,0.47,16
atr_bands,atr_window,14,28,37.4,1119.1,71.4,0.45,16
atr_bands,atr_window,20,28,34.7,1540.6,64.3,0.46,17
