griglia,parametro,valore,configurazioni,mediana_%,migliore_%,in_utile_%,sharpe_mediano,trade_mediani_anno
close_buy_sell_limits,rsi_window,7,576,102.7,793.1,85.1,0.52,14
close_buy_sell_limits,rsi_window,12,576,95.3,767.2,87.5,0.51,10
close_buy_sell_limits,rsi_window,24,576,109.3,988.2,77.6,0.55,3
close_buy_sell_limits,ema_window,10,864,67.7,838.4,74.5,0.48,6
close_buy_sell_limits,ema_window,50,864,119.1,988.2,92.2,0.55,11
close_buy_sell_limits,atr_window,5,864,83.8,988.2,75.5,0.5,10
close_buy_sell_limits,atr_window,14,864,115.6,838.4,91.3,0.53,11
close_buy_sell_limits,atr_multiplier,1.6,864,115.0,838.4,90.6,0.53,14
close_buy_sell_limits,atr_multiplier,2.5,864,85.3,988.2,76.2,0.52,6
close_buy_sell_limits,rsi_buy_limit,15,288,84.2,838.4,73.3,0.53,5
close_buy_sell_limits,rsi_buy_limit,20,288,132.4,988.2,90.3,0.61,8
close_buy_sell_limits,rsi_buy_limit,25,288,135.6,838.4,89.9,0.56,10
close_buy_sell_limits,rsi_buy_limit,30,288,117.2,721.6,89.2,0.53,11
close_buy_sell_limits,rsi_buy_limit,35,288,61.3,657.7,78.1,0.46,12
close_buy_sell_limits,rsi_buy_limit,40,288,64.6,830.3,79.5,0.47,12
close_buy_sell_limits,rsi_sell_limit,60,288,106.6,785.7,89.9,0.53,12
close_buy_sell_limits,rsi_sell_limit,65,288,110.9,793.1,86.8,0.55,11
close_buy_sell_limits,rsi_sell_limit,70,288,93.6,838.4,81.9,0.51,11
close_buy_sell_limits,rsi_sell_limit,75,288,92.6,767.2,76.4,0.52,10
close_buy_sell_limits,rsi_sell_limit,80,288,108.5,767.2,83.3,0.53,9
close_buy_sell_limits,rsi_sell_limit,85,288,96.0,988.2,81.9,0.52,7
close_buy_sell_limits,num_cond,1,864,135.6,838.4,91.0,0.55,15
close_buy_sell_limits,num_cond,2,864,68.6,988.2,75.8,0.48,3
close_atr,ema_window,10,168,-4.0,869.4,33.9,0.02,2
close_atr,ema_window,20,168,54.6,3084.1,79.2,0.47,5
close_atr,ema_window,50,168,82.5,2402.8,78.0,0.48,14
close_atr,atr_window,5,84,57.9,3084.1,65.5,0.44,7
close_atr,atr_window,7,84,41.6,2402.8,61.9,0.4,8
close_atr,atr_window,10,84,38.0,869.4,64.3,0.4,8
close_atr,atr_window,14,84,48.1,767.2,67.9,0.44,8
close_atr,atr_window,20,84,20.7,526.7,61.9,0.37,8
close_atr,atr_window,30,84,23.0,922.7,60.7,0.31,8
close_atr,atr_multiplier,0.8,72,-11.5,335.4,33.3,0.15,36
close_atr,atr_multiplier,1.2,72,15.2,338.6,56.9,0.3,22
close_atr,atr_multiplier,1.6,72,78.8,869.4,94.4,0.47,13
close_atr,atr_multiplier,2.0,72,75.6,922.7,81.9,0.48,5
close_atr,atr_multiplier,2.5,72,73.2,554.9,73.6,0.51,2
close_atr,atr_multiplier,3.0,72,39.2,3084.1,61.1,0.37,0
close_atr,atr_multiplier,4.0,72,0.0,2402.8,44.4,0.39,0
close_atr,stop_loss,2.0,126,34.5,384.9,63.5,0.39,4
close_atr,stop_loss,5.0,126,9.7,419.4,51.6,0.27,4
close_atr,stop_loss,10.0,126,11.9,2287.8,54.0,0.24,6
close_atr,stop_loss,99.0,126,117.7,3084.1,85.7,0.55,12
atr_bands,ema_window,10,84,251.4,10177.6,83.3,0.81,15
atr_bands,ema_window,50,84,217.4,5439.9,89.3,0.69,19
atr_bands,atr_window,5,28,225.8,10177.6,85.7,0.76,17
atr_bands,atr_window,7,28,210.9,7851.9,82.1,0.75,18
atr_bands,atr_window,10,28,214.0,2671.1,82.1,0.7,18
atr_bands,atr_window,14,28,212.2,3155.0,89.3,0.71,18
atr_bands,atr_window,20,28,246.5,3865.0,85.7,0.7,18
atr_bands,atr_window,30,28,255.3,4019.8,92.9,0.74,18
atr_bands,atr_multiplier,0.8,24,302.2,2448.9,75.0,0.76,65
atr_bands,atr_multiplier,1.2,24,377.7,3155.0,100.0,0.77,44
atr_bands,atr_multiplier,1.6,24,291.5,10177.6,95.8,0.76,26
atr_bands,atr_multiplier,2.0,24,526.7,4019.8,100.0,0.87,18
atr_bands,atr_multiplier,2.5,24,193.4,1333.1,100.0,0.7,12
atr_bands,atr_multiplier,3.0,24,166.3,826.7,87.5,0.65,7
atr_bands,atr_multiplier,4.0,24,0.0,5439.9,45.8,0.27,1
atr_bands,stop_loss,5.0,84,120.4,852.2,83.3,0.62,17
atr_bands,stop_loss,99.0,84,574.5,10177.6,89.3,0.85,18
supertrend,ema_window,10,42,0.0,198.1,47.6,0.21,2
supertrend,ema_window,20,42,-8.0,791.5,42.9,0.19,8
supertrend,ema_window,50,42,9.1,273.2,57.1,0.34,12
supertrend,atr_window,5,21,0.0,118.3,47.6,0.24,9
supertrend,atr_window,7,21,-9.6,164.4,33.3,0.2,10
supertrend,atr_window,10,21,0.6,198.1,52.4,0.22,11
supertrend,atr_window,14,21,-9.7,257.8,42.9,0.18,8
supertrend,atr_window,20,21,10.7,141.7,61.9,0.29,6
supertrend,atr_window,30,21,7.9,791.5,57.1,0.26,6
supertrend,atr_multiplier,0.8,18,-6.5,109.3,38.9,0.03,1
supertrend,atr_multiplier,1.2,18,-4.7,164.4,44.4,0.18,17
supertrend,atr_multiplier,1.6,18,-19.1,257.8,33.3,0.19,11
supertrend,atr_multiplier,2.0,18,67.6,177.3,77.8,0.44,15
supertrend,atr_multiplier,2.5,18,7.5,87.8,66.7,0.26,9
supertrend,atr_multiplier,3.0,18,-18.3,235.6,38.9,0.24,6
supertrend,atr_multiplier,4.0,18,0.0,791.5,44.4,0.35,1
tp_sl_atr,ema_window,10,42,-38.8,88.4,21.4,0.04,14
tp_sl_atr,ema_window,20,42,-47.0,131.0,11.9,0.05,20
tp_sl_atr,ema_window,50,42,-58.8,76.7,7.1,0.12,18
tp_sl_atr,atr_window,5,21,-46.5,56.7,9.5,0.12,15
tp_sl_atr,atr_window,7,21,-51.9,18.6,4.8,0.08,17
tp_sl_atr,atr_window,10,21,-41.4,88.4,19.0,0.15,19
tp_sl_atr,atr_window,14,21,-45.3,23.6,4.8,0.04,19
tp_sl_atr,atr_window,20,21,-57.4,102.8,19.0,0.12,18
tp_sl_atr,atr_window,30,21,-61.0,131.0,23.8,0.07,19
tp_sl_atr,atr_multiplier,0.8,18,-79.7,-20.3,0.0,-0.12,61
tp_sl_atr,atr_multiplier,1.2,18,-63.7,-18.8,0.0,0.06,38
tp_sl_atr,atr_multiplier,1.6,18,-61.4,21.8,5.6,0.1,24
tp_sl_atr,atr_multiplier,2.0,18,-45.6,77.5,16.7,0.17,18
tp_sl_atr,atr_multiplier,2.5,18,-56.8,131.0,22.2,0.03,10
tp_sl_atr,atr_multiplier,3.0,18,-39.2,88.4,22.2,0.12,7
tp_sl_atr,atr_multiplier,4.0,18,0.0,76.7,27.8,0.17,1
close_bullish_ema,rsi_window,7,140,-3.7,129.4,47.1,0.13,6
close_bullish_ema,rsi_window,12,140,-9.8,196.9,39.3,0.15,5
close_bullish_ema,rsi_window,24,140,-28.3,163.8,32.9,0.2,4
close_bullish_ema,rsi_buy_limit,40,105,-23.9,196.9,33.3,0.11,6
close_bullish_ema,rsi_buy_limit,45,105,-23.6,184.3,37.1,0.13,6
close_bullish_ema,rsi_buy_limit,50,105,-6.8,184.3,41.0,0.18,5
close_bullish_ema,rsi_buy_limit,55,105,-1.9,195.9,47.6,0.19,3
close_bullish_ema,rsi_sell_limit,60,84,-6.3,58.9,42.9,0.05,6
close_bullish_ema,rsi_sell_limit,65,84,-14.4,67.7,36.9,0.14,6
close_bullish_ema,rsi_sell_limit,70,84,-30.2,63.5,33.3,0.07,5
close_bullish_ema,rsi_sell_limit,75,84,-23.6,66.7,33.3,0.21,4
close_bullish_ema,rsi_sell_limit,80,84,3.7,196.9,52.4,0.34,4
close_bullish_ema,ema_triplet,10/50/200,60,-16.0,63.2,43.3,0.14,4
close_bullish_ema,ema_triplet,12/26/50,60,-38.0,129.4,28.3,0.06,6
close_bullish_ema,ema_triplet,20/50/100,60,-32.3,108.3,36.7,0.14,5
close_bullish_ema,ema_triplet,5/20/60,60,-6.6,182.9,40.0,0.15,5
close_bullish_ema,ema_triplet,50/100/200,60,-60.2,3.8,1.7,-0.18,4
close_bullish_ema,ema_triplet,8/13/21,60,14.4,195.9,58.3,0.29,7
close_bullish_ema,ema_triplet,9/21/55,60,11.8,196.9,70.0,0.28,5
close_ema_crossover,ema_triplet,10/50/200,1,386.0,386.0,100.0,0.74,4
close_ema_crossover,ema_triplet,12/26/50,1,586.1,586.1,100.0,0.81,14
close_ema_crossover,ema_triplet,20/50/100,1,138.0,138.0,100.0,0.55,7
close_ema_crossover,ema_triplet,5/20/60,1,443.8,443.8,100.0,0.75,15
close_ema_crossover,ema_triplet,50/100/200,1,47.0,47.0,100.0,0.39,3
close_ema_crossover,ema_triplet,8/13/21,1,186.9,186.9,100.0,0.6,29
close_ema_crossover,ema_triplet,9/21/55,1,563.2,563.2,100.0,0.8,15
trend_zones,ema_window,5,1,220.6,220.6,100.0,0.63,18
trend_zones,ema_window,10,1,132.7,132.7,100.0,0.55,14
trend_zones,ema_window,20,1,161.3,161.3,100.0,0.58,9
trend_zones,ema_window,50,1,329.1,329.1,100.0,0.71,6
trend_zones,ema_window,100,1,222.2,222.2,100.0,0.63,4
trend_zones,ema_window,200,1,0.0,0.0,0.0,,0
close_rsi_reverse,rsi_window,5,5,186.8,295.6,100.0,0.58,237
close_rsi_reverse,rsi_window,7,5,146.2,193.8,100.0,0.55,206
close_rsi_reverse,rsi_window,12,5,219.6,336.4,100.0,0.61,166
close_rsi_reverse,rsi_window,14,5,243.1,354.9,80.0,0.63,147
close_rsi_reverse,rsi_window,21,5,206.4,410.1,60.0,0.64,129
close_rsi_reverse,rsi_window2,14,5,146.2,186.8,60.0,0.56,188
close_rsi_reverse,rsi_window2,21,5,166.5,354.9,80.0,0.58,173
close_rsi_reverse,rsi_window2,24,5,219.6,295.6,100.0,0.61,166
close_rsi_reverse,rsi_window2,30,5,275.1,410.1,100.0,0.64,157
