griglia,anno,rendimento_%,n_trade,win_rate_%
close_buy_sell_limits,2017,480.9,3,66.7
close_buy_sell_limits,2018,-48.8,3,66.7
close_buy_sell_limits,2019,181.5,3,66.7
close_buy_sell_limits,2020,527.1,4,75.0
close_buy_sell_limits,2021,-13.1,1,0.0
close_buy_sell_limits,2022,-50.2,7,42.9
close_buy_sell_limits,2023,136.9,9,55.6
close_buy_sell_limits,2024,81.7,4,75.0
close_buy_sell_limits,2025,36.4,4,100.0
close_atr,2017,1106.1,5,100.0
close_atr,2018,-57.4,6,33.3
close_atr,2019,80.1,6,66.7
close_atr,2020,256.2,5,80.0
close_atr,2021,32.1,1,100.0
close_atr,2022,23.4,9,66.7
close_atr,2023,31.0,9,55.6
close_atr,2024,31.0,4,100.0
close_atr,2025,2.0,8,75.0
close_atr,2026,-5.6,4,75.0
atr_bands,2017,683.8,128,76.6
atr_bands,2018,-36.6,119,62.2
atr_bands,2019,54.5,122,64.8
atr_bands,2020,229.8,114,75.4
atr_bands,2021,225.8,120,65.8
atr_bands,2022,2.6,147,65.3
atr_bands,2023,71.0,189,73.0
atr_bands,2024,60.4,162,68.5
atr_bands,2025,16.8,165,62.4
atr_bands,2026,-25.6,97,58.8
supertrend,2017,625.0,147,55.8
supertrend,2018,-28.4,104,31.7
supertrend,2019,-12.5,20,35.0
tp_sl_atr,2017,-9.2,35,54.3
tp_sl_atr,2018,15.5,16,56.2
tp_sl_atr,2019,29.3,9,66.7
tp_sl_atr,2020,53.9,16,81.2
tp_sl_atr,2021,16.7,12,58.3
tp_sl_atr,2022,0.0,25,48.0
tp_sl_atr,2023,4.7,35,60.0
tp_sl_atr,2024,6.3,54,57.4
tp_sl_atr,2025,-23.1,56,46.4
tp_sl_atr,2026,5.6,19,57.9
close_bullish_ema,2017,627.0,12,83.3
close_bullish_ema,2018,-45.0,13,53.8
close_bullish_ema,2019,60.0,20,65.0
close_bullish_ema,2020,261.2,16,75.0
close_bullish_ema,2021,19.8,9,44.4
close_bullish_ema,2022,-65.6,14,35.7
close_bullish_ema,2023,131.6,30,66.7
close_bullish_ema,2024,77.1,9,66.7
close_bullish_ema,2025,-21.4,6,33.3
close_bullish_ema,2026,13.8,5,80.0
close_ema_crossover,2017,561.4,40,55.0
close_ema_crossover,2018,-11.9,53,28.3
close_ema_crossover,2019,-1.4,52,28.8
close_ema_crossover,2020,248.2,47,46.8
close_ema_crossover,2021,45.4,50,40.0
close_ema_crossover,2022,-37.7,57,29.8
close_ema_crossover,2023,62.3,57,31.6
close_ema_crossover,2024,33.0,46,45.7
close_ema_crossover,2025,-25.3,61,21.3
close_ema_crossover,2026,0.5,28,39.3
trend_zones,2017,36.3,574,16.2
trend_zones,2018,-72.6,619,12.3
trend_zones,2019,-38.6,523,9.9
trend_zones,2020,-29.4,743,13.9
trend_zones,2021,-61.2,700,14.9
trend_zones,2022,-85.8,791,9.4
trend_zones,2023,-62.9,824,10.0
trend_zones,2024,-29.5,645,11.5
trend_zones,2025,-77.8,720,8.9
trend_zones,2026,-59.0,427,9.4
close_rsi_reverse,2017,-99.9,4198,23.9
close_rsi_reverse,2018,-100.0,4392,16.6
close_rsi_reverse,2019,-100.0,4491,14.9
close_rsi_reverse,2020,-100.0,4495,17.0
close_rsi_reverse,2021,-100.0,4068,21.3
close_rsi_reverse,2022,-100.0,4235,17.2
close_rsi_reverse,2023,-100.0,4261,14.2
close_rsi_reverse,2024,-100.0,4270,18.1
close_rsi_reverse,2025,-100.0,4228,16.0
close_rsi_reverse,2026,-99.6,2676,15.7
green_candles,2017,-89.8,1388,35.7
green_candles,2018,-97.9,1426,26.7
green_candles,2019,-93.9,1438,25.2
green_candles,2020,-94.1,1425,26.8
green_candles,2021,-95.1,1415,32.6
green_candles,2022,-97.4,1414,26.0
green_candles,2023,-90.3,1473,21.9
green_candles,2024,-90.3,1496,28.1
green_candles,2025,-95.0,1589,24.4
green_candles,2026,-88.2,1005,23.8
atr_live_trade,2017,728.1,3,100.0
atr_live_trade,2018,-1.9,3,33.3
atr_live_trade,2019,50.9,6,66.7
atr_live_trade,2020,15.7,3,66.7
atr_live_trade,2021,-48.2,3,33.3
atr_live_trade,2022,-47.4,3,66.7
atr_live_trade,2023,89.8,5,60.0
atr_live_trade,2024,16.4,1,100.0
atr_live_trade,2025,35.1,3,66.7
atr_live_trade,2026,0.2,1,100.0
