griglia,anno,rendimento_%,n_trade,win_rate_%
close_buy_sell_limits,2017,4820.2,21,76.2
close_buy_sell_limits,2018,-81.0,20,50.0
close_buy_sell_limits,2019,0.1,17,58.8
close_atr,2017,1107.7,15,93.3
close_atr,2018,-76.7,27,37.0
close_atr,2019,67.8,14,71.4
atr_bands,2017,788.0,175,76.0
atr_bands,2018,18.3,287,65.9
atr_bands,2019,52.4,270,67.8
supertrend,2017,1507.9,162,51.9
supertrend,2018,-43.7,189,34.4
supertrend,2019,-7.7,186,40.9
tp_sl_atr,2017,2499.7,177,66.7
tp_sl_atr,2018,-59.3,160,46.2
tp_sl_atr,2019,-3.9,185,53.5
close_bullish_ema,2017,3209.1,110,77.3
close_bullish_ema,2018,-61.7,87,64.4
close_bullish_ema,2019,97.2,79,70.9
close_ema_crossover,2017,5886.0,99,41.4
close_ema_crossover,2018,-29.5,100,32.0
close_ema_crossover,2019,20.8,114,36.8
trend_zones,2017,585.8,613,18.4
trend_zones,2018,-85.5,675,10.4
trend_zones,2019,-82.1,762,10.6
close_rsi_reverse,2017,-99.0,2230,18.1
close_rsi_reverse,2018,-97.8,1910,18.3
close_rsi_reverse,2019,-97.7,1956,15.7
green_candles,2017,27.2,1402,37.4
green_candles,2018,-96.2,1624,33.7
green_candles,2019,-94.9,1682,29.3
