griglia,anno,rendimento_%,n_trade,win_rate_%
close_buy_sell_limits,2021,111.8,10,80.0
close_buy_sell_limits,2022,-2.7,9,77.8
close_buy_sell_limits,2023,-11.3,6,66.7
close_buy_sell_limits,2024,50.1,6,100.0
close_buy_sell_limits,2025,31.3,6,83.3
close_buy_sell_limits,2026,-14.6,6,66.7
close_atr,2021,8.2,6,66.7
close_atr,2022,-30.6,7,42.9
close_atr,2023,3.2,7,71.4
close_atr,2024,107.5,11,81.8
close_atr,2025,43.3,9,77.8
close_atr,2026,-20.4,4,50.0
atr_bands,2021,171.3,12,66.7
atr_bands,2022,3.2,10,40.0
atr_bands,2023,86.7,18,83.3
atr_bands,2024,80.8,18,66.7
atr_bands,2025,-12.2,8,37.5
atr_bands,2026,20.8,10,70.0
supertrend,2021,255.3,9,66.7
supertrend,2022,23.1,2,100.0
supertrend,2023,43.3,5,80.0
supertrend,2024,46.0,7,57.1
supertrend,2025,19.7,6,66.7
supertrend,2026,12.8,1,100.0
tp_sl_atr,2021,275.0,10,80.0
tp_sl_atr,2022,31.5,2,100.0
tp_sl_atr,2023,0.1,5,60.0
tp_sl_atr,2024,61.4,8,75.0
tp_sl_atr,2025,-24.1,7,57.1
tp_sl_atr,2026,8.1,1,100.0
close_bullish_ema,2021,51.9,3,66.7
close_bullish_ema,2023,4.0,1,100.0
close_bullish_ema,2024,76.6,5,80.0
close_bullish_ema,2025,26.2,4,75.0
close_ema_crossover,2021,15.7,2,50.0
close_ema_crossover,2022,-28.7,4,0.0
close_ema_crossover,2023,129.1,3,33.3
close_ema_crossover,2024,10.8,1,100.0
close_ema_crossover,2025,48.7,1,100.0
close_ema_crossover,2026,-18.5,2,0.0
trend_zones,2021,36.8,1,100.0
trend_zones,2023,73.3,2,50.0
trend_zones,2025,10.0,2,50.0
close_rsi_reverse,2021,775.1,28,39.3
close_rsi_reverse,2022,-0.9,32,25.0
close_rsi_reverse,2023,22.4,35,28.6
close_rsi_reverse,2024,47.5,38,31.6
close_rsi_reverse,2025,27.9,31,35.5
close_rsi_reverse,2026,-15.8,19,26.3
green_candles,2021,582.5,20,45.0
green_candles,2022,-42.1,12,50.0
green_candles,2023,-0.4,12,33.3
green_candles,2024,65.7,18,33.3
green_candles,2025,-23.0,13,30.8
green_candles,2026,3.5,7,57.1
atr_live_trade,2021,-32.2,5,40.0
atr_live_trade,2022,-17.8,6,66.7
atr_live_trade,2023,3.5,6,66.7
atr_live_trade,2024,78.4,8,87.5
atr_live_trade,2025,40.4,5,80.0
atr_live_trade,2026,-26.4,3,33.3
