griglia,anno,rendimento_%,n_trade,win_rate_%
close_buy_sell_limits,2021,44.9,6,66.7
close_buy_sell_limits,2022,-25.0,5,60.0
close_buy_sell_limits,2023,40.2,5,80.0
close_buy_sell_limits,2024,52.0,6,83.3
close_buy_sell_limits,2025,-1.0,4,75.0
close_buy_sell_limits,2026,-5.8,4,50.0
close_atr,2021,3.9,6,50.0
close_atr,2022,23.2,10,70.0
close_atr,2023,21.4,5,80.0
close_atr,2024,48.2,8,87.5
close_atr,2025,34.3,10,80.0
close_atr,2026,0.8,5,60.0
atr_bands,2021,118.0,6,83.3
atr_bands,2022,-4.7,6,66.7
atr_bands,2023,53.7,6,83.3
atr_bands,2024,66.3,5,100.0
atr_bands,2025,4.4,5,60.0
atr_bands,2026,-5.0,4,50.0
supertrend,2021,44.9,7,42.9
supertrend,2022,-33.7,5,0.0
supertrend,2023,42.9,11,54.5
supertrend,2024,63.4,10,50.0
supertrend,2025,-19.5,9,22.2
supertrend,2026,-16.3,4,25.0
tp_sl_atr,2021,5.8,8,62.5
tp_sl_atr,2022,-46.5,7,14.3
tp_sl_atr,2023,151.3,11,90.9
tp_sl_atr,2024,77.0,3,100.0
tp_sl_atr,2025,-2.6,4,50.0
tp_sl_atr,2026,-5.9,6,50.0
close_bullish_ema,2021,18.1,1,100.0
close_bullish_ema,2023,66.2,2,100.0
close_bullish_ema,2024,37.1,2,100.0
close_ema_crossover,2021,-14.7,1,0.0
close_ema_crossover,2023,257.6,2,100.0
trend_zones,2021,2.5,1,100.0
trend_zones,2023,115.7,3,66.7
trend_zones,2024,32.9,1,100.0
trend_zones,2025,4.0,2,50.0
close_rsi_reverse,2021,32.3,16,31.2
close_rsi_reverse,2022,-46.5,18,11.1
close_rsi_reverse,2023,107.4,12,41.7
close_rsi_reverse,2024,92.8,15,26.7
close_rsi_reverse,2025,-8.0,22,9.1
close_rsi_reverse,2026,-1.0,9,22.2
green_candles,2021,-4.5,20,35.0
green_candles,2022,-35.8,14,35.7
green_candles,2023,88.8,14,42.9
green_candles,2024,85.5,12,50.0
green_candles,2025,-5.7,18,44.4
green_candles,2026,-11.4,9,11.1
atr_live_trade,2021,-29.8,5,60.0
atr_live_trade,2022,-38.6,7,42.9
atr_live_trade,2023,36.3,8,75.0
atr_live_trade,2024,48.3,7,85.7
atr_live_trade,2025,10.5,8,75.0
atr_live_trade,2026,-24.0,3,33.3
