griglia,anno,rendimento_%,n_trade,win_rate_%
close_buy_sell_limits,2021,36.3,11,72.7
close_buy_sell_limits,2022,-0.0,10,80.0
close_buy_sell_limits,2023,27.3,6,83.3
close_buy_sell_limits,2024,58.4,8,75.0
close_buy_sell_limits,2025,-22.2,9,55.6
close_buy_sell_limits,2026,-36.3,3,33.3
close_atr,2021,-1.6,7,42.9
close_atr,2022,65.0,8,62.5
close_atr,2023,46.0,4,100.0
close_atr,2024,3.1,6,50.0
close_atr,2025,-8.8,2,50.0
close_atr,2026,6.5,5,60.0
atr_bands,2021,24.6,3,33.3
atr_bands,2022,26.8,7,42.9
atr_bands,2023,7.8,5,60.0
atr_bands,2024,35.8,10,50.0
atr_bands,2025,39.2,7,42.9
atr_bands,2026,-0.1,3,33.3
supertrend,2021,122.0,13,61.5
supertrend,2022,-12.8,7,28.6
supertrend,2023,22.7,11,45.5
supertrend,2024,16.3,5,60.0
tp_sl_atr,2021,87.1,19,63.2
tp_sl_atr,2022,-22.0,14,42.9
tp_sl_atr,2023,37.3,17,64.7
tp_sl_atr,2024,-26.1,18,50.0
tp_sl_atr,2025,66.9,12,66.7
tp_sl_atr,2026,-13.8,7,42.9
close_bullish_ema,2021,193.3,1,100.0
close_ema_crossover,2021,54.3,1,100.0
close_ema_crossover,2022,-31.6,2,0.0
close_ema_crossover,2023,116.2,3,100.0
close_ema_crossover,2024,-2.3,2,50.0
close_ema_crossover,2025,52.2,1,100.0
close_ema_crossover,2026,-35.8,1,0.0
trend_zones,2021,43.8,1,100.0
trend_zones,2022,-10.8,1,0.0
trend_zones,2023,28.7,3,33.3
trend_zones,2024,-9.6,1,0.0
trend_zones,2025,18.0,2,50.0
close_rsi_reverse,2021,129.0,21,42.9
close_rsi_reverse,2022,-19.0,20,20.0
close_rsi_reverse,2023,17.6,25,24.0
close_rsi_reverse,2024,88.9,23,30.4
close_rsi_reverse,2025,-10.6,25,16.0
close_rsi_reverse,2026,6.7,11,18.2
green_candles,2021,288.4,14,64.3
green_candles,2022,-8.6,15,40.0
green_candles,2023,-24.9,14,14.3
green_candles,2024,15.4,16,37.5
green_candles,2025,15.9,14,28.6
green_candles,2026,-36.2,10,40.0
atr_live_trade,2021,15.3,7,71.4
atr_live_trade,2022,-55.6,6,50.0
atr_live_trade,2023,40.8,7,85.7
atr_live_trade,2024,22.6,9,66.7
atr_live_trade,2025,-34.1,6,66.7
atr_live_trade,2026,-36.1,3,33.3
