griglia,anno,rendimento_%,n_trade,win_rate_%
close_buy_sell_limits,2021,60.7,3,66.7
close_buy_sell_limits,2022,-64.2,7,42.9
close_buy_sell_limits,2023,26.1,4,75.0
close_buy_sell_limits,2024,125.6,8,100.0
close_buy_sell_limits,2025,58.0,9,66.7
close_buy_sell_limits,2026,-23.6,3,33.3
close_atr,2021,10.3,6,33.3
close_atr,2022,-16.1,6,16.7
close_atr,2023,47.7,4,75.0
close_atr,2024,7.5,7,28.6
close_atr,2025,-15.3,3,0.0
close_atr,2026,5.7,4,25.0
atr_bands,2021,191.9,7,42.9
atr_bands,2022,19.1,8,25.0
atr_bands,2023,84.6,8,50.0
atr_bands,2024,25.9,6,33.3
atr_bands,2025,-4.2,5,20.0
atr_bands,2026,29.4,5,60.0
supertrend,2021,1074.3,18,66.7
supertrend,2022,-22.7,8,37.5
supertrend,2023,509.4,17,64.7
supertrend,2024,33.0,13,46.2
supertrend,2025,-2.4,13,46.2
supertrend,2026,-4.1,5,60.0
tp_sl_atr,2021,2380.5,24,83.3
tp_sl_atr,2022,-42.0,8,37.5
tp_sl_atr,2023,498.7,23,73.9
tp_sl_atr,2024,-2.0,17,52.9
tp_sl_atr,2025,-24.3,17,52.9
tp_sl_atr,2026,-0.4,4,50.0
close_bullish_ema,2021,664.7,4,75.0
close_bullish_ema,2023,306.0,2,100.0
close_ema_crossover,2021,135.2,2,50.0
close_ema_crossover,2022,-27.0,1,0.0
close_ema_crossover,2023,1036.6,4,75.0
close_ema_crossover,2024,13.5,3,33.3
close_ema_crossover,2025,39.8,4,75.0
close_ema_crossover,2026,-22.3,4,0.0
trend_zones,2021,451.3,1,100.0
trend_zones,2022,-19.8,1,0.0
trend_zones,2023,362.8,2,50.0
trend_zones,2024,13.2,1,100.0
trend_zones,2025,-15.0,2,0.0
close_rsi_reverse,2021,886.7,30,43.3
close_rsi_reverse,2022,-48.5,35,25.7
close_rsi_reverse,2023,306.9,39,38.5
close_rsi_reverse,2024,65.9,38,44.7
close_rsi_reverse,2025,-0.6,39,25.6
close_rsi_reverse,2026,-21.2,21,28.6
green_candles,2021,528.6,14,57.1
green_candles,2022,28.9,13,53.8
green_candles,2023,113.0,13,46.2
green_candles,2024,51.6,10,60.0
green_candles,2025,-28.3,14,50.0
green_candles,2026,0.2,11,36.4
atr_live_trade,2021,36.3,5,60.0
atr_live_trade,2022,-79.2,5,20.0
atr_live_trade,2023,24.0,5,60.0
atr_live_trade,2024,135.2,9,66.7
atr_live_trade,2025,19.5,8,75.0
atr_live_trade,2026,-27.7,4,50.0
