griglia,anno,rendimento_%,n_trade,win_rate_%
close_buy_sell_limits,2021,77.2,9,55.6
close_buy_sell_limits,2022,-25.0,7,85.7
close_buy_sell_limits,2023,86.8,9,77.8
close_buy_sell_limits,2024,14.4,9,66.7
close_buy_sell_limits,2025,100.2,12,75.0
close_buy_sell_limits,2026,-23.8,7,71.4
close_atr,2021,48.0,8,62.5
close_atr,2022,-26.2,6,66.7
close_atr,2023,100.5,8,75.0
close_atr,2024,31.9,5,80.0
close_atr,2025,82.0,11,81.8
close_atr,2026,-21.8,6,66.7
atr_bands,2021,93.5,8,62.5
atr_bands,2022,11.3,8,75.0
atr_bands,2023,95.7,8,75.0
atr_bands,2024,147.1,8,75.0
atr_bands,2025,71.5,11,81.8
atr_bands,2026,-5.3,7,71.4
supertrend,2021,21.4,10,40.0
supertrend,2022,-24.9,4,25.0
supertrend,2023,-28.4,7,28.6
supertrend,2024,161.1,9,55.6
supertrend,2025,-23.6,3,33.3
tp_sl_atr,2021,22.7,9,55.6
tp_sl_atr,2022,-47.4,3,33.3
tp_sl_atr,2023,60.9,6,83.3
tp_sl_atr,2024,119.6,11,72.7
tp_sl_atr,2025,-19.4,6,50.0
tp_sl_atr,2026,-20.0,1,0.0
close_bullish_ema,2021,18.7,1,100.0
close_bullish_ema,2023,72.6,5,60.0
close_bullish_ema,2024,13.1,1,100.0
close_bullish_ema,2025,-17.6,2,50.0
close_ema_crossover,2021,-0.1,3,33.3
close_ema_crossover,2022,-11.4,4,25.0
close_ema_crossover,2023,-16.6,6,33.3
close_ema_crossover,2024,269.7,5,40.0
close_ema_crossover,2025,10.9,3,33.3
close_ema_crossover,2026,-23.3,2,0.0
trend_zones,2021,43.2,1,100.0
trend_zones,2023,-0.1,1,0.0
trend_zones,2024,174.7,2,50.0
close_rsi_reverse,2021,310.0,17,41.2
close_rsi_reverse,2022,-35.9,28,17.9
close_rsi_reverse,2023,9.5,26,23.1
close_rsi_reverse,2024,418.7,20,20.0
close_rsi_reverse,2025,-43.8,29,17.2
close_rsi_reverse,2026,-29.0,16,12.5
green_candles,2021,152.5,14,50.0
green_candles,2022,-26.5,10,20.0
green_candles,2023,30.5,15,26.7
green_candles,2024,48.8,14,35.7
green_candles,2025,-25.5,12,33.3
green_candles,2026,-51.4,8,12.5
atr_live_trade,2021,0.1,5,60.0
atr_live_trade,2022,-39.0,7,57.1
atr_live_trade,2023,11.6,7,57.1
atr_live_trade,2024,21.0,5,40.0
atr_live_trade,2025,17.2,7,71.4
atr_live_trade,2026,-6.7,5,60.0
